champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
114,Fiora,4,12,False,6,6,0,78809,8747,13,151,3070,0
64,LeeSin,4,11,False,5,9,4,88266,7999,11,58,2031,3814
1,Annie,4,12,False,4,8,1,60192,7327,12,137,1056,3020
37,Sona,4,3,False,2,8,8,22845,7296,10,59,3853,3011
89,Leona,14,4,False,1,5,7,22877,5243,10,32,2055,3190
9,Fiddlesticks,4,11,True,5,2,5,125974,8724,13,16,3020,6653
27,Singed,14,4,True,3,9,5,85044,8254,12,126,3152,3116
104,Graves,4,12,True,13,1,6,167581,14301,15,194,0,3036
497,Rakan,14,4,True,5,4,20,19616,8856,12,9,3041,6656
236,Lucian,7,4,True,10,3,6,121319,12370,13,177,1055,6673
104,Graves,4,12,False,3,4,4,50293,5310,10,100,1036,0
19,Warwick,4,21,False,1,4,0,22026,3938,9,65,1055,2031
9,Fiddlesticks,4,11,False,3,3,1,69283,5603,9,11,3145,3020
432,Bard,3,4,False,0,4,6,7237,3633,7,4,0,2031
51,Caitlyn,7,4,False,1,2,3,46997,5379,8,115,2031,3006
86,Garen,12,4,True,3,2,0,54427,6987,11,128,1054,6631
81,Ezreal,4,7,True,3,2,7,54535,6636,9,120,1055,3070
28,Evelynn,11,4,True,5,0,5,63497,6366,9,4,3152,1001
114,Fiora,4,12,True,4,1,0,49310,6653,12,130,6029,2031
37,Sona,4,3,True,1,3,8,11115,4951,8,6,3853,6617
523,Aphelios,1,4,False,3,6,2,69484,7138,11,144,3006,6673
5,XinZhao,4,11,False,6,5,3,99159,8123,11,36,6630,3053
69,Cassiopeia,4,12,False,5,6,5,80409,9011,12,132,2033,3070
114,Fiora,4,12,False,0,5,2,65074,7303,12,146,6631,2031
48,Trundle,14,4,False,2,5,6,17274,5743,10,35,3190,3857
59,JarvanIV,12,4,True,4,5,13,59947,8254,13,113,6630,2033
236,Lucian,4,12,True,9,3,6,129510,11554,15,194,6671,0
22,Ashe,4,7,True,5,1,12,96528,9554,12,165,1055,6673
412,Thresh,4,14,True,1,4,16,23013,6489,11,31,3857,3190
76,Nidalee,4,11,True,8,3,7,133927,9957,13,12,3157,3057
76,Nidalee,4,11,False,3,4,1,93354,7506,12,24,3020,2031
12,Alistar,4,14,False,0,11,7,15748,5308,10,30,3859,2065
114,Fiora,4,12,False,2,11,1,64256,7717,11,129,6630,3077
119,Draven,4,7,False,1,5,3,77489,8235,12,160,6673,3047
13,Ryze,4,12,False,5,5,3,134317,10350,14,194,3158,6656
80,Pantheon,14,4,True,5,1,9,103555,10088,14,128,6630,2033
245,Ekko,11,4,True,8,3,8,169424,11355,14,48,3152,2420
39,Irelia,4,12,True,14,2,2,168389,14446,16,214,1055,3044
432,Bard,4,3,True,2,2,19,20352,8193,12,15,2055,3190
523,Aphelios,4,7,True,6,3,10,123488,11125,14,159,6673,6676
115,Ziggs,4,12,False,7,6,8,256914,16040,17,267,3157,6653
64,LeeSin,4,11,False,13,10,7,197797,16184,17,46,2055,3026
89,Leona,14,4,False,1,5,17,30167,9080,16,37,3860,3190
236,Lucian,4,12,False,8,6,7,234957,15552,17,258,3158,6671
58,Renekton,12,4,False,5,12,9,175201,13578,17,217,1031,6630
101,Xerath,1,4,True,2,7,9,90003,9989,15,64,3020,0
81,Ezreal,1,4,True,6,5,10,201486,15668,17,260,3042,3110
13,Ryze,12,4,True,4,5,11,294942,16685,18,273,6656,3157
234,Viego,11,14,True,12,8,9,255372,16917,18,59,2421,3026
164,Camille,12,14,True,15,9,7,226242,18238,18,219,6632,2421
523,Aphelios,7,4,False,2,10,3,81854,7656,12,152,2055,3134
30,Karthus,4,11,False,4,5,3,145535,9271,14,69,3020,3157
40,Janna,14,4,False,1,10,4,14253,5769,11,14,3070,0
8,Vladimir,14,6,False,5,5,2,118582,9936,15,186,7011,1026
516,Ornn,12,4,False,2,2,6,73516,8252,14,150,1054,7005
114,Fiora,4,12,True,2,5,2,103823,10212,15,187,1055,2421
497,Rakan,14,4,True,4,4,22,10962,9123,12,11,3853,3157
103,Ahri,4,14,True,4,4,10,103141,9373,14,160,3102,1052
64,LeeSin,11,4,True,4,1,7,159369,9752,14,26,6630,2055
498,Xayah,7,4,True,18,0,5,186085,16261,14,237,6671,3508
