champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
876,Lillia,32,4,False,10,14,34,117011,16887,18,51,4629,3135
518,Neeko,32,4,False,10,16,17,69725,15612,18,44,3020,3157
143,Zyra,3,4,False,2,16,27,69261,14377,18,51,6653,3165
234,Viego,32,4,False,30,11,13,141032,22560,18,66,6632,3053
498,Xayah,4,6,False,10,14,18,76304,16731,18,82,3508,6671
50,Swain,4,32,True,13,13,22,85378,17119,18,45,3089,3102
24,Jax,4,32,True,17,10,27,105303,20337,18,55,6632,3111
29,Twitch,4,32,True,22,15,31,195868,20074,18,125,3036,3006
16,Soraka,7,4,True,1,11,39,13882,14013,18,8,6617,3107
115,Ziggs,13,4,True,17,13,28,178871,18700,18,82,6653,3040
141,Kayn,4,32,True,4,11,13,33789,9468,14,34,3158,1018
142,Zoe,32,4,True,5,4,14,29800,9740,14,29,4630,0
37,Sona,13,4,True,4,3,36,22974,10350,16,27,3040,6617
120,Hecarim,32,6,True,21,7,17,63023,14264,16,39,6630,3111
15,Sivir,3,4,True,7,10,29,45784,10673,15,45,3184,3070
99,Lux,4,13,False,7,5,21,41377,10297,14,40,6655,3020
32,Amumu,4,32,False,5,11,17,39842,9407,13,29,2051,4637
350,Yuumi,14,3,False,5,5,24,14147,9914,14,7,6655,3011
76,Nidalee,13,4,False,11,8,18,38978,10425,14,21,6655,3020
63,Brand,3,4,False,7,12,18,48698,9935,14,43,6653,3165
117,Lulu,3,4,False,4,8,11,14462,8163,12,6,2065,3158
102,Shyvana,4,11,False,5,9,6,120824,9424,13,41,3115,2421
119,Draven,4,7,False,6,6,7,150072,13228,14,211,1055,3508
4,TwistedFate,4,14,False,2,11,6,92639,8110,12,130,1082,3158
39,Irelia,12,4,False,2,6,5,112288,9362,13,178,1055,3047
32,Amumu,11,4,True,10,2,14,150524,13083,15,44,3068,3047
92,Riven,4,14,True,13,3,11,139135,15608,15,186,6695,6630
12,Alistar,4,14,True,2,4,19,21699,7431,12,25,3860,3190
18,Tristana,7,4,True,3,4,12,111109,9621,13,121,6671,3046
23,Tryndamere,6,4,True,12,6,9,149240,14020,15,145,1054,1018
235,Senna,4,21,True,4,1,12,42297,9706,13,37,3035,3864
134,Syndra,12,4,True,0,3,6,112091,9042,14,181,3040,0
