champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
89,Leona,4,14,False,0,9,8,15727,5916,9,31,3076,3860
126,Jayce,4,12,False,12,6,5,139428,13412,14,173,6692,3042
429,Kalista,4,7,False,2,9,1,100743,9304,12,172,1055,3091
13,Ryze,4,12,False,5,7,9,142783,11259,15,172,4633,3040
35,Shaco,11,14,False,6,6,9,147630,11431,14,42,3108,3916
131,Diana,4,11,True,10,4,11,179634,12906,15,45,3152,3157
350,Yuumi,7,3,True,2,3,23,16202,8607,14,7,3222,3853
236,Lucian,1,4,True,12,5,10,164885,14788,14,192,6694,3111
122,Darius,6,4,True,6,8,2,113979,10561,15,175,3053,3111
121,Khazix,14,4,True,7,5,7,89348,10192,14,126,1054,3158
875,Sett,4,12,True,0,7,11,50075,8004,13,100,6631,1037
119,Draven,4,3,True,18,4,9,141957,17500,15,182,3036,3031
246,Qiyana,4,14,True,8,7,13,92037,10721,14,115,3158,3142
518,Neeko,14,4,True,10,5,18,58809,10927,14,33,3020,3916
203,Kindred,11,4,True,11,3,13,144192,12682,15,27,6672,3006
110,Varus,7,4,False,9,10,5,104461,11609,14,147,3042,3142
122,Darius,6,4,False,7,7,3,72265,10365,13,130,3053,1031
64,LeeSin,11,4,False,2,13,7,90882,7415,12,13,6692,2055
53,Blitzcrank,14,4,False,2,9,9,15033,6327,11,25,3190,3859
105,Fizz,14,4,False,6,8,8,66760,8797,14,129,1082,3157
498,Xayah,7,4,True,2,4,6,91052,7861,11,155,3057,1055
777,Yone,4,12,True,6,2,2,112009,9807,14,192,1055,6673
122,Darius,6,4,True,4,1,3,111170,10513,13,179,3078,3047
30,Karthus,4,11,True,6,3,7,131997,9750,13,24,1082,2420
12,Alistar,14,4,True,1,3,11,16075,5893,11,39,2031,3190
11,MasterYi,11,4,False,4,4,4,120904,8379,12,17,6695,1001
55,Katarina,12,14,False,3,2,2,82795,7838,13,172,3020,1055
236,Lucian,7,4,False,3,4,4,85439,8078,11,170,3508,1036
497,Rakan,4,14,False,2,2,7,12215,5326,9,23,2055,2065
157,Yasuo,12,4,False,1,7,1,97057,7145,12,152,1055,1018
37,Sona,4,3,False,1,5,2,14732,5026,9,7,3158,3853
234,Viego,4,11,False,2,2,2,121426,7535,12,19,6673,3047
11,MasterYi,14,4,False,0,4,0,58560,5634,11,115,1055,3091
92,Riven,14,12,False,3,5,1,76781,8080,12,143,1055,3067
202,Jhin,4,7,False,1,3,1,78289,7354,10,156,3134,6671
350,Yuumi,14,3,True,3,1,12,5530,5967,10,1,2065,3851
18,Tristana,7,4,True,2,1,4,70434,6273,11,108,6671,2031
24,Jax,14,4,True,1,3,2,52267,5719,11,112,2033,3078
103,Ahri,14,4,True,3,0,2,87283,7306,13,141,1082,6656
141,Kayn,11,4,True,10,2,6,130082,10037,12,36,6693,3133
875,Sett,4,12,True,5,1,8,105964,10341,14,182,6630,3123
32,Amumu,3,4,True,1,5,21,24722,7108,12,33,3047,3860
122,Darius,11,6,True,3,4,16,146340,10853,14,18,3047,6631
67,Vayne,4,1,True,8,2,15,111074,11829,14,187,6673,3091
518,Neeko,12,4,True,13,0,7,139578,12646,15,195,4636,3135
69,Cassiopeia,12,4,False,1,5,1,96558,8353,14,191,3070,6653
360,Samira,4,7,False,3,7,7,92548,9967,12,191,6673,3036
59,JarvanIV,4,11,False,2,5,4,125853,8111,13,17,1028,2031
89,Leona,4,14,False,4,9,5,16027,6896,10,30,3047,3075
36,DrMundo,14,4,False,2,4,0,111580,8681,14,167,8001,6662
