champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
254,Vi,11,4,True,14,7,13,161125,13788,15,24,6609,0
266,Aatrox,12,4,True,8,2,4,82574,11784,15,154,1055,6630
99,Lux,3,4,True,8,8,15,53511,9907,14,89,3135,1056
78,Poppy,4,14,True,4,2,23,29469,9458,13,30,3857,3075
222,Jinx,7,4,True,16,7,9,162653,14558,14,156,3031,3046
166,Akshan,14,4,False,10,9,4,79422,10784,13,114,1055,3091
350,Yuumi,3,14,False,4,10,12,13416,7381,11,8,2003,3853
107,Rengar,11,4,False,7,10,3,103635,10694,12,30,3142,3134
82,Mordekaiser,12,4,False,1,9,6,83590,7470,14,137,1011,2055
81,Ezreal,1,4,False,4,12,8,74908,7882,11,93,1055,6632
163,Taliyah,7,4,True,4,11,17,129535,12220,15,136,1056,6656
14,Sion,12,4,True,5,7,16,152950,13313,16,163,3001,3047
157,Yasuo,4,14,True,7,11,15,192620,15539,16,171,6673,3033
121,Khazix,4,11,True,21,6,10,224447,19441,17,37,3142,6691
555,Pyke,4,14,True,5,9,14,33952,11069,14,46,2055,3179
18,Tristana,4,7,False,3,11,10,127546,11255,15,147,6671,3031
55,Katarina,14,4,False,26,7,6,150747,19219,16,156,3135,4633
41,Gangplank,4,12,False,9,7,7,150825,12620,16,174,2033,6632
350,Yuumi,3,14,False,2,7,30,12569,9971,15,3,2055,3853
32,Amumu,4,11,False,4,10,13,113024,10212,15,41,3076,8001
20,Nunu,11,4,True,4,6,11,83700,7472,11,7,6662,2031
50,Swain,4,14,True,8,1,22,35169,9546,11,8,3853,3157
4,TwistedFate,12,4,True,6,5,11,73743,7928,12,99,3094,2033
86,Garen,14,4,True,5,3,0,86835,8589,12,127,1054,3006
222,Jinx,7,4,True,18,3,13,137312,14159,13,159,1055,6672
92,Riven,12,4,False,5,6,4,58334,6768,11,100,6630,3158
523,Aphelios,4,1,False,4,9,2,50154,6316,10,84,0,0
412,Thresh,4,14,False,2,12,4,14269,4898,7,17,1028,3190
32,Amumu,11,4,False,1,9,7,74114,6128,10,16,3068,2031
10,Kayle,14,4,False,5,5,4,56602,8743,11,118,4633,3115
39,Irelia,4,12,True,4,6,9,169871,12407,15,206,3153,6632
254,Vi,11,4,True,8,9,17,123338,12145,14,13,3075,2055
526,Rell,14,4,True,3,9,16,20185,8708,12,36,3860,3190
99,Lux,21,4,True,10,8,24,118302,13035,15,134,1058,6655
222,Jinx,7,4,True,20,6,13,201295,17868,15,167,3031,3036
111,Nautilus,4,14,False,1,8,24,35176,8226,12,44,3075,3190
62,MonkeyKing,4,14,False,6,7,7,89760,10447,15,175,1055,6632
131,Diana,11,4,False,8,10,13,134889,10793,13,54,3152,3157
360,Samira,4,21,False,19,8,9,122271,16790,13,141,6676,3143
63,Brand,14,4,False,4,12,10,77222,8261,12,121,2055,6653
240,Kled,4,12,False,6,8,3,74976,9827,13,137,6630,3053
234,Viego,11,4,False,7,8,4,112595,10706,14,57,6632,3082
267,Nami,4,14,False,0,6,13,19324,6462,12,10,3853,4005
4,TwistedFate,12,4,False,1,10,8,122708,8826,13,148,1056,3158
222,Jinx,7,4,False,6,11,5,129578,10890,12,181,1055,3006
127,Lissandra,4,14,True,7,5,10,116802,11694,15,168,1056,3089
19,Warwick,4,11,True,11,6,11,112088,11507,14,20,6632,3748
37,Sona,7,4,True,4,3,25,20038,9175,14,5,3853,0
31,Chogath,4,12,True,3,5,11,89369,8935,14,112,3075,3047
236,Lucian,1,4,True,18,1,7,213501,16414,15,183,1036,3031
37,Sona,4,7,False,0,4,2,3670,3213,7,2,0,3158
64,LeeSin,11,4,False,2,4,2,62074,4813,9,23,2422,2031
166,Akshan,4,14,False,3,4,2,40523,5780,10,84,1055,3006
222,Jinx,4,1,False,0,5,0,22241,3538,7,70,6670,1018
90,Malzahar,12,4,False,2,2,0,59141,5956,10,104,1056,6653
103,Ahri,4,14,True,0,3,4,38171,4352,9,84,0,6656
59,JarvanIV,4,11,True,5,0,5,74738,7178,10,17,6630,2031
26,Zilean,14,4,True,1,1,10,10088,4864,8,10,3851,2065
14,Sion,12,4,True,4,1,3,41752,6024,10,97,1054,3105
119,Draven,3,4,True,9,2,1,82892,9397,10,125,1055,6676
13,Ryze,12,4,False,3,5,5,93607,8125,12,152,6656,3020
516,Ornn,12,4,False,6,7,4,82257,8469,13,125,3047,3109
37,Sona,7,4,False,3,3,9,19379,6840,12,42,3158,6617
11,MasterYi,11,14,False,6,4,6,151416,9527,13,69,6672,3047
523,Aphelios,4,7,False,0,1,0,257,2973,1,0,1083,0
2,Olaf,11,4,True,3,3,5,149243,9241,13,20,6630,3053
432,Bard,14,4,True,3,4,9,12997,6884,11,5,1029,3853
7,Leblanc,12,4,True,4,3,8,75059,9464,13,120,2033,6655
114,Fiora,4,12,True,4,6,6,75376,9479,13,144,3078,3181
222,Jinx,7,4,True,6,2,4,137862,11524,13,174,1055,0
