champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
201,Braum,4,14,True,4,1,18,23385,7922,12,29,2055,3857
81,Ezreal,4,3,True,8,2,8,122804,12579,14,208,6632,3042
147,Seraphine,4,12,True,3,4,10,92341,9538,14,175,6653,4629
164,Camille,14,12,True,2,3,9,95158,9770,15,182,1055,3158
245,Ekko,4,11,True,10,4,10,188048,12687,15,34,3020,3152
57,Maokai,4,14,False,1,9,3,24236,5282,9,10,3853,6653
236,Lucian,4,7,False,3,7,2,84497,9193,12,151,0,6671
78,Poppy,12,4,False,0,4,4,83486,7245,13,145,3068,2033
11,MasterYi,11,14,False,6,4,1,184046,10050,14,63,6672,3044
34,Anivia,14,4,False,4,3,4,96343,8839,14,181,6656,3003
117,Lulu,4,14,False,2,8,14,11867,7108,10,7,3853,2065
31,Chogath,12,4,False,4,5,4,81317,8648,12,118,6662,0
876,Lillia,4,11,False,8,7,8,146936,10508,13,29,6653,3158
18,Tristana,12,4,False,5,6,3,118125,11130,14,181,3006,6671
21,MissFortune,4,7,False,5,9,8,105924,9978,12,126,1055,1038
34,Anivia,14,4,True,5,3,9,104610,10473,15,178,1056,3020
350,Yuumi,3,14,True,2,4,28,15958,8880,13,7,3853,6617
35,Shaco,11,14,True,10,6,14,117307,11291,14,21,3006,3134
15,Sivir,7,4,True,12,5,13,160988,14602,13,179,1037,1038
24,Jax,4,12,True,6,6,6,128498,10454,15,160,2033,6632
266,Aatrox,14,7,True,7,5,12,101910,12075,16,163,1054,3071
120,Hecarim,11,6,True,6,2,19,177990,12419,16,25,6632,3071
145,Kaisa,7,4,True,10,4,9,220295,15658,16,247,1055,3814
164,Camille,12,4,True,7,3,12,129487,13610,17,183,1037,2421
3,Galio,14,4,True,4,6,17,44737,9907,14,38,3076,3157
131,Diana,14,4,False,4,7,1,143796,11027,15,178,4636,1056
35,Shaco,3,14,False,0,4,14,44684,7882,13,24,3158,3853
67,Vayne,7,4,False,14,7,1,163252,15162,15,203,3143,1053
64,LeeSin,4,11,False,1,7,9,132147,9145,14,18,3053,0
10,Kayle,12,4,False,1,9,4,179732,10962,16,216,6672,3006
114,Fiora,4,14,True,13,4,4,267270,19172,18,272,3074,6630
76,Nidalee,11,4,True,3,3,10,229615,13628,18,39,4636,3145
157,Yasuo,4,14,True,4,10,2,243209,14103,17,236,1036,3006
350,Yuumi,3,14,True,3,4,17,20830,10055,17,5,6617,3222
51,Caitlyn,7,4,True,10,7,7,258223,16793,17,286,3042,6676
131,Diana,11,4,False,7,9,6,162157,13108,17,184,3113,4636
35,Shaco,3,14,False,4,6,11,57469,10201,15,31,3853,6656
15,Sivir,7,4,False,7,4,12,295046,16234,18,310,3042,3158
78,Poppy,4,14,False,4,8,3,115270,11019,16,162,1054,3075
876,Lillia,11,4,False,6,6,9,257866,14297,18,74,6653,3157
350,Yuumi,3,7,False,1,5,13,8213,7481,14,7,3853,2055
55,Katarina,14,12,False,10,7,4,178245,15259,14,221,3053,6632
50,Swain,14,4,False,4,10,0,118177,9995,14,169,2420,6653
427,Ivern,4,11,False,0,6,13,472335,9944,15,21,6616,3011
10,Kayle,12,4,False,9,9,0,202038,15403,18,259,3153,3006
164,Camille,14,12,True,4,7,8,149531,12394,17,207,3078,3053
245,Ekko,4,12,True,13,2,15,218672,17285,18,248,3916,3152
64,LeeSin,4,11,True,9,3,14,182648,13426,17,27,3158,3053
412,Thresh,3,4,True,2,9,18,18022,8221,14,25,3075,1028
202,Jhin,6,4,True,9,3,19,244981,16570,18,244,3094,6671
9,Fiddlesticks,11,4,True,12,4,7,159679,13191,16,37,3041,3152
526,Rell,14,4,True,7,5,16,30665,10244,15,42,3109,3111
127,Lissandra,14,4,True,13,10,12,133394,13927,16,164,6656,3135
51,Caitlyn,7,4,True,11,6,16,210742,17070,17,202,3006,6671
