champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
236,Lucian,7,4,False,5,10,17,269814,17092,18,285,6671,3031
41,Gangplank,4,12,False,4,13,13,200506,14246,18,216,3078,2055
121,Khazix,4,11,False,22,6,14,300890,20285,18,58,3143,6693
350,Yuumi,3,14,False,6,6,27,28207,12243,18,12,2065,3222
103,Ahri,14,4,False,10,4,15,283069,17787,18,308,6656,3135
203,Kindred,11,4,True,13,9,13,355941,20769,18,126,3047,6672
117,Lulu,4,7,True,1,6,23,17197,10732,17,22,2065,3853
166,Akshan,14,4,True,6,15,13,126232,14746,18,150,6676,3026
39,Irelia,4,12,True,14,6,8,391670,25337,18,365,6333,3153
29,Twitch,4,3,True,5,11,10,196477,15032,17,185,3033,2421
166,Akshan,14,4,False,1,4,1,80634,7273,13,163,1055,2031
48,Trundle,14,4,False,0,2,7,18588,5348,11,34,4005,3857
164,Camille,14,12,False,1,5,4,69179,7443,13,148,1055,6632
498,Xayah,4,7,False,2,4,3,112227,9004,13,187,1055,6671
245,Ekko,4,11,False,6,6,3,115811,9222,12,25,3115,0
131,Diana,14,4,True,7,1,1,162746,12732,15,230,3020,4636
82,Mordekaiser,12,4,True,5,3,4,128155,11840,15,209,3115,4633
64,LeeSin,4,11,True,3,1,9,145708,9698,14,12,6630,2421
37,Sona,4,3,True,2,1,14,25743,8362,13,13,6617,1058
523,Aphelios,7,4,True,4,4,9,123810,10518,13,181,6671,2055
126,Jayce,12,4,False,1,11,1,69218,7142,12,126,6692,3042
40,Janna,4,14,False,1,6,5,9991,5531,10,6,3853,3011
498,Xayah,4,7,False,2,5,4,137481,10086,13,164,3508,3006
69,Cassiopeia,4,21,False,4,5,3,131048,10423,15,210,4633,2031
876,Lillia,4,11,False,2,12,3,118385,7799,12,48,1082,6656
166,Akshan,14,4,True,9,2,6,123333,11740,15,198,1055,6673
29,Twitch,7,4,True,7,4,8,145734,12538,14,185,3006,6671
350,Yuumi,14,3,True,4,1,17,16080,9007,13,13,3853,2055
114,Fiora,4,12,True,15,1,1,152453,14070,16,190,3074,6631
9,Fiddlesticks,11,4,True,4,2,8,140432,9117,14,19,3157,3020
421,RekSai,4,11,True,5,4,8,75887,8032,11,10,3814,2031
104,Graves,14,4,True,6,2,9,165238,12883,14,173,1037,6692
115,Ziggs,4,12,True,10,5,9,106646,10797,13,151,6653,1056
91,Talon,14,4,True,8,4,7,97368,10607,13,150,6630,3142
89,Leona,14,4,True,4,3,9,15429,6635,10,30,3117,3190
412,Thresh,14,4,False,1,2,11,15535,5445,10,30,2055,3117
246,Qiyana,14,4,False,5,7,5,80407,9041,13,155,6676,6693
523,Aphelios,4,1,False,4,8,6,87708,8919,11,165,1055,6673
54,Malphite,12,4,False,2,8,4,54267,7001,11,105,3157,3802
28,Evelynn,11,4,False,5,8,7,81676,7873,11,4,3020,3152
62,MonkeyKing,4,12,False,1,5,0,52769,6142,12,123,2031,6630
25,Morgana,4,11,False,1,8,0,103177,6227,11,20,6653,1082
115,Ziggs,4,12,False,0,2,0,130217,7684,13,221,3102,3020
53,Blitzcrank,14,4,False,0,4,2,15199,4454,10,33,0,0
29,Twitch,7,4,False,3,4,1,46147,7437,11,141,6673,3086
38,Kassadin,4,12,True,8,0,2,136244,10950,14,200,1082,3157
81,Ezreal,7,4,True,1,1,4,87075,7754,11,153,3042,3057
85,Kennen,12,4,True,6,2,2,104106,9801,14,186,3020,3152
203,Kindred,11,4,True,8,0,5,163395,12177,14,40,6672,3123
117,Lulu,4,3,True,0,2,9,15105,5686,10,6,3158,3853
81,Ezreal,4,7,True,8,3,9,185711,13619,15,217,6694,2421
166,Akshan,14,4,True,7,3,9,116123,11403,15,148,1055,6673
28,Evelynn,4,11,True,8,3,10,177959,12039,15,14,3152,0
24,Jax,4,12,True,2,7,5,126645,10989,14,178,2033,6632
40,Janna,14,4,True,7,5,16,16519,9844,13,13,3117,1082
12,Alistar,4,14,False,2,4,11,17130,6293,11,25,3860,3190
235,Senna,4,7,False,4,6,4,76825,9451,13,177,1055,6672
