champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
112,Viktor,4,6,False,8,7,24,79689,12439,17,72,6655,3020
555,Pyke,4,32,False,12,10,15,26984,14340,16,15,3142,6035
99,Lux,13,4,False,8,9,24,51176,11989,17,36,6655,3020
55,Katarina,14,4,False,14,12,10,62239,12420,16,38,6632,2031
37,Sona,13,4,False,4,7,32,32300,12234,17,32,6617,3011
360,Samira,32,4,True,5,9,10,22727,10835,14,27,6673,3006
45,Veigar,13,4,True,8,7,16,42900,12610,17,45,3157,3020
81,Ezreal,7,4,True,8,6,21,76582,12893,18,57,6632,3042
122,Darius,4,32,True,6,11,15,44603,11668,17,37,6630,3111
38,Kassadin,14,4,True,18,13,22,83792,14987,18,48,3158,3157
81,Ezreal,7,4,False,1,3,1,26694,4384,8,63,2031,3070
58,Renekton,12,4,False,4,4,0,57405,5911,10,106,3047,1055
28,Evelynn,11,4,False,2,3,4,54841,5252,9,8,3152,2031
40,Janna,4,3,False,0,7,2,5925,3443,7,15,2031,3851
55,Katarina,12,14,False,2,3,2,50165,5621,10,94,2031,1082
145,Kaisa,4,7,True,12,0,5,63765,10024,10,124,1055,2031
42,Corki,4,3,True,2,6,5,52980,5467,10,93,3004,2031
121,Khazix,14,12,True,1,2,3,76969,6005,11,114,1055,3004
89,Leona,14,4,True,1,0,10,19301,5089,9,39,3009,3855
120,Hecarim,11,6,True,4,1,7,108178,7024,11,9,6632,1036
166,Akshan,12,4,False,13,8,6,150162,14289,16,161,6673,3111
1,Annie,14,4,False,7,9,14,58520,12057,15,26,3853,0
56,Nocturne,11,4,False,5,11,9,240679,13487,16,66,6609,3211
134,Syndra,12,4,False,6,8,9,211245,14316,17,262,3020,4630
202,Jhin,4,3,False,3,7,16,140831,12331,15,192,3094,6671
16,Soraka,4,3,True,0,8,29,19570,9763,15,13,2065,3222
2,Olaf,11,4,True,13,4,11,209672,16147,17,64,3047,3026
127,Lissandra,4,12,True,1,6,11,160055,11700,18,228,4630,3916
236,Lucian,7,4,True,21,9,8,214232,19491,17,220,3031,6671
142,Zoe,14,4,True,7,7,9,127460,12862,17,166,3020,6655
523,Aphelios,1,4,False,9,3,5,141903,11807,12,188,6673,2055
13,Ryze,4,12,False,1,6,10,117761,8052,14,141,6656,3916
555,Pyke,14,4,False,7,10,7,33088,9335,11,60,3142,6693
412,Thresh,4,14,False,2,3,14,20600,7864,11,31,3857,2055
5,XinZhao,4,11,False,7,8,13,136375,11638,13,39,2055,6630
119,Draven,4,7,True,7,7,8,128894,12299,14,143,3006,3036
39,Irelia,12,4,True,10,4,5,214215,15979,16,254,3047,3091
203,Kindred,14,4,True,12,6,8,132458,14671,15,165,3026,6673
79,Gragas,4,11,True,1,4,13,122450,9108,14,13,3157,3158
89,Leona,4,14,True,0,5,11,9468,6048,11,18,3859,3190
39,Irelia,12,4,True,5,6,7,94050,9054,12,145,1055,6632
222,Jinx,7,4,True,1,4,7,64239,7253,12,118,6672,3006
104,Graves,14,11,True,8,5,7,127594,10349,13,28,2420,2031
37,Sona,14,4,True,1,3,10,13875,6538,11,18,3853,3070
13,Ryze,12,4,True,7,4,8,150638,12557,14,176,3111,3157
7,Leblanc,4,14,False,4,5,6,48950,7781,12,109,1082,2033
64,LeeSin,4,11,False,8,5,7,93487,8633,11,36,3053,6630
432,Bard,4,14,False,2,2,12,12946,6242,10,8,3190,3853
236,Lucian,7,4,False,6,3,6,101647,9535,12,155,3508,6671
98,Shen,4,14,False,2,7,9,29702,5690,11,65,1054,3047
432,Bard,3,4,True,0,3,18,12330,6244,11,10,1028,3853
222,Jinx,7,4,True,7,5,8,77773,10432,12,119,6672,3036
13,Ryze,12,4,True,12,3,5,148173,12393,14,187,3020,1058
164,Camille,12,14,True,5,2,3,45410,7617,12,106,1055,6632
120,Hecarim,6,11,True,6,4,9,138368,8887,12,28,6333,2031
69,Cassiopeia,4,12,False,2,10,1,92768,8088,12,157,3108,2031
32,Amumu,14,4,False,2,5,9,17218,5953,9,21,3859,3158
121,Khazix,4,11,False,3,5,4,96736,7954,11,13,0,3142
39,Irelia,12,4,False,3,3,0,98358,9358,13,165,3153,6632
18,Tristana,7,4,False,7,7,2,87207,9072,11,141,2031,1038
13,Ryze,12,4,True,3,1,5,159892,10188,15,199,3111,3157
26,Zilean,4,14,True,1,0,9,13157,6314,11,16,3853,3190
50,Swain,1,4,True,6,3,3,68156,8306,12,111,3157,0
92,Riven,14,4,True,3,5,1,101226,8925,13,173,3071,3123
59,JarvanIV,4,11,True,6,3,8,133947,10259,14,33,0,6630
498,Xayah,7,4,False,2,3,2,73926,7268,11,159,1055,6672
412,Thresh,14,4,False,2,3,4,15495,5666,10,31,2055,3190
39,Irelia,12,4,False,2,5,4,103895,8561,13,173,1055,3153
76,Nidalee,4,11,False,5,4,2,114724,8075,12,36,3157,3152
7,Leblanc,12,4,False,0,4,3,55129,6313,12,140,2055,2033
43,Karma,14,4,False,1,4,3,17942,4309,8,19,1082,2065
236,Lucian,4,7,False,1,4,4,50472,5789,9,122,6671,2031
59,JarvanIV,4,11,False,5,3,0,66221,6797,10,16,0,6630
114,Fiora,4,12,False,1,2,1,37290,5621,11,114,1054,6630
