champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
166,Akshan,14,4,True,8,6,9,125400,11313,14,139,3091,3111
235,Senna,4,3,True,5,3,20,87612,10819,14,35,3111,4643
28,Evelynn,11,4,True,13,8,11,106434,10887,13,4,3089,3152
266,Aatrox,4,12,True,6,6,14,95763,11064,14,143,3047,6333
236,Lucian,4,7,True,9,3,8,97297,12591,14,172,6671,2031
4,TwistedFate,4,12,False,1,8,10,79228,7828,12,108,2033,6656
107,Rengar,11,4,False,18,7,5,129664,14517,14,40,6691,3158
63,Brand,14,4,False,2,8,10,47100,7128,11,38,3853,6653
111,Nautilus,4,12,False,5,6,10,56020,8219,13,98,3076,3047
360,Samira,4,7,False,0,12,5,55703,6719,11,127,1055,6673
51,Caitlyn,7,4,False,5,6,1,77661,8291,11,159,6671,3009
223,TahmKench,12,4,False,1,4,6,55901,7108,12,149,8001,6662
84,Akali,14,12,False,5,4,1,94764,8422,12,160,3157,3020
141,Kayn,11,4,False,2,5,3,133964,7929,12,30,3158,3070
201,Braum,4,3,False,0,5,10,17360,5405,9,30,2055,3857
3,Galio,4,14,True,1,1,11,24497,6225,11,23,3190,0
104,Graves,12,4,True,11,1,5,120022,11757,14,155,6692,6694
164,Camille,12,14,True,3,4,6,62758,7971,12,120,1055,3078
79,Gragas,11,4,True,4,3,12,118221,9284,13,15,3152,3157
523,Aphelios,4,7,True,5,4,5,88597,9716,12,155,1055,3006
7,Leblanc,32,4,True,19,13,24,71897,18526,18,24,6655,3165
99,Lux,4,13,True,7,6,49,117177,18302,18,53,3165,6655
203,Kindred,4,6,True,13,11,29,196954,20276,18,143,3094,3047
51,Caitlyn,4,1,True,25,13,26,206210,22711,18,130,3091,3046
16,Soraka,4,13,True,1,7,56,11794,16015,18,6,6617,3107
126,Jayce,32,4,False,17,14,17,208907,21814,18,133,3158,6676
39,Irelia,32,4,False,8,19,16,135331,17978,18,127,3033,3111
111,Nautilus,4,32,False,3,12,19,30461,14407,18,11,3083,3143
117,Lulu,4,3,False,4,11,34,23548,16129,18,15,3040,3504
110,Varus,32,4,False,18,9,22,188643,20665,18,97,3042,3031
103,Ahri,4,14,True,6,5,18,106841,11990,17,133,6656,3157
26,Zilean,4,14,True,6,8,25,46116,10797,16,43,3853,3157
18,Tristana,7,4,True,15,9,10,238060,17969,17,212,3031,6672
98,Shen,14,4,True,6,5,17,103009,12501,17,150,3748,3111
5,XinZhao,11,4,True,10,5,18,201251,14569,17,48,6630,6333
16,Soraka,21,4,False,1,12,15,34725,9108,14,20,2065,3853
13,Ryze,12,4,False,11,6,3,258715,16804,16,255,3040,6653
236,Lucian,4,7,False,9,7,8,165323,13740,15,178,3123,6671
32,Amumu,4,11,False,3,9,7,203833,12156,16,28,4637,3076
238,Zed,4,14,False,8,9,6,122477,12439,15,167,6691,3158
36,DrMundo,12,4,False,1,3,3,85174,8140,13,160,3076,3068
268,Azir,12,4,False,4,6,4,137023,10313,14,217,1082,1058
64,LeeSin,4,11,False,5,5,4,137079,9553,13,33,6630,3053
43,Karma,4,14,False,2,8,4,13043,5897,10,18,3158,3853
81,Ezreal,4,7,False,2,6,3,62791,7299,11,135,1036,2055
34,Anivia,4,14,True,9,7,4,91697,10867,14,130,6656,3157
201,Braum,4,14,True,0,2,17,20793,7298,12,30,3190,0
121,Khazix,4,11,True,5,0,8,161676,10549,14,27,6630,3071
236,Lucian,4,7,True,13,0,6,126085,14615,14,197,3006,6671
114,Fiora,4,14,True,1,5,6,90257,8892,14,148,6630,0
37,Sona,3,4,False,1,8,12,5475,5912,10,10,3851,6617
80,Pantheon,14,4,False,2,9,8,70052,7085,12,109,3044,6630
164,Camille,12,14,False,14,6,4,108867,14265,15,153,3158,3091
64,LeeSin,4,11,False,8,7,7,103563,10015,13,25,2031,6630
112,Viktor,4,12,False,5,12,7,92042,8513,12,142,3916,0
18,Tristana,3,4,True,10,2,7,154983,13291,15,170,3036,3046
30,Karthus,11,3,True,9,6,20,136114,11666,14,37,0,0
55,Katarina,14,12,True,18,6,10,115541,14962,14,128,3041,1058
111,Nautilus,4,14,True,1,6,25,19653,7332,13,30,3190,0
39,Irelia,4,12,True,4,10,5,96333,8733,13,137,2033,3153
134,Syndra,12,4,True,4,5,5,81813,8612,12,147,6655,2055
27,Singed,4,12,True,12,3,10,114390,13138,14,160,3165,1011
78,Poppy,4,11,True,5,4,9,127062,9580,13,31,6632,3742
67,Vayne,1,4,True,8,2,4,91448,10813,12,149,3124,0
22,Ashe,4,7,True,2,4,11,38847,7319,11,21,3864,0
14,Sion,4,12,False,4,11,2,106199,8780,12,161,3181,3047
81,Ezreal,4,7,False,1,3,5,53435,6799,11,125,3070,2031
89,Leona,4,14,False,1,6,7,9471,4655,9,16,3190,2055
4,TwistedFate,12,4,False,4,6,6,89786,8954,13,130,2424,3100
64,LeeSin,11,4,False,8,5,4,100179,9933,12,28,2420,6630
523,Aphelios,4,7,False,6,7,7,140251,12500,14,202,1055,3086
526,Rell,14,4,False,1,6,14,24513,7862,13,37,3076,3190
58,Renekton,4,12,False,1,8,8,130287,9986,15,200,2421,6630
64,LeeSin,4,11,False,10,5,5,172361,13769,15,26,6630,3067
7,Leblanc,12,4,False,3,6,8,117710,10620,15,199,3135,6655
28,Evelynn,11,4,True,3,5,21,158465,11590,16,7,3152,4630
111,Nautilus,4,14,True,2,6,23,21966,8772,14,43,3190,0
81,Ezreal,4,7,True,10,5,14,136841,13689,15,203,1055,3158
875,Sett,12,4,True,9,2,9,200215,15796,17,241,3748,6630
101,Xerath,7,4,True,8,3,17,165758,13527,17,234,2055,6655
58,Renekton,12,4,False,1,6,5,156413,10158,15,192,6630,3053
81,Ezreal,4,7,False,9,10,8,188397,13728,14,232,3026,3508
30,Karthus,4,11,False,5,8,10,185525,11219,15,41,3157,3020
246,Qiyana,14,4,False,18,11,2,157666,14647,16,192,6695,6693
267,Nami,3,4,False,0,5,20,15981,8113,14,21,2065,3853
107,Rengar,14,4,True,7,1,7,197274,15219,18,233,1055,3047
51,Caitlyn,7,4,True,12,8,8,182996,15432,17,194,1038,3006
28,Evelynn,4,11,True,15,5,9,198312,15687,18,28,3157,3152
236,Lucian,12,4,True,5,11,10,154444,14265,16,213,3508,6671
111,Nautilus,4,3,True,1,8,13,24051,8028,14,35,3190,2055
127,Lissandra,4,12,False,4,3,7,83030,8506,12,154,6655,3191
81,Ezreal,7,4,False,5,5,5,70490,8341,12,148,6632,3042
203,Kindred,11,4,False,5,2,6,156410,9479,13,25,6672,3036
497,Rakan,4,14,False,1,6,10,16099,5695,9,33,3860,2065
126,Jayce,12,4,False,3,7,3,93172,8352,12,129,6692,3042
131,Diana,12,4,True,5,5,5,79763,9073,13,109,1056,3152
64,LeeSin,4,11,True,6,1,9,111305,9809,13,26,2055,6630
523,Aphelios,1,4,True,8,4,6,144001,13181,13,214,6672,3072
79,Gragas,4,3,True,1,3,10,23113,6344,11,43,1033,0
54,Malphite,4,12,True,3,5,7,50873,7463,12,103,3024,2033
