champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
42,Corki,4,12,True,6,0,14,132777,11469,14,170,6673,2033
236,Lucian,4,7,True,7,6,11,87974,9756,13,146,1018,3006
121,Khazix,11,4,True,17,1,8,127642,12610,14,32,3123,3142
432,Bard,4,14,True,4,4,21,21760,8030,11,13,3853,2065
114,Fiora,4,12,True,4,6,3,84906,8074,12,124,6630,1055
92,Riven,14,4,False,10,6,1,104319,10628,14,139,3071,1037
21,MissFortune,4,3,False,2,10,3,82673,7399,11,145,3070,6609
89,Leona,14,4,False,2,9,3,10366,4742,8,23,3009,3855
120,Hecarim,11,6,False,2,9,3,111742,7272,11,19,3078,1036
6,Urgot,4,12,False,1,5,4,72317,6740,12,136,3748,2031
18,Tristana,4,7,True,7,1,1,64363,8944,10,123,1055,2420
223,TahmKench,12,4,True,2,2,6,44548,6550,11,110,1029,2031
203,Kindred,11,4,True,6,2,1,95643,7395,11,25,2031,6672
53,Blitzcrank,14,4,True,2,2,7,13620,4974,8,27,2055,2065
112,Viktor,4,12,True,3,2,1,40948,5536,10,102,1056,6655
245,Ekko,11,4,False,2,3,2,74871,5946,10,18,2031,3152
92,Riven,12,4,False,1,4,3,49170,5018,10,96,1001,2031
202,Jhin,4,7,False,3,5,2,40991,5099,9,90,1055,6670
91,Talon,14,4,False,1,2,1,38212,4287,9,76,3134,2031
40,Janna,14,4,False,2,6,2,8844,3977,7,2,6695,0
37,Sona,4,3,False,1,5,2,14732,5026,9,7,3158,3853
234,Viego,4,11,False,2,2,2,121426,7535,12,19,6673,3047
11,MasterYi,14,4,False,0,4,0,58560,5634,11,115,1055,3091
92,Riven,14,12,False,3,5,1,76781,8080,12,143,1055,3067
202,Jhin,4,7,False,1,3,1,78289,7354,10,156,3134,6671
350,Yuumi,14,3,True,3,1,12,5530,5967,10,1,2065,3851
18,Tristana,7,4,True,2,1,4,70434,6273,11,108,6671,2031
24,Jax,14,4,True,1,3,2,52267,5719,11,112,2033,3078
103,Ahri,14,4,True,3,0,2,87283,7306,13,141,1082,6656
141,Kayn,11,4,True,10,2,6,130082,10037,12,36,6693,3133
432,Bard,4,3,True,0,5,23,22144,8383,14,20,3111,3853
150,Gnar,12,4,True,6,7,8,122021,11421,16,144,3066,6632
76,Nidalee,11,4,True,15,4,12,214516,16098,16,42,4636,3135
202,Jhin,7,4,True,8,5,18,134816,13265,15,188,6671,3031
42,Corki,4,12,True,6,6,11,164530,13194,16,190,1054,3508
64,LeeSin,4,11,False,11,4,10,187602,13832,14,28,6630,2421
38,Kassadin,14,4,False,4,5,6,119672,10705,15,159,1082,3157
