champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
40,Janna,32,4,True,5,5,33,33410,12161,18,16,6617,3020
67,Vayne,1,4,True,21,6,11,119469,16000,18,103,3153,6673
134,Syndra,32,4,True,10,10,25,70732,13110,17,36,6655,3020
111,Nautilus,4,32,True,8,8,29,35077,13238,18,20,3065,0
117,Lulu,4,7,True,3,8,34,14072,11697,17,19,3158,3504
26,Zilean,4,21,False,6,7,24,74193,13370,18,61,6656,3158
163,Taliyah,4,32,False,6,10,14,31372,11111,15,21,3165,3157
10,Kayle,21,4,False,2,9,19,76112,11849,16,61,6672,3006
110,Varus,21,4,False,9,11,16,49808,11719,16,33,3070,6695
31,Chogath,4,32,False,12,10,12,48569,13276,17,31,3083,3047
876,Lillia,32,4,False,7,7,10,47925,9956,14,41,6653,4637
17,Teemo,4,3,False,12,12,13,35981,10635,14,26,6653,4637
143,Zyra,3,4,False,3,11,17,46828,8770,14,36,3020,6653
412,Thresh,32,4,False,3,8,23,18226,8760,14,16,2051,3068
150,Gnar,4,32,False,6,9,14,38196,10127,13,29,3111,2051
517,Sylas,4,32,True,19,9,19,48178,13230,15,21,6656,2421
60,Elise,4,32,True,5,7,20,29163,9652,15,15,2031,3157
268,Azir,21,4,True,9,4,29,62531,11876,16,53,6655,3020
254,Vi,32,4,True,9,8,18,25158,10588,14,20,6691,3111
236,Lucian,4,21,True,5,3,13,41802,10184,15,57,6673,3006
69,Cassiopeia,4,21,False,12,13,16,84240,15277,18,79,0,3157
107,Rengar,32,4,False,18,16,9,93023,17441,18,48,3071,3508
240,Kled,4,21,False,7,13,24,82196,13742,18,52,2051,3111
55,Katarina,4,32,False,7,15,18,48275,13480,18,27,3112,4633
27,Singed,32,4,False,4,14,23,74814,13199,18,50,6664,3065
63,Brand,13,7,True,11,11,46,86593,14919,18,36,6653,3157
99,Lux,13,4,True,6,9,38,56388,13261,18,37,6655,3089
81,Ezreal,4,21,True,19,10,35,92067,16856,18,51,6632,3042
150,Gnar,4,32,True,17,6,32,64290,16156,18,37,3075,6630
157,Yasuo,32,4,True,18,12,23,117660,16912,18,82,6673,3031
555,Pyke,4,32,False,10,9,8,16174,10401,12,15,6691,6676
11,MasterYi,4,32,False,7,11,9,27843,9161,12,16,6676,1038
236,Lucian,7,4,False,10,9,9,47922,10738,13,40,6672,3006
89,Leona,4,32,False,0,8,11,11085,6953,13,8,3065,3111
81,Ezreal,14,4,False,1,10,15,26756,7366,13,13,1052,1058
143,Zyra,4,13,True,10,5,21,31856,10518,14,36,6653,3020
26,Zilean,14,4,True,6,4,30,39559,9700,15,31,3070,3112
5,XinZhao,4,32,True,21,10,14,64862,12430,15,38,6630,3047
497,Rakan,4,32,True,3,5,34,9660,8937,14,5,3107,2065
34,Anivia,21,4,True,7,5,17,28138,9016,14,25,6655,3070
245,Ekko,4,32,False,22,12,23,136036,16981,18,90,3152,3157
222,Jinx,4,32,False,8,11,24,52253,13846,18,46,6672,3072
266,Aatrox,4,32,False,4,10,23,72885,13338,18,39,6630,3111
555,Pyke,32,4,False,9,12,14,19636,14194,16,5,3142,3111
429,Kalista,1,4,False,16,13,20,61415,15812,18,45,6673,3091
67,Vayne,4,32,True,13,11,16,98356,15606,18,76,3091,6673
147,Seraphine,4,32,True,7,12,33,60800,13975,18,43,6653,3020
517,Sylas,4,32,True,9,12,26,64062,14298,18,20,4629,4636
246,Qiyana,32,4,True,16,12,19,86064,16260,18,44,3042,3142
122,Darius,4,6,True,13,12,14,72079,14969,18,57,3078,3111
32,Amumu,4,14,True,1,7,9,20081,7084,11,34,3860,3190
18,Tristana,7,4,True,11,4,5,199440,14794,15,204,6672,3046
875,Sett,4,12,True,5,3,10,141469,13126,15,191,1055,3053
421,RekSai,11,4,True,9,7,6,140544,11629,14,9,2031,6693
13,Ryze,12,4,True,3,3,11,136459,10546,15,183,2424,2055
39,Irelia,12,4,False,4,7,3,111991,9083,14,172,3153,3047
51,Caitlyn,4,3,False,3,6,9,123147,9622,13,175,1083,3006
35,Shaco,14,11,False,6,4,9,135164,10280,13,26,4629,1026
37,Sona,4,7,False,2,6,11,14311,6786,11,26,3114,3853
105,Fizz,4,14,False,9,7,3,81230,9914,13,128,2033,4636
81,Ezreal,7,4,False,1,3,1,26694,4384,8,63,2031,3070
58,Renekton,12,4,False,4,4,0,57405,5911,10,106,3047,1055
28,Evelynn,11,4,False,2,3,4,54841,5252,9,8,3152,2031
40,Janna,4,3,False,0,7,2,5925,3443,7,15,2031,3851
55,Katarina,12,14,False,2,3,2,50165,5621,10,94,2031,1082
145,Kaisa,4,7,True,12,0,5,63765,10024,10,124,1055,2031
42,Corki,4,3,True,2,6,5,52980,5467,10,93,3004,2031
121,Khazix,14,12,True,1,2,3,76969,6005,11,114,1055,3004
89,Leona,14,4,True,1,0,10,19301,5089,9,39,3009,3855
120,Hecarim,11,6,True,4,1,7,108178,7024,11,9,6632,1036
