champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
121,Khazix,11,4,False,1,4,4,130250,8021,12,36,1001,0
432,Bard,4,14,False,1,4,9,19973,6794,12,13,3067,3190
54,Malphite,4,12,False,0,8,7,81991,7400,13,128,3076,2031
523,Aphelios,7,4,False,5,6,2,123852,10435,13,177,3086,6671
134,Syndra,4,12,False,7,7,3,112562,11243,14,173,2033,3040
555,Pyke,4,11,True,9,7,5,39297,10988,13,40,6691,3142
92,Riven,12,4,True,8,1,14,174642,16099,16,216,6333,3026
127,Lissandra,4,12,True,2,4,8,108591,9864,14,149,3158,2033
236,Lucian,4,7,True,4,1,7,129938,10603,15,157,6671,3033
79,Gragas,4,11,True,6,1,2,159522,10609,14,6,3100,3157
55,Katarina,12,14,True,18,3,5,128178,13241,14,173,3020,3157
81,Ezreal,7,4,True,1,1,10,91734,9042,13,184,1055,3078
114,Fiora,12,4,True,8,3,5,149843,13230,15,195,6630,3508
111,Nautilus,4,3,True,0,0,12,17975,5866,12,28,2055,3860
35,Shaco,14,11,True,7,0,9,130778,9706,14,13,6631,3142
117,Lulu,4,3,False,0,5,3,8487,4747,10,12,3853,2065
777,Yone,4,14,False,1,11,1,71605,6250,12,109,1055,6673
166,Akshan,14,4,False,3,9,2,95579,8458,13,142,2031,1036
30,Karthus,11,4,False,2,6,1,157259,8109,13,62,3157,6653
236,Lucian,4,7,False,1,4,0,101514,7728,11,177,3508,6671
48,Trundle,11,4,False,1,3,5,27381,4783,8,16,2422,2031
145,Kaisa,3,4,False,5,1,1,73401,8826,11,130,6676,3006
111,Nautilus,14,4,False,0,1,3,6927,3510,7,13,3859,1029
164,Camille,14,12,False,4,3,1,52501,6580,11,109,1055,3158
4,TwistedFate,12,4,False,2,2,3,61965,6387,11,110,3158,6656
107,Rengar,11,4,True,5,2,3,97404,8197,10,27,6632,2031
14,Sion,4,12,True,0,4,2,73749,6411,11,124,2033,2055
61,Orianna,4,12,True,2,2,5,95071,8200,12,163,3070,3020
267,Nami,4,14,True,0,2,7,10584,5762,8,3,3853,2003
236,Lucian,4,7,True,3,2,2,66603,7119,10,107,6671,1083
166,Akshan,14,4,False,3,3,2,72326,6775,12,133,2031,3091
360,Samira,7,4,False,0,4,3,40135,5246,10,89,1055,6673
526,Rell,3,4,False,0,3,3,10944,4162,9,20,3859,3105
75,Nasus,4,12,False,1,3,0,63619,5973,12,125,1006,1006
234,Viego,11,4,False,4,3,2,83512,6945,10,23,6673,1043
412,Thresh,14,4,True,2,4,9,22229,6449,11,35,6660,1033
121,Khazix,4,11,True,6,3,4,106006,8299,12,13,3158,2031
7,Leblanc,4,14,True,3,0,3,66224,7660,12,135,2033,2055
236,Lucian,4,7,True,3,1,7,108703,10256,12,174,6672,3508
164,Camille,14,12,True,2,1,3,74103,7697,13,164,3077,6632
245,Ekko,11,4,True,7,1,17,181376,12409,15,47,3152,2421
111,Nautilus,4,14,True,3,6,10,18021,7425,13,34,3860,3190
21,MissFortune,4,7,True,13,5,6,168602,15932,15,225,3140,6672
150,Gnar,4,12,True,2,4,15,112449,10432,15,151,0,3091
