champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
15,Sivir,7,4,False,2,8,3,87809,8334,11,155,1055,3004
164,Camille,14,12,False,4,4,3,78129,9055,13,154,2031,3074
131,Diana,14,4,False,1,5,4,101130,8150,13,184,3111,4636
412,Thresh,4,3,False,1,6,6,14892,5755,10,28,2055,3857
11,MasterYi,11,14,False,6,4,2,150739,9961,13,32,6672,3091
104,Graves,4,12,True,6,4,6,121693,11305,14,175,3142,6692
92,Riven,12,4,True,2,5,4,97473,8672,14,166,6630,2031
9,Fiddlesticks,4,11,True,8,0,11,147167,11696,14,27,3157,3152
555,Pyke,4,14,True,5,3,4,18317,7564,12,40,3857,3133
69,Cassiopeia,4,12,True,6,3,4,96485,9968,13,160,3040,3135
427,Ivern,11,4,False,0,3,6,256849,5322,9,21,3158,6617
131,Diana,14,4,False,6,6,5,82311,8526,12,130,3111,4636
523,Aphelios,7,4,False,4,8,0,68644,7428,10,124,6673,3134
875,Sett,14,4,False,4,7,4,27217,5648,9,32,3742,3855
126,Jayce,4,12,False,0,10,3,61062,5329,11,92,6692,3070
113,Sejuani,4,11,True,5,3,11,101646,8703,12,16,6662,2031
202,Jhin,4,7,True,12,1,5,98315,11118,12,148,3142,6695
74,Heimerdinger,4,3,True,1,5,10,38712,6325,10,15,0,2031
114,Fiora,12,4,True,7,0,7,110875,11159,13,165,6630,2031
68,Rumble,4,14,True,9,5,5,87203,10036,12,141,3152,3157
246,Qiyana,14,4,True,8,8,6,75988,10967,13,112,3071,6630
126,Jayce,12,4,True,5,9,4,120269,10786,14,151,6692,3042
104,Graves,11,4,True,8,4,3,192912,12079,15,71,3035,0
32,Amumu,4,14,True,1,4,9,28815,7381,11,38,0,3860
69,Cassiopeia,4,12,True,8,3,8,137436,12479,14,168,3040,6653
37,Sona,4,7,False,0,4,11,29101,7316,12,87,3070,6617
555,Pyke,4,14,False,8,7,4,29362,9627,11,60,3857,3158
203,Kindred,4,11,False,8,4,7,146380,11850,14,36,6672,0
39,Irelia,12,4,False,6,7,6,144869,12040,15,200,6630,2031
68,Rumble,4,14,False,5,8,13,113031,10340,14,139,3152,3157
516,Ornn,12,4,False,2,3,1,52008,6459,11,124,1054,2031
432,Bard,3,4,False,0,4,2,12408,3500,8,29,3859,2055
28,Evelynn,4,11,False,2,6,2,61933,4954,9,3,1082,3020
18,Tristana,7,4,False,1,2,1,29033,4477,8,86,6672,1042
62,MonkeyKing,12,4,False,0,2,0,47664,4824,11,118,1029,2031
53,Blitzcrank,4,3,True,0,1,7,13586,5118,9,28,2065,3117
114,Fiora,12,4,True,2,0,2,55028,7115,11,135,6630,1036
15,Sivir,7,4,True,1,3,5,65326,6791,9,116,6691,3070
76,Nidalee,11,4,True,11,0,3,91182,9401,10,19,3115,3152
91,Talon,14,4,True,3,1,2,83839,7527,12,130,6630,3133
99,Lux,3,4,False,6,8,19,87127,13055,16,62,3041,6655
27,Singed,12,6,False,5,10,8,194844,14819,18,231,4637,3916
76,Nidalee,4,11,False,9,10,14,238292,15562,17,31,3089,3157
51,Caitlyn,4,7,False,14,7,7,231809,18909,18,247,3026,6671
