champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
121,Khazix,11,4,False,3,4,0,76705,5714,9,14,2031,2055
43,Karma,14,4,False,0,4,1,9249,2949,8,3,2055,3850
3,Galio,12,4,False,0,5,4,41299,4778,10,95,2031,3047
36,DrMundo,4,12,False,2,1,0,46330,6561,11,137,6662,1054
110,Varus,4,7,False,0,3,2,54834,5304,10,144,2031,0
28,Evelynn,4,11,True,5,2,5,82453,7396,11,12,3020,2031
80,Pantheon,4,12,True,6,2,7,78475,8725,12,138,2033,3044
2,Olaf,12,4,True,2,0,1,72867,6524,11,143,3044,2033
350,Yuumi,3,14,True,1,0,9,4407,4353,9,0,2055,3851
51,Caitlyn,7,4,True,3,1,5,71573,6560,10,139,6671,2031
6,Urgot,4,12,True,9,2,11,150544,12916,16,185,1031,3748
16,Soraka,3,4,True,1,7,14,12603,7283,13,7,3853,2065
222,Jinx,4,7,True,2,4,14,145901,11693,14,222,1055,6671
28,Evelynn,4,11,True,8,4,7,124657,10674,14,19,3041,2031
234,Viego,4,12,True,6,1,5,126960,12668,15,183,1057,3053
245,Ekko,11,4,False,8,6,3,189863,12135,14,29,3135,3916
412,Thresh,4,14,False,3,4,8,16511,7528,11,33,3857,3190
238,Zed,4,14,False,4,4,5,132530,9938,14,183,3158,2031
523,Aphelios,4,7,False,3,3,5,145311,11310,13,231,2055,6673
240,Kled,4,12,False,0,9,3,111165,9468,14,185,6630,3044
777,Yone,14,4,True,11,5,19,62956,11654,15,65,3051,6673
26,Zilean,4,1,True,7,4,22,31638,9916,14,15,3070,3102
517,Sylas,32,4,True,6,8,24,21749,10386,14,6,3157,6656
22,Ashe,7,4,True,2,6,27,37615,9809,14,38,1036,3070
246,Qiyana,32,4,True,13,5,19,38329,11230,14,24,6691,3111
24,Jax,32,4,False,3,9,9,27184,8460,13,25,2031,1053
54,Malphite,4,32,False,13,9,11,33118,11635,14,14,4636,3020
147,Seraphine,3,4,False,7,7,16,39829,9751,14,35,3157,3020
14,Sion,4,32,False,4,8,16,57913,9261,14,47,2051,6662
117,Lulu,4,13,False,1,6,21,9392,8638,14,10,6617,3047
20,Nunu,4,14,True,4,6,17,38966,7597,11,39,3009,0
82,Mordekaiser,4,12,True,3,0,5,80861,8681,14,165,1011,1026
4,TwistedFate,4,12,True,8,0,11,121505,12189,14,177,3158,6656
203,Kindred,4,7,True,9,5,6,97568,10824,12,135,3085,6672
2,Olaf,11,4,True,7,2,9,152026,11129,14,25,3047,2420
35,Shaco,14,11,False,2,7,5,77170,6109,10,4,6653,2031
23,Tryndamere,6,4,False,1,5,1,102497,8311,13,183,1054,3508
48,Trundle,4,14,False,4,10,5,21570,6480,10,33,3076,3857
115,Ziggs,4,12,False,5,5,6,84467,9085,12,161,1056,6653
58,Renekton,12,4,False,1,4,2,62929,6517,12,138,6630,2031
412,Thresh,4,14,True,1,2,14,14197,4855,9,23,2031,3855
2,Olaf,11,4,True,7,0,4,144416,9922,12,20,3047,3053
1,Annie,14,4,True,5,1,6,41969,6751,11,104,1082,2031
98,Shen,12,4,True,4,3,7,32056,5896,10,81,1054,3076
110,Varus,4,3,True,4,5,6,72820,8733,10,123,3006,6673
235,Senna,4,7,False,1,6,8,23764,5757,9,23,0,0
887,Gwen,4,11,False,4,3,0,67327,6454,9,13,3115,3158
266,Aatrox,4,12,False,1,3,1,41570,5241,11,119,6630,1054
50,Swain,4,3,False,2,6,6,35922,5292,9,76,1056,2031
19,Warwick,4,21,False,3,3,0,43822,6064,11,126,1055,6632
164,Camille,12,4,True,6,3,11,118305,11528,15,166,3078,3748
48,Trundle,4,3,True,2,5,26,21635,8785,13,34,3857,3190
235,Senna,4,7,True,7,3,22,127697,13173,14,160,6692,3142
104,Graves,11,4,True,16,4,8,205502,15265,15,43,6694,3142
3,Galio,4,14,True,9,5,16,92356,10984,14,137,3111,3152
266,Aatrox,4,12,False,0,5,6,82656,8097,13,168,6630,1055
523,Aphelios,4,7,False,6,11,8,104555,9611,12,131,1018,6673
76,Nidalee,4,11,False,7,9,4,114844,10972,13,22,3152,3157
43,Karma,14,4,False,4,7,10,42773,7782,11,36,1004,2065
134,Syndra,12,4,False,3,8,9,119384,9961,14,197,4630,6655
360,Samira,1,4,False,6,9,5,152130,13174,15,241,1055,3072
85,Kennen,4,12,False,5,9,8,112171,11609,16,179,3152,3157
48,Trundle,4,14,False,1,5,13,21379,7447,13,42,0,3190
43,Karma,12,4,False,5,7,3,106920,9595,15,159,1056,6655
64,LeeSin,11,4,False,7,8,8,172126,12646,15,53,2420,2055
236,Lucian,4,7,True,7,5,13,225705,14668,16,239,0,3031
28,Evelynn,4,11,True,22,1,5,207876,17051,17,42,3089,3152
223,TahmKench,4,12,True,4,4,12,92344,11284,16,147,6662,0
4,TwistedFate,4,12,True,3,8,12,158504,13718,17,202,3100,3158
201,Braum,14,4,True,2,6,20,25342,9406,14,29,3009,3860
