champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
266,Aatrox,4,14,False,10,8,7,140745,14271,16,167,1011,6630
39,Irelia,4,14,False,8,12,1,91928,11669,15,139,3051,3153
43,Karma,4,3,False,1,9,13,31322,8021,14,30,3853,6617
22,Ashe,4,7,False,7,5,6,171906,13738,16,212,6672,3124
427,Ivern,11,4,False,2,9,11,353240,8923,14,8,3158,2065
32,Amumu,11,4,True,5,5,19,153023,11116,15,19,3068,3110
59,JarvanIV,14,4,True,6,2,19,50886,9710,14,29,3157,1028
166,Akshan,4,14,True,17,6,10,197800,16520,17,197,6672,3047
164,Camille,14,12,True,5,13,7,99475,10032,14,144,3053,3078
147,Seraphine,4,7,True,10,3,11,176251,15081,16,239,1058,3158
22,Ashe,7,4,False,4,6,9,96452,9950,13,161,1055,6672
25,Morgana,14,4,False,1,8,10,22644,6606,11,12,3158,3157
246,Qiyana,14,4,False,4,11,5,107126,10205,13,124,6693,3142
234,Viego,11,4,False,8,8,6,110639,10503,13,17,3111,3091
266,Aatrox,4,12,False,4,6,5,90260,9201,14,144,1054,6630
104,Graves,11,4,True,3,7,15,174972,11357,15,25,6692,6676
555,Pyke,14,4,True,9,2,9,23443,12186,13,23,3179,2421
85,Kennen,4,14,True,15,6,11,131810,14151,17,153,3157,3152
360,Samira,7,4,True,12,5,10,141556,14326,15,168,6673,3031
518,Neeko,4,12,True,0,1,10,87798,8537,15,159,1056,3047
102,Shyvana,4,6,False,16,10,9,41726,10925,12,19,4636,3020
99,Lux,4,13,False,1,8,25,17576,7580,13,15,3158,6617
122,Darius,32,4,False,9,12,10,32524,9029,13,30,3065,6631
147,Seraphine,4,3,False,5,6,23,48163,8915,14,41,3112,3040
412,Thresh,32,4,False,3,7,25,17479,7953,12,16,2051,3068
222,Jinx,4,32,True,6,5,21,36350,9486,14,30,6673,3006
81,Ezreal,4,32,True,8,7,24,46874,9573,13,32,3508,3042
18,Tristana,1,4,True,11,8,13,48526,10823,14,50,6672,3006
28,Evelynn,32,4,True,8,7,17,22729,9279,13,15,3152,3020
234,Viego,32,4,True,10,7,13,25082,10408,14,18,6632,3153
107,Rengar,12,14,False,19,14,4,167938,16794,16,130,6692,3508
245,Ekko,4,11,False,8,12,10,144690,11063,16,41,3020,3157
22,Ashe,7,4,False,5,4,17,176354,12458,17,233,3006,6673
79,Gragas,4,14,False,6,5,16,50690,9869,15,46,3157,3860
777,Yone,4,14,False,4,12,12,171046,11981,16,179,3031,3006
141,Kayn,4,11,True,9,8,6,174371,13249,15,46,2420,3053
887,Gwen,14,12,True,21,4,6,231812,20352,18,250,4633,3157
498,Xayah,1,4,True,9,5,6,171974,13760,15,190,6671,3508
246,Qiyana,4,14,True,4,16,8,91837,9453,14,110,6693,3142
16,Soraka,7,4,True,3,9,19,24297,9437,14,22,3853,4643
245,Ekko,32,4,False,13,8,7,96541,13692,17,77,3152,3020
111,Nautilus,4,32,False,0,7,13,22370,9819,15,16,2051,3068
887,Gwen,32,6,False,2,8,12,48818,10895,15,42,4633,3111
121,Khazix,4,32,False,7,10,11,62234,11524,14,28,6691,0
8,Vladimir,32,4,False,5,7,11,69141,11198,16,38,3916,2031
90,Malzahar,13,4,True,9,5,22,92930,13740,17,96,6653,4637
16,Soraka,4,7,True,3,4,35,8030,10998,16,4,2031,3107
122,Darius,4,32,True,9,7,22,57272,12428,16,43,1057,6630
42,Corki,32,4,True,9,6,24,45597,12225,16,22,6653,3020
81,Ezreal,21,4,True,10,5,22,69442,13307,16,62,6632,3042
8,Vladimir,4,6,False,21,10,15,163799,19951,18,103,3089,3152
63,Brand,4,32,False,9,15,13,71083,15170,18,43,3157,3020
150,Gnar,4,32,False,7,19,20,67150,14958,18,45,6632,3143
143,Zyra,4,13,False,8,10,19,92638,15797,18,69,6653,3916
89,Leona,32,4,False,5,14,22,34781,13787,18,25,2051,3075
104,Graves,32,4,True,19,13,18,113382,18242,18,109,6692,6676
121,Khazix,32,4,True,19,9,21,76049,18130,18,34,3042,6691
22,Ashe,7,4,True,3,8,45,100109,16072,18,79,6673,3139
122,Darius,32,4,True,7,12,27,50520,15748,18,40,3065,3111
101,Xerath,4,32,True,19,8,35,115196,18610,18,43,6655,4628
32,Amumu,32,4,True,4,11,31,35887,11896,17,26,3001,3111
51,Caitlyn,4,21,True,12,6,23,93818,14364,18,82,3006,3095
134,Syndra,4,21,True,6,6,26,75764,12493,18,44,6655,3020
7,Leblanc,14,4,True,15,10,19,47262,13776,18,30,6655,3020
107,Rengar,4,21,True,17,10,20,56245,14923,18,30,3047,3053
81,Ezreal,3,4,False,8,7,16,83873,13463,18,74,3042,3156
38,Kassadin,4,32,False,10,13,15,63211,12542,17,38,3112,6655
875,Sett,4,32,False,7,13,17,48936,11850,16,33,6630,3053
266,Aatrox,32,4,False,7,12,14,59900,12368,17,46,6630,1057
143,Zyra,1,4,False,10,9,19,67251,13986,17,45,6653,3020
887,Gwen,12,14,False,4,7,0,46795,6452,11,97,1055,3111
166,Akshan,14,4,False,6,4,5,32903,5978,10,76,3091,1036
497,Rakan,14,4,False,2,6,3,10116,3932,8,22,3858,1028
245,Ekko,11,4,False,1,5,1,39557,3993,8,5,3020,2031
202,Jhin,4,7,False,4,5,3,44338,6312,9,90,2031,0
203,Kindred,4,11,True,7,2,3,102976,8141,11,9,6672,2031
10,Kayle,12,4,True,6,4,5,46989,6835,10,82,3115,3006
22,Ashe,4,7,True,8,3,8,50748,8115,10,113,1055,2031
55,Katarina,14,12,True,4,6,6,37595,5738,10,78,1082,3020
89,Leona,4,14,True,2,2,9,14595,5261,9,22,8001,3859
101,Xerath,3,4,False,6,4,16,52812,10469,15,35,3112,2031
59,JarvanIV,32,4,False,5,9,28,29932,10139,16,22,6631,3047
29,Twitch,4,32,False,13,11,19,56470,13159,15,59,6672,3006
89,Leona,4,32,False,3,12,29,26449,9748,15,11,3068,3105
18,Tristana,1,4,False,14,11,12,56382,12701,15,62,3046,3006
61,Orianna,4,13,True,2,9,26,29982,9990,15,35,2421,3020
17,Teemo,4,3,True,6,7,21,38906,10496,16,26,4637,6653
121,Khazix,14,4,True,16,9,11,49975,12506,16,42,3042,3134
235,Senna,4,6,True,11,5,25,43399,12400,16,24,3042,6632
360,Samira,7,4,True,12,11,18,59706,12645,16,49,3111,6673
526,Rell,32,4,True,4,8,25,20912,10742,17,5,3190,3083
86,Garen,4,32,True,9,12,11,38794,11749,16,30,3111,6631
90,Malzahar,4,6,True,12,7,21,85065,14517,17,107,6653,3116
64,LeeSin,4,32,True,11,13,29,54463,13021,16,20,6630,3047
555,Pyke,32,4,True,11,6,17,21815,12771,17,6,6691,3158
53,Blitzcrank,32,4,False,8,8,22,31219,10956,15,14,4629,6656
127,Lissandra,4,32,False,6,9,29,75895,11383,16,52,0,1052
126,Jayce,4,21,False,17,6,20,79945,13408,17,65,3177,3042
245,Ekko,4,1,False,7,12,16,35705,10576,15,34,6655,3140
84,Akali,32,4,False,8,12,15,34858,11442,16,15,3152,3020
