champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
143,Zyra,7,4,True,8,7,22,48862,11531,16,32,6653,3020
22,Ashe,21,4,True,3,7,25,45039,10887,16,42,6673,3006
104,Graves,4,32,True,19,6,15,62940,13760,16,68,6673,3111
50,Swain,4,32,True,14,6,21,47166,12272,15,36,6653,3020
526,Rell,4,6,True,4,7,24,19984,10425,16,14,3112,3047
7,Leblanc,4,14,False,7,6,15,41032,10090,15,17,3191,3020
412,Thresh,4,32,False,9,12,16,34156,12062,15,38,3006,6671
166,Akshan,4,21,False,5,9,11,45096,9722,14,56,6672,3153
38,Kassadin,4,32,False,9,15,8,32332,10286,14,22,6655,3157
235,Senna,4,21,False,3,6,24,45747,10604,16,27,3042,6672
268,Azir,4,14,False,1,8,3,65466,7074,12,154,3020,2033
236,Lucian,4,7,False,8,6,3,122066,10875,12,170,3031,6671
59,JarvanIV,12,4,False,1,6,0,66040,6373,12,126,1054,1028
5,XinZhao,11,4,False,2,4,5,93459,7484,12,36,3111,2055
267,Nami,4,14,False,2,6,9,10777,6668,11,8,3853,4005
85,Kennen,12,4,True,8,3,3,105994,10930,15,188,1055,1082
202,Jhin,4,7,True,8,2,5,136163,11315,13,167,1055,0
117,Lulu,14,4,True,2,3,12,20398,7682,10,9,2420,2065
24,Jax,12,4,True,9,1,2,174544,14329,17,215,3047,2033
421,RekSai,4,11,True,3,6,4,119628,8644,13,22,2031,6693
127,Lissandra,14,4,True,2,7,4,52204,5637,11,94,3191,1028
29,Twitch,4,14,True,13,3,6,94532,11371,12,132,1055,6671
114,Fiora,12,4,True,8,4,3,96594,9673,12,112,1055,6630
35,Shaco,11,14,True,5,4,4,78109,7294,11,7,3111,2055
350,Yuumi,3,7,True,3,2,17,9081,7271,11,4,3853,3222
142,Zoe,3,4,False,1,7,4,57594,6299,10,129,2423,1056
22,Ashe,14,4,False,7,10,3,18129,7310,9,9,6673,3006
887,Gwen,12,4,False,1,9,3,52602,5866,10,101,1055,4633
238,Zed,4,14,False,5,2,6,73579,7814,13,145,6693,3142
57,Maokai,11,4,False,6,3,7,95173,8240,12,29,1057,3143
13,Ryze,7,4,True,5,3,18,60537,10129,14,48,3040,0
246,Qiyana,14,4,True,12,4,6,48800,10535,14,35,3042,6693
29,Twitch,1,4,True,10,5,13,39962,11066,14,34,6671,3006
157,Yasuo,3,4,True,6,5,10,38997,10046,14,37,3184,6673
16,Soraka,4,21,True,0,4,27,10122,8887,14,6,3222,3158
110,Varus,7,4,False,5,6,13,49582,10053,14,41,3047,2031
266,Aatrox,4,14,False,9,8,6,21891,9737,13,15,6630,3047
6,Urgot,4,21,False,3,5,10,44573,8646,13,53,3177,3748
136,AurelionSol,4,32,False,2,8,14,24911,8023,12,19,6653,3009
236,Lucian,4,21,False,2,6,8,30516,8170,13,31,1053,3006
86,Garen,4,32,True,11,8,17,42072,13457,18,40,6630,3006
235,Senna,4,21,True,13,4,31,105578,15429,18,57,3177,6632
498,Xayah,4,7,True,15,5,16,99354,15760,18,93,6671,3006
26,Zilean,4,1,True,3,6,33,57068,12314,18,36,6655,4629
25,Morgana,4,3,True,7,6,34,50157,13756,18,36,6653,3020
32,Amumu,4,32,False,5,12,17,45583,12396,17,23,2051,3111
92,Riven,4,32,False,5,17,8,46424,11857,15,37,3074,6630
145,Kaisa,21,4,False,6,8,12,71077,13932,17,52,3042,3115
236,Lucian,1,4,False,11,8,10,106613,15083,17,121,6675,3123
40,Janna,3,4,False,2,5,22,38125,11558,17,13,3504,3107
51,Caitlyn,4,7,False,7,8,22,56069,11732,15,44,6672,3006
17,Teemo,4,32,False,4,6,14,42964,10074,15,51,3112,3020
245,Ekko,4,32,False,14,9,9,53807,13157,15,35,3020,3157
98,Shen,4,32,False,5,11,25,25795,10136,15,12,6662,3111
131,Diana,4,32,False,5,13,18,49741,10365,14,34,3157,4636
875,Sett,32,4,True,7,7,23,39176,11667,16,25,6630,3211
29,Twitch,4,21,True,22,7,21,139580,16230,17,134,6672,3085
164,Camille,32,4,True,10,8,16,37115,11608,16,36,6632,3091
147,Seraphine,4,7,True,4,5,40,30515,11170,17,17,3222,2420
7,Leblanc,4,32,True,4,8,25,25916,10344,15,8,6655,2031
141,Kayn,4,32,True,16,7,13,34253,13739,17,15,3074,3047
54,Malphite,4,3,True,7,9,22,41437,12400,16,16,3157,3020
131,Diana,4,32,True,5,11,18,31784,11192,16,18,3152,3157
