champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
99,Lux,4,7,False,5,11,10,183322,13181,17,248,6653,3115
22,Ashe,14,4,False,5,9,16,91411,10659,16,40,3864,3042
64,LeeSin,11,4,False,15,8,10,227099,16052,18,42,3158,6694
223,TahmKench,12,4,False,8,6,15,130894,14585,18,194,3047,8001
157,Yasuo,4,14,False,7,8,8,225914,14770,18,251,6333,3006
141,Kayn,4,11,True,13,8,8,198623,15992,17,39,3026,6630
143,Zyra,14,4,True,6,8,18,103971,13735,16,89,4637,6653
164,Camille,12,14,True,6,8,3,174338,15199,17,222,3074,3053
875,Sett,4,7,True,11,8,10,126351,14282,16,110,3072,3009
13,Ryze,4,12,True,6,8,10,344956,17221,18,259,3135,3089
555,Pyke,32,4,False,13,13,14,29575,13475,16,13,3070,3177
112,Viktor,4,3,False,8,10,18,68953,12418,16,48,3040,6653
90,Malzahar,3,4,False,2,7,23,43141,11408,17,40,6653,3020
18,Tristana,4,32,False,10,8,22,76151,13760,17,72,6672,3139
103,Ahri,21,4,False,13,10,25,63208,14332,18,33,6655,3020
21,MissFortune,7,4,True,4,9,28,50552,12037,17,40,6653,3020
122,Darius,6,4,True,8,14,13,38323,12663,16,31,3111,6632
31,Chogath,4,32,True,7,8,18,47412,12531,17,38,6662,3111
92,Riven,4,32,True,12,10,11,68258,13705,17,79,3140,6630
99,Lux,4,3,True,16,5,28,80181,15237,18,42,2031,3020
29,Twitch,4,1,True,30,9,25,160999,18395,18,94,3036,3184
117,Lulu,3,4,True,3,6,43,17677,12323,18,10,3158,2065
127,Lissandra,4,32,True,10,11,36,102425,13851,18,57,6655,4628
164,Camille,32,4,True,16,10,34,117146,15632,18,77,3047,6632
26,Zilean,4,32,True,6,9,43,35551,12608,18,25,3222,6656
54,Malphite,4,32,False,5,13,27,36658,12257,18,17,3068,3075
39,Irelia,4,32,False,11,13,15,87054,15112,18,82,6630,3153
240,Kled,6,4,False,11,13,15,63270,13690,17,39,6630,3071
21,MissFortune,4,1,False,13,11,13,101469,14637,18,80,6695,6672
517,Sylas,4,32,False,5,15,19,35646,11555,17,18,3165,3158
56,Nocturne,14,4,False,8,11,20,65608,11676,17,44,6693,6676
122,Darius,32,4,False,5,10,13,36628,10401,15,36,2051,6631
121,Khazix,14,4,False,12,11,13,47351,12380,15,23,3177,3134
84,Akali,4,32,False,8,10,14,30928,11057,16,22,3135,3165
17,Teemo,4,21,False,7,9,14,39348,10994,16,37,4637,3020
89,Leona,32,4,True,8,11,33,25028,11802,17,9,6333,1033
360,Samira,4,7,True,18,9,14,62226,13956,16,72,3047,6673
126,Jayce,32,4,True,12,7,28,55733,13198,17,50,6694,6692
115,Ziggs,32,4,True,4,6,30,66901,11422,17,39,3135,3070
21,MissFortune,4,3,True,9,7,29,56063,12812,17,52,3157,3020
53,Blitzcrank,4,14,True,9,3,9,30031,8861,11,28,3860,6656
68,Rumble,4,14,True,13,4,14,115608,11965,14,139,3152,3157
24,Jax,12,14,True,9,7,4,88603,9789,13,118,2033,1028
22,Ashe,4,7,True,2,4,12,93035,10065,13,167,6673,1057
20,Nunu,11,4,True,5,5,17,121260,9373,13,18,3158,0
164,Camille,12,14,False,5,11,2,66337,7700,11,108,1055,6632
245,Ekko,4,11,False,11,7,4,116981,10931,12,19,3152,3102
51,Caitlyn,7,4,False,1,10,3,62243,6917,10,126,6671,2031
84,Akali,12,4,False,6,5,6,81264,9189,13,153,4633,4637
12,Alistar,14,4,False,0,5,16,19051,6146,11,29,2055,3190
412,Thresh,4,14,False,2,9,9,21090,6564,11,30,2055,2065
39,Irelia,12,4,False,3,9,7,90420,9671,13,156,3053,6630
523,Aphelios,4,7,False,2,6,11,140260,10829,13,197,6673,1038
58,Renekton,12,4,False,5,7,4,99140,10896,14,187,1031,6630
245,Ekko,4,11,False,11,5,8,213379,13396,15,45,3020,3152
120,Hecarim,6,11,True,13,3,17,232138,16125,16,30,3134,6333
110,Varus,7,4,True,0,9,10,99770,8789,13,170,6691,2031
112,Viktor,12,4,True,7,2,18,114509,11812,15,162,6655,3165
16,Soraka,3,4,True,1,6,21,19947,7467,13,37,3860,2065
164,Camille,12,14,True,15,3,8,172650,16642,17,203,2420,6333
238,Zed,4,14,False,0,4,4,80175,6735,12,154,3142,2031
80,Pantheon,14,4,False,1,4,4,22684,4985,9,35,2031,0
240,Kled,4,12,False,7,4,0,83711,9546,13,145,6630,3077
145,Kaisa,4,1,False,2,2,1,68860,7148,11,167,2031,1036
28,Evelynn,4,11,False,1,4,4,99189,6783,11,10,3020,3152
26,Zilean,3,4,True,6,2,6,31985,7395,11,22,0,3853
3,Galio,14,4,True,3,3,4,79868,7555,12,122,6656,3020
2,Olaf,11,4,True,4,2,5,140906,9035,13,12,3047,3053
15,Sivir,4,3,True,3,0,6,104319,9425,12,176,1055,6673
24,Jax,12,4,True,2,4,3,85355,8340,12,138,2033,3078
147,Seraphine,4,3,True,3,5,24,33873,9584,14,17,3853,2420
22,Ashe,4,7,True,10,6,15,121916,12979,15,158,2420,6673
84,Akali,14,12,True,10,3,8,161996,14498,16,207,4633,4637
56,Nocturne,4,11,True,14,2,12,200291,14595,17,37,6631,0
246,Qiyana,12,14,True,17,10,5,121125,13853,15,142,2055,3142
111,Nautilus,4,14,False,2,11,9,31958,6812,13,35,3860,3190
245,Ekko,4,11,False,2,11,9,157254,9567,14,41,3152,0
777,Yone,3,4,False,9,13,5,150763,12383,15,187,6671,6695
81,Ezreal,1,4,False,6,7,7,99880,11273,13,174,3042,3110
164,Camille,12,4,False,7,12,4,113142,10905,14,149,3133,1055
236,Lucian,7,4,False,3,7,8,164049,12055,14,214,1055,3508
26,Zilean,14,4,False,0,6,11,34641,6324,12,24,2421,3853
3,Galio,4,14,False,3,9,4,93177,9010,14,160,1056,3157
35,Shaco,14,11,False,13,6,6,125627,13282,14,28,3165,6653
48,Trundle,4,12,False,1,11,4,117298,8676,14,145,1054,1028
164,Camille,12,14,True,10,6,9,180632,14461,17,204,1054,6632
523,Aphelios,4,7,True,11,4,7,184754,14435,16,204,3031,0
59,JarvanIV,4,11,True,5,1,16,174442,12031,15,24,6630,1031
12,Alistar,4,14,True,3,8,19,22271,8532,13,26,3860,3190
517,Sylas,12,4,True,10,2,14,152577,15010,16,178,3157,6656
157,Yasuo,4,14,False,7,5,4,128740,9901,13,179,6673,3006
111,Nautilus,4,14,False,1,7,11,19951,5954,10,33,3190,3860
64,LeeSin,4,11,False,5,7,7,99647,8684,12,17,2055,6630
115,Ziggs,12,4,False,4,4,4,143959,9650,12,185,3102,1058
164,Camille,12,4,False,2,6,3,64897,7992,13,152,1028,1055
131,Diana,4,14,True,1,3,2,79795,7309,13,130,3020,2420
267,Nami,3,4,True,0,4,19,11491,6988,12,13,3853,4005
245,Ekko,11,4,True,16,2,9,178573,14871,15,35,3152,3157
202,Jhin,7,4,True,4,9,5,103945,9581,13,141,3009,6671
92,Riven,12,4,True,8,1,14,182766,15651,16,227,6630,3047
