champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
147,Seraphine,3,4,False,1,7,10,38131,6790,12,20,3158,3853
59,JarvanIV,11,4,False,2,13,6,86084,7282,12,26,2055,6630
131,Diana,14,4,False,11,3,1,129693,13166,15,202,3020,4636
85,Kennen,12,4,False,1,9,6,70795,7577,13,142,1055,3152
51,Caitlyn,7,4,False,5,9,3,106503,10069,13,172,3086,6676
203,Kindred,4,11,True,12,2,7,254353,15361,17,38,6672,3139
92,Riven,12,4,True,16,2,8,134921,14686,16,185,3071,3053
246,Qiyana,14,4,True,6,4,6,99940,10462,14,150,3158,6693
432,Bard,3,4,True,3,4,20,18733,8187,14,32,3859,0
115,Ziggs,4,12,True,4,8,12,126248,10627,14,154,6655,3020
111,Nautilus,14,4,True,0,3,10,17545,5284,9,33,3859,3190
19,Warwick,4,21,True,6,3,6,76991,9626,14,152,1055,6632
203,Kindred,4,11,True,9,6,2,134227,10158,13,15,6676,6671
523,Aphelios,7,4,True,4,7,3,62492,8361,12,143,1055,6673
134,Syndra,4,12,True,5,3,6,93578,9276,13,154,1082,2033
267,Nami,4,14,False,0,2,13,6826,5568,10,12,0,3853
30,Karthus,4,11,False,7,4,9,169019,10511,14,46,3157,3165
166,Akshan,4,3,False,4,5,6,55875,7444,10,106,3006,3035
875,Sett,4,12,False,2,7,2,67470,6502,11,131,6630,1001
236,Lucian,4,12,False,9,6,4,89423,10328,12,150,3036,2055
412,Thresh,4,14,False,3,6,21,27068,9060,15,35,3109,3857
59,JarvanIV,12,4,False,4,4,17,123465,11821,16,169,6630,3026
30,Karthus,11,14,False,11,5,13,278811,17472,18,99,4637,3157
498,Xayah,4,7,False,6,7,15,216782,13785,16,214,6671,3031
203,Kindred,14,4,False,7,6,6,184714,14955,16,211,6673,3508
429,Kalista,4,7,True,15,7,5,253000,20876,17,280,6673,3026
12,Alistar,14,4,True,5,7,21,38603,11407,15,43,6664,4643
19,Warwick,4,21,True,1,6,6,122825,11796,16,211,3110,6632
13,Ryze,12,4,True,2,5,9,314788,15068,18,294,4630,6656
64,LeeSin,4,11,True,5,6,16,180656,13545,17,36,2055,6630
412,Thresh,4,14,True,1,2,14,14197,4855,9,23,2031,3855
2,Olaf,11,4,True,7,0,4,144416,9922,12,20,3047,3053
1,Annie,14,4,True,5,1,6,41969,6751,11,104,1082,2031
98,Shen,12,4,True,4,3,7,32056,5896,10,81,1054,3076
110,Varus,4,3,True,4,5,6,72820,8733,10,123,3006,6673
235,Senna,4,7,False,1,6,8,23764,5757,9,23,0,0
887,Gwen,4,11,False,4,3,0,67327,6454,9,13,3115,3158
266,Aatrox,4,12,False,1,3,1,41570,5241,11,119,6630,1054
50,Swain,4,3,False,2,6,6,35922,5292,9,76,1056,2031
19,Warwick,4,21,False,3,3,0,43822,6064,11,126,1055,6632
35,Shaco,14,11,False,17,6,10,211205,16393,16,44,7012,3020
81,Ezreal,7,4,False,7,7,13,171044,14126,15,201,7018,3042
516,Ornn,12,4,False,10,8,8,191004,15146,17,182,3047,3143
13,Ryze,4,12,False,3,9,14,297236,14582,17,262,7014,3040
201,Braum,4,14,False,0,11,21,24275,8627,13,40,7019,3857
875,Sett,4,12,True,5,9,14,148395,13821,17,173,3053,1057
497,Rakan,4,14,True,4,4,26,37001,11841,16,46,3860,3107
7,Leblanc,14,4,True,15,8,8,142030,16952,17,180,3089,1026
5,XinZhao,4,11,True,13,7,14,248456,18117,18,42,2421,3071
498,Xayah,7,4,True,4,9,16,352314,17141,18,284,3031,3046
202,Jhin,7,4,True,4,2,5,59714,6637,10,119,6671,2031
76,Nidalee,11,4,True,4,3,6,77786,6550,10,16,1082,2031
27,Singed,6,12,True,4,0,6,82837,7995,12,144,3041,3009
53,Blitzcrank,4,14,True,2,1,9,14643,4813,9,26,3066,3859
91,Talon,14,4,True,6,0,3,62547,6807,12,116,6630,2055
41,Gangplank,12,4,False,0,3,0,52585,4826,10,115,2033,2055
526,Rell,4,14,False,1,2,1,11373,3526,7,21,3859,2055
18,Tristana,7,4,False,3,4,0,59168,6388,10,128,6672,2031
61,Orianna,12,4,False,0,5,2,56679,5223,10,127,1026,2031
2,Olaf,11,4,False,2,6,1,83674,5332,10,6,6630,3047
432,Bard,7,4,True,4,4,25,23348,8934,12,27,3853,3190
