champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
59,JarvanIV,11,4,True,14,2,25,275231,16678,18,57,3748,6632
12,Alistar,14,4,True,5,6,26,28835,9882,15,32,4643,3190
235,Senna,3,4,True,6,5,23,145500,14220,17,163,6672,3091
3,Galio,12,4,True,9,2,24,261925,17255,18,294,3135,6656
85,Kennen,12,4,True,10,8,17,219759,16527,18,236,3152,3157
79,Gragas,14,4,False,2,8,9,39019,9304,14,49,3190,3860
119,Draven,3,4,False,5,13,0,241727,15828,16,256,3094,3006
76,Nidalee,4,11,False,4,8,8,242343,14308,17,37,3020,3157
36,DrMundo,4,12,False,7,8,8,176962,15285,17,213,3065,8001
157,Yasuo,4,1,False,5,7,10,250473,16094,17,265,3026,3031
