champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
37,Sona,4,3,True,3,4,33,19842,9786,13,6,3853,6616
84,Akali,14,12,True,12,7,10,84963,10271,14,103,1056,4636
202,Jhin,7,4,True,28,4,14,173265,17837,14,178,6671,3140
62,MonkeyKing,4,12,True,2,3,9,57864,7456,13,79,1054,6632
163,Taliyah,4,11,True,5,6,16,109728,8884,13,21,6653,3157
82,Mordekaiser,12,14,False,9,4,4,169073,14721,16,219,3152,2420
20,Nunu,11,4,False,3,8,9,87550,8358,12,27,3068,2031
360,Samira,7,4,False,1,9,4,48614,6885,11,96,1055,6673
166,Akshan,14,4,False,9,13,2,66223,10062,12,92,3091,3006
12,Alistar,14,4,False,1,16,11,40420,6404,11,26,4636,3145
