champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
24,Jax,4,6,True,27,13,16,69013,18473,18,32,3078,3111
526,Rell,32,4,True,4,11,27,19473,11431,17,6,3190,3083
68,Rumble,4,21,True,12,10,26,50913,13439,18,26,4636,3157
15,Sivir,7,4,True,10,8,39,160371,16415,18,145,6694,6691
145,Kaisa,32,4,True,8,12,17,35168,12607,18,29,6672,3006
131,Diana,32,4,False,13,17,21,70463,13613,17,40,4636,3020
99,Lux,21,4,False,11,9,34,66089,13367,18,36,6655,2031
203,Kindred,32,4,False,10,11,22,81927,13743,18,65,3184,6672
523,Aphelios,4,1,False,14,10,22,116106,15831,18,93,1038,6676
497,Rakan,32,4,False,6,14,35,16785,11904,17,6,3801,3190
