champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
875,Sett,4,12,False,2,4,1,81238,7157,11,141,6630,2031
131,Diana,4,11,False,3,6,1,98035,7324,11,28,3152,2031
81,Ezreal,4,7,False,1,5,0,37487,4533,8,74,3070,3044
16,Soraka,4,3,False,0,5,1,19204,4227,8,22,6617,3853
24,Jax,4,12,False,0,7,2,57972,5464,10,111,2033,3047
164,Camille,12,14,True,5,2,6,77909,9238,13,129,1055,6632
117,Lulu,4,14,True,1,0,11,28971,6429,11,11,3853,2065
4,TwistedFate,4,12,True,7,3,2,81852,9204,12,138,3158,6656
68,Rumble,4,11,True,7,0,8,121106,9187,13,23,3152,2420
119,Draven,4,3,True,7,1,2,117678,10957,11,172,1055,2031
