champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
7,Leblanc,4,12,True,7,1,9,93649,11616,15,178,1058,6656
18,Tristana,4,1,True,14,3,10,188008,15009,14,229,3006,3046
76,Nidalee,11,4,True,6,3,11,128302,10435,15,15,3157,3916
875,Sett,4,12,True,4,1,7,96735,9800,14,163,3053,0
111,Nautilus,14,4,True,4,6,15,22074,7787,12,31,3190,8001
876,Lillia,12,4,False,4,6,2,112695,9178,14,180,2033,1026
81,Ezreal,4,7,False,2,9,5,96604,8240,12,133,3158,6632
69,Cassiopeia,12,4,False,1,3,6,106387,8500,14,198,3070,6653
64,LeeSin,4,11,False,7,11,4,95834,9377,12,16,2421,2055
26,Zilean,4,3,False,0,6,11,14604,5814,12,14,3853,3190
