champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
234,Viego,4,12,False,5,7,5,142124,12845,16,219,2420,3053
21,MissFortune,3,4,False,6,15,2,117910,11080,14,189,3042,6673
12,Alistar,4,14,False,0,12,12,15627,6939,13,35,3860,3117
245,Ekko,11,4,False,12,8,4,165637,14166,15,52,3157,2055
23,Tryndamere,4,6,False,5,8,7,177628,11960,16,207,2420,2420
246,Qiyana,14,4,True,12,7,7,137621,13495,17,182,6693,6694
9,Fiddlesticks,4,11,True,9,3,7,166723,12594,15,38,3020,3102
30,Karthus,3,4,True,14,10,16,199373,16027,17,171,6653,3157
92,Riven,4,12,True,9,5,10,212402,16657,18,231,6630,3026
111,Nautilus,4,14,True,6,4,18,35267,9881,15,40,3860,3047
