champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
99,Lux,13,4,True,8,9,33,50318,12534,18,28,4628,3020
18,Tristana,6,4,True,24,7,19,108448,16949,18,93,3184,6672
21,MissFortune,7,4,True,14,5,31,88429,14784,18,65,6653,3020
98,Shen,32,4,True,6,10,27,34681,12067,17,26,3068,3111
53,Blitzcrank,4,32,True,6,8,37,31234,12299,18,7,3193,6664
104,Graves,32,4,False,12,10,12,89273,14336,16,90,3111,6692
14,Sion,32,4,False,8,15,9,34844,11106,15,25,3067,3142
55,Katarina,4,32,False,9,13,16,47558,12377,16,24,4633,3157
517,Sylas,4,32,False,4,10,18,63092,11279,16,48,4633,3157
45,Veigar,13,4,False,6,10,19,40085,11380,16,34,3112,6656
