champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
432,Bard,3,4,True,1,7,21,28144,9940,15,28,3190,3853
69,Cassiopeia,4,12,True,9,4,10,163933,16015,17,190,6653,3116
234,Viego,4,11,True,3,10,4,97917,9603,14,25,2055,0
115,Ziggs,4,12,True,15,3,10,285578,18611,17,224,3089,6653
62,MonkeyKing,12,14,True,4,8,7,127788,11937,16,168,1055,3053
58,Renekton,12,4,False,4,2,8,190332,14121,17,246,3053,3065
53,Blitzcrank,4,14,False,2,5,19,24140,8971,13,27,3117,3190
518,Neeko,12,4,False,3,8,7,104448,9999,14,140,4636,0
119,Draven,3,4,False,13,7,1,251822,17360,16,251,1057,3139
203,Kindred,11,4,False,10,10,10,188679,12912,16,35,6671,2055
