champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
28,Evelynn,4,11,True,11,6,18,165254,13800,17,35,3102,3089
164,Camille,12,14,True,12,3,7,173310,16365,17,190,3211,3026
91,Talon,4,14,True,9,8,14,106231,12513,15,120,3071,6630
497,Rakan,4,3,True,4,6,22,25550,9639,14,38,2065,2031
115,Ziggs,4,12,True,3,8,8,136266,10822,15,168,0,3157
203,Kindred,4,11,False,2,8,13,183306,11361,15,46,3006,6671
875,Sett,12,4,False,3,8,6,144344,10596,15,209,3053,6630
30,Karthus,4,3,False,7,6,10,148182,11771,14,166,3165,2055
166,Akshan,4,14,False,13,10,5,135995,13766,16,170,6676,6672
555,Pyke,4,14,False,6,7,10,18878,9913,13,18,3864,3117
