champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
39,Irelia,32,4,False,13,17,34,112703,17749,18,87,3115,4633
75,Nasus,14,4,False,13,15,44,138346,18745,18,59,6653,3158
30,Karthus,32,4,False,15,19,42,127153,19168,18,72,4636,3157
78,Poppy,4,32,False,8,15,45,70421,16925,18,44,3105,3111
119,Draven,3,4,False,20,14,31,124808,20313,18,63,3139,6695
103,Ahri,21,4,True,22,12,39,164717,20619,18,108,6655,4629
32,Amumu,4,32,True,5,18,45,83722,15358,18,31,2051,3193
245,Ekko,32,4,True,17,17,35,143961,18601,18,77,3152,3157
122,Darius,32,4,True,23,12,29,123390,19705,18,74,6630,3193
43,Karma,3,4,True,13,11,52,95608,18139,18,41,6617,1058
