champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
119,Draven,4,3,False,13,7,9,210593,18997,16,224,3026,3508
59,JarvanIV,4,11,False,7,9,21,154595,12988,16,49,6630,2421
412,Thresh,4,14,False,1,8,22,21844,8272,14,45,3857,3190
85,Kennen,12,4,False,5,10,8,122198,11120,16,176,3152,3157
75,Nasus,6,4,False,9,3,11,175430,14070,17,218,6632,3193
104,Graves,4,11,True,12,4,13,233005,15682,16,34,6673,3036
89,Leona,4,14,True,1,12,21,14972,8428,13,30,3047,0
92,Riven,12,4,True,6,6,5,210488,14781,17,216,6695,6630
7,Leblanc,4,12,True,5,4,9,121175,11683,16,195,3135,2421
29,Twitch,3,4,True,13,9,16,163876,16366,15,172,3085,3006
