champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
236,Lucian,4,12,True,6,2,7,191068,13557,16,221,2033,6694
266,Aatrox,4,12,True,2,2,8,114006,10113,15,132,1054,6630
48,Trundle,14,4,True,1,0,11,22989,7981,13,46,3190,3857
81,Ezreal,4,7,True,8,1,1,162106,13060,15,251,6632,3042
9,Fiddlesticks,4,11,True,5,5,10,141392,10875,14,23,6653,3020
412,Thresh,14,4,False,2,4,5,18289,6710,11,25,3222,2031
84,Akali,12,14,False,5,5,0,104871,10800,14,194,1011,4633
99,Lux,4,21,False,0,3,4,122879,8505,14,190,1056,1082
523,Aphelios,4,7,False,2,5,1,159096,10707,14,226,6671,6676
104,Graves,11,4,False,1,5,1,191823,9636,14,26,3035,6676
