champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
85,Kennen,12,4,True,7,3,9,146016,13491,17,214,3152,2421
67,Vayne,7,4,True,12,4,6,150663,14672,16,187,6673,2421
154,Zac,11,4,True,3,3,14,160122,11660,16,43,6662,3065
89,Leona,14,4,True,2,2,16,18177,8430,13,38,3190,3857
238,Zed,4,14,True,7,3,3,190874,14103,17,230,6692,3134
234,Viego,4,11,False,2,5,7,133824,9540,13,25,6632,0
13,Ryze,12,4,False,5,6,4,234145,13171,16,274,3111,3157
164,Camille,4,12,False,4,7,5,137108,12148,15,197,2055,3074
21,MissFortune,1,4,False,4,8,3,112140,9700,13,157,3036,3047
497,Rakan,4,3,False,0,5,12,18093,6675,11,38,3860,3114
