champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
56,Nocturne,11,4,False,7,8,7,133368,11071,13,44,6631,3105
40,Janna,4,14,False,1,6,15,15238,7753,13,10,3853,3158
15,Sivir,4,7,False,5,4,10,211274,13598,16,253,6673,3033
13,Ryze,4,12,False,6,4,2,251458,15017,17,269,3089,6656
39,Irelia,4,14,False,8,10,8,156839,13362,16,203,6673,3111
203,Kindred,4,11,True,5,6,9,254766,14182,17,60,6672,1018
110,Varus,4,7,True,9,4,12,179121,16704,17,251,3047,3091
112,Viktor,4,12,True,9,4,18,169596,14769,18,228,3165,3157
57,Maokai,4,12,True,0,5,9,112180,9794,16,172,3068,0
80,Pantheon,4,14,True,9,8,11,49921,11528,15,41,3047,6609
