champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
555,Pyke,4,32,True,14,12,18,26332,15344,18,10,6693,3142
42,Corki,4,7,True,22,10,31,132395,17919,18,81,3020,6673
133,Quinn,4,7,True,11,14,23,45315,14414,18,37,6673,3094
13,Ryze,21,4,True,9,11,28,105365,14098,18,86,6655,3040
429,Kalista,7,4,True,5,15,34,65368,13793,18,61,6671,3085
23,Tryndamere,6,32,False,11,11,20,75437,14193,18,69,6671,6675
17,Teemo,4,14,False,16,12,23,99116,16516,18,47,4633,3102
43,Karma,4,3,False,8,10,32,43506,13109,18,26,3157,6655
157,Yasuo,4,32,False,9,14,22,79007,13716,18,61,6673,3047
80,Pantheon,4,32,False,17,14,23,52565,14994,18,27,3142,3047
