champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
13,Ryze,4,12,True,2,2,9,173785,10789,15,219,3158,2033
126,Jayce,4,12,True,6,6,15,133114,10486,14,176,6692,3042
37,Sona,4,7,True,4,3,20,27541,8797,13,41,3853,3158
147,Seraphine,3,4,True,4,4,15,59090,8410,12,77,3158,3853
141,Kayn,4,11,True,17,0,10,186838,14829,15,65,3053,3074
7,Leblanc,4,12,False,3,4,0,85081,9085,14,166,2033,2055
58,Renekton,4,12,False,2,7,4,153420,10996,14,212,0,6630
64,LeeSin,4,11,False,4,8,1,113325,8018,12,9,2031,0
412,Thresh,4,14,False,1,7,4,20365,5662,9,24,3857,2065
523,Aphelios,7,4,False,5,7,2,115656,10895,13,182,6673,6676
