champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
18,Tristana,4,7,True,2,0,0,2208,1429,2,6,1055,0
107,Rengar,12,14,True,1,0,0,6324,1403,3,17,1055,0
12,Alistar,14,4,True,0,0,2,1719,920,2,3,3858,2003
555,Pyke,14,4,True,0,0,0,2350,940,3,13,1036,2031
245,Ekko,11,4,True,0,0,2,8594,1177,3,1,1035,2031
157,Yasuo,4,3,False,0,0,0,3861,852,3,10,1055,2031
236,Lucian,7,4,False,0,1,0,3698,908,2,13,1036,2003
131,Diana,4,11,False,0,0,0,0,670,1,0,1035,2031
23,Tryndamere,4,6,False,0,1,0,2479,803,2,7,1054,2031
37,Sona,4,3,False,0,1,0,552,826,2,0,3850,2003
