champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
79,Gragas,32,4,False,2,9,25,39680,11616,17,31,3143,3047
99,Lux,4,6,False,8,6,26,58189,12724,18,28,6655,3020
106,Volibear,32,4,False,13,9,25,58962,15069,18,63,3091,6632
103,Ahri,32,4,False,17,10,14,82637,15199,17,62,3020,6656
4,TwistedFate,4,6,False,5,9,26,70084,13136,18,48,6655,3100
41,Gangplank,6,4,True,6,7,22,95609,13898,18,54,3158,4629
122,Darius,4,32,True,14,13,16,55314,15331,18,40,3074,6630
143,Zyra,4,3,True,3,7,24,57354,12502,18,43,3070,6653
523,Aphelios,32,4,True,9,10,21,93251,14575,18,74,6673,3006
875,Sett,32,4,True,11,9,14,59572,13982,18,43,6630,3111
