champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
51,Caitlyn,7,4,False,1,6,2,57371,6770,10,127,6691,2031
77,Udyr,11,4,False,11,4,3,153872,12717,14,54,3071,2031
3,Galio,4,14,False,1,8,2,116606,7812,12,140,3152,3157
164,Camille,12,14,False,0,5,3,63314,5934,13,111,1055,3078
412,Thresh,4,14,False,1,4,7,13184,5550,10,31,2031,3117
59,JarvanIV,4,14,True,6,1,9,72874,8902,13,135,6691,2033
161,Velkoz,21,4,True,4,2,11,46762,7861,12,35,3020,2055
81,Ezreal,4,7,True,6,3,4,89304,9006,12,123,3042,6632
10,Kayle,4,12,True,3,4,2,83878,8780,13,156,4633,3115
254,Vi,11,4,True,8,4,6,168297,10998,14,32,3123,3071
