champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
245,Ekko,11,4,True,15,3,8,153403,13374,14,43,3111,3115
223,TahmKench,4,12,True,8,2,15,70012,11328,14,99,3211,3075
53,Blitzcrank,4,14,True,2,5,16,17216,6533,11,18,3859,8001
236,Lucian,4,12,True,10,1,18,116658,13274,15,153,6694,6692
523,Aphelios,4,7,True,10,6,9,122549,11918,13,153,6671,2031
234,Viego,4,11,False,6,11,5,77227,9050,12,21,6632,0
18,Tristana,12,4,False,3,11,4,84566,7865,12,140,2031,2055
37,Sona,7,4,False,2,8,10,17682,6250,11,15,3853,6617
61,Orianna,4,12,False,3,6,4,90049,8606,12,149,2033,6653
235,Senna,4,3,False,3,9,10,38922,7517,11,73,1055,6632
