champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
61,Orianna,4,7,True,2,8,15,213790,14961,18,243,3135,3157
50,Swain,4,7,True,8,5,8,169230,15828,16,220,3165,6653
64,LeeSin,11,4,True,3,7,11,224660,14540,17,52,6630,3026
78,Poppy,4,14,True,2,6,12,49539,11086,15,45,3857,3158
114,Fiora,12,4,True,9,5,9,298626,22447,18,290,6630,6609
39,Irelia,4,12,False,7,6,9,446666,21119,18,420,3026,3091
555,Pyke,14,4,False,17,3,7,109933,20045,17,165,3026,3142
76,Nidalee,11,4,False,4,5,11,266430,14997,17,72,3135,3157
16,Soraka,7,4,False,2,5,18,100506,12340,16,174,3222,3107
12,Alistar,14,4,False,1,5,22,33468,10877,15,43,2055,3190
