champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
90,Malzahar,4,3,False,8,11,26,117807,15324,18,115,6653,3158
164,Camille,4,32,False,17,13,15,42665,14606,18,24,3078,3143
412,Thresh,4,3,False,12,11,21,50364,14017,18,34,6691,3006
267,Nami,4,3,False,3,12,37,22564,11956,18,8,6655,3145
27,Singed,6,32,False,11,14,18,68723,12969,17,43,3009,3116
235,Senna,4,6,True,17,6,35,126177,18957,18,91,3042,6672
4,TwistedFate,4,7,True,8,7,27,88385,14322,18,48,3070,3100
555,Pyke,32,4,True,12,9,18,29825,15702,18,19,6631,3142
202,Jhin,6,32,True,15,14,28,109277,16354,18,63,6672,3006
238,Zed,4,32,True,9,15,16,38203,12777,16,33,6691,3134
