champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
75,Nasus,4,12,True,10,6,12,229444,16324,18,202,3075,6632
887,Gwen,14,12,True,7,8,7,247406,17711,18,262,4629,3157
432,Bard,4,14,True,2,4,22,51888,10655,16,64,3860,3190
81,Ezreal,4,1,True,6,5,14,192945,14222,17,206,3035,3110
64,LeeSin,11,4,True,10,4,13,189616,15653,17,48,3026,6630
4,TwistedFate,4,12,False,5,2,15,218082,17147,17,228,4629,6656
236,Lucian,4,7,False,6,7,6,271305,15762,17,286,3006,2420
164,Camille,4,12,False,10,7,5,241721,17373,18,259,3158,3181
76,Nidalee,4,11,False,5,8,11,205815,12935,16,32,3158,4636
89,Leona,14,4,False,1,12,8,32567,8579,12,49,3190,3860
37,Sona,4,3,False,5,4,12,56044,11721,15,46,3853,6617
55,Katarina,12,14,False,8,9,6,221051,15978,17,242,3157,1026
92,Riven,12,14,False,6,7,0,209677,14022,17,262,3047,3071
110,Varus,4,7,False,4,6,10,255328,15178,16,272,3142,6691
20,Nunu,4,11,False,3,3,9,189971,11491,16,30,6662,3143
81,Ezreal,4,1,True,3,4,3,225456,13768,17,251,2420,6694
517,Sylas,4,12,True,18,5,5,300235,22348,18,286,4629,6656
203,Kindred,4,11,True,7,5,11,267848,16240,18,64,6671,3031
16,Soraka,4,7,True,1,7,10,30522,9148,14,28,3853,1052
78,Poppy,12,4,True,0,5,8,146697,11988,18,208,8001,2055
89,Leona,32,4,False,2,9,16,16768,10572,16,9,1057,3068
126,Jayce,32,4,False,15,7,16,64711,14660,17,26,3042,3035
777,Yone,4,32,False,3,7,18,53172,11838,16,41,3184,3033
39,Irelia,32,4,False,12,10,15,100326,14861,17,121,3184,3153
234,Viego,4,32,False,6,7,15,74761,12242,17,43,6632,3053
164,Camille,4,32,True,13,9,12,63541,14780,17,45,3074,3047
887,Gwen,4,32,True,8,7,20,48037,12992,17,46,3112,3191
10,Kayle,4,32,True,4,7,26,39296,12302,17,24,0,1058
22,Ashe,4,3,True,3,7,29,61642,11936,17,40,3042,4005
13,Ryze,4,6,True,12,8,23,132475,14395,18,100,3157,3112
24,Jax,12,4,True,6,5,7,124734,11896,15,137,3153,2033
115,Ziggs,4,12,True,8,2,7,238426,16749,17,267,3135,2420
39,Irelia,12,4,True,7,9,3,179675,13474,16,219,1055,6630
89,Leona,4,14,True,0,6,16,17723,7967,13,38,3009,2055
20,Nunu,4,11,True,2,3,12,165542,11145,15,32,3068,3191
59,JarvanIV,4,11,False,5,5,14,136304,10676,14,27,6630,1033
34,Anivia,4,6,False,6,4,12,154960,12314,16,195,3020,6655
36,DrMundo,4,12,False,7,7,9,135052,12177,15,190,3076,1011
81,Ezreal,4,7,False,4,5,13,170332,11559,15,237,6694,2055
432,Bard,3,4,False,3,3,13,14041,8063,12,15,3190,3853
20,Nunu,4,11,False,2,3,5,112737,7806,12,24,3068,3067
497,Rakan,4,14,False,0,1,2,3738,4582,8,16,3158,2055
13,Ryze,12,4,False,1,4,3,113743,8171,13,186,6656,3165
119,Draven,4,7,False,2,5,0,106671,8768,12,187,1055,0
122,Darius,6,4,False,3,5,1,79738,8136,12,141,3053,6630
92,Riven,12,14,True,8,2,3,141679,11527,15,197,6630,3142
350,Yuumi,7,14,True,2,0,11,15637,6601,12,6,6617,2003
61,Orianna,4,12,True,1,2,0,130023,8944,14,199,3003,1056
81,Ezreal,4,3,True,4,1,5,126819,10052,12,196,6632,2420
64,LeeSin,11,4,True,3,3,12,105368,8381,13,14,2031,6630
41,Gangplank,4,12,False,1,8,3,56974,6157,12,104,6662,1029
119,Draven,4,3,False,3,6,3,62676,7179,10,119,1055,2031
111,Nautilus,4,14,False,2,4,6,25675,5607,10,39,3860,3111
157,Yasuo,4,14,False,1,7,2,97919,7347,12,138,0,1018
28,Evelynn,4,11,False,8,3,2,92532,8990,12,30,2031,1082
90,Malzahar,12,4,True,7,3,4,111158,10121,14,165,1056,6653
64,LeeSin,4,11,True,10,2,3,112789,9660,12,15,3053,6630
234,Viego,12,4,True,6,2,0,108731,10207,14,182,3078,3072
57,Maokai,4,14,True,2,4,6,26298,6084,10,34,2031,4005
51,Caitlyn,1,4,True,3,4,8,70471,8028,11,138,3006,6671
122,Darius,32,4,True,6,14,27,61042,16224,18,42,3111,3075
34,Anivia,4,3,True,15,10,25,124626,20018,18,83,3157,6653
145,Kaisa,21,4,True,23,9,19,214214,23353,18,143,3072,6672
16,Soraka,4,3,True,2,9,48,24527,16212,18,10,6617,3083
102,Shyvana,32,4,True,8,12,25,134374,17065,18,86,6632,3053
3,Galio,4,32,False,5,12,34,74995,15908,18,43,3105,3111
161,Velkoz,13,4,False,12,6,32,140336,18864,18,77,6653,3165
360,Samira,4,32,False,11,14,24,146682,18126,18,94,3072,3111
113,Sejuani,4,32,False,4,14,30,79968,16021,18,55,3068,3083
245,Ekko,4,32,False,22,8,15,177414,21647,18,108,3089,4633
517,Sylas,4,32,True,16,8,19,56712,14238,18,29,3112,6656
96,KogMaw,4,13,True,8,12,34,52790,13166,18,22,3040,6653
107,Rengar,4,32,True,21,8,21,98133,16593,18,71,3053,3157
51,Caitlyn,7,4,True,8,9,25,68841,13579,18,58,3006,6671
246,Qiyana,32,4,True,16,12,21,66988,14863,18,42,3042,3142
91,Talon,32,4,False,12,16,12,62162,13331,17,31,6694,3042
29,Twitch,4,32,False,14,14,18,61866,13954,18,47,6672,2031
875,Sett,4,32,False,6,15,15,49825,11721,17,30,2051,3053
76,Nidalee,32,4,False,14,13,18,65006,14540,18,47,6655,3020
13,Ryze,14,4,False,3,11,12,99772,12068,17,73,3040,3089
234,Viego,4,12,False,1,7,4,137054,10757,14,174,2421,3153
523,Aphelios,4,7,False,2,6,2,139857,10692,14,213,6673,3006
203,Kindred,11,4,False,9,4,4,195248,13845,15,57,6672,3006
37,Sona,14,4,False,0,6,11,22689,7502,12,26,3853,3070
3,Galio,4,12,False,4,4,6,89012,8988,14,142,3047,3157
432,Bard,4,14,True,1,2,16,18722,7267,13,22,3853,3190
236,Lucian,4,7,True,9,1,8,153133,13366,14,198,6671,3031
18,Tristana,12,4,True,10,2,4,218432,16722,16,245,3006,3046
20,Nunu,4,11,True,1,6,14,148621,9282,14,14,3068,3143
98,Shen,14,4,True,6,5,12,61244,9416,14,111,6664,3110
4,TwistedFate,12,4,True,3,2,8,89609,8844,13,156,1082,6656
18,Tristana,4,3,True,6,4,2,94079,9983,12,144,1055,3006
40,Janna,4,7,True,3,2,9,17633,6869,9,4,6617,2031
164,Camille,12,14,True,6,1,4,116206,10597,13,168,1055,1011
20,Nunu,4,11,True,0,0,7,103112,7065,11,7,3068,2031
92,Riven,14,12,False,1,5,1,60536,6204,11,141,1055,6630
246,Qiyana,4,14,False,5,5,3,83138,8187,12,128,3158,6693
37,Sona,7,4,False,1,2,2,29802,5659,10,67,3851,3070
432,Bard,3,4,False,0,2,4,8312,4248,8,13,3853,3067
121,Khazix,4,11,False,2,4,1,76581,6096,11,14,3111,2031
