champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
104,Graves,4,21,True,14,7,27,106176,16369,18,99,6692,3142
54,Malphite,4,14,True,9,10,17,27648,13029,18,7,3157,4636
74,Heimerdinger,21,4,True,11,7,27,78286,15451,18,65,6653,3020
121,Khazix,4,32,True,18,7,20,85893,16443,18,62,3123,3042
127,Lissandra,4,32,True,6,11,25,57989,12911,18,34,6656,3157
103,Ahri,32,4,False,11,13,15,71952,13726,18,30,6655,3135
412,Thresh,7,4,False,3,7,24,29899,12281,18,21,3112,3115
9,Fiddlesticks,4,32,False,12,15,12,75390,14592,18,51,3157,4637
236,Lucian,7,4,False,6,12,17,74730,12558,18,42,3031,3006
222,Jinx,7,4,False,10,11,17,143470,15416,18,100,3006,3091
497,Rakan,14,4,True,3,2,12,14664,8089,11,13,3157,3853
427,Ivern,4,11,True,2,4,13,421098,9493,15,17,3011,2065
98,Shen,14,4,True,4,6,9,76366,9383,14,150,3107,6664
18,Tristana,4,7,True,10,2,5,215547,15009,15,235,3031,6672
38,Kassadin,4,12,True,6,0,7,110554,11267,15,188,3158,1052
121,Khazix,4,11,False,2,7,5,141136,9564,13,22,6029,3158
92,Riven,4,12,False,7,5,2,148256,12100,15,221,6630,0
115,Ziggs,4,12,False,3,6,3,117245,8890,12,146,2055,4628
777,Yone,4,12,False,2,5,4,169343,10764,15,241,6673,2420
432,Bard,3,4,False,0,2,8,7554,6037,11,21,3853,2055
8,Vladimir,4,14,False,5,3,3,129162,10890,14,178,2055,3152
89,Leona,14,4,False,0,6,7,15962,5866,10,40,3857,0
18,Tristana,4,3,False,2,9,3,177086,10374,14,198,1055,3036
92,Riven,4,12,False,5,6,4,143864,12761,14,211,6630,3071
141,Kayn,11,4,False,1,6,9,140170,8687,13,22,2055,6630
5,XinZhao,4,11,True,3,2,14,159394,11343,14,55,6630,2421
517,Sylas,4,12,True,11,3,6,153705,14341,15,166,6656,4629
98,Shen,14,4,True,3,4,13,114249,10221,15,158,8001,3068
122,Darius,4,6,True,10,3,10,127595,13276,15,197,3053,2031
201,Braum,4,14,True,3,1,19,25972,8497,13,36,3857,8001
245,Ekko,4,11,True,3,4,11,200435,10977,15,45,3020,3152
39,Irelia,12,4,True,9,5,3,166214,14746,15,207,6630,3193
81,Ezreal,4,7,True,4,4,10,140414,12431,15,189,3158,6632
432,Bard,3,4,True,2,1,18,18864,8969,13,18,3190,3853
777,Yone,14,4,True,13,6,3,147274,14014,15,173,3031,3006
8,Vladimir,4,14,False,3,4,3,165584,11079,14,250,1054,3152
238,Zed,4,14,False,6,5,6,149204,11251,15,205,3142,6695
48,Trundle,4,11,False,9,6,5,109219,12040,14,31,2421,3143
235,Senna,4,7,False,1,9,10,37288,7755,12,30,3009,6632
98,Shen,14,4,False,1,7,9,87891,8146,14,155,3076,6664
147,Seraphine,4,12,False,2,4,10,142242,10923,15,227,3158,6617
235,Senna,4,7,False,4,5,8,76188,9643,14,54,3864,3033
13,Ryze,12,4,False,3,8,5,196956,12372,16,254,0,6656
98,Shen,14,4,False,4,8,5,116128,10061,15,145,3107,6664
777,Yone,11,4,False,5,10,5,161826,11341,15,63,6673,3031
53,Blitzcrank,4,14,True,2,4,19,26814,9468,14,37,3860,2065
107,Rengar,14,12,True,6,4,9,161532,14239,17,207,3158,6630
523,Aphelios,1,4,True,7,5,8,249662,16064,17,279,3006,3031
4,TwistedFate,12,4,True,8,2,16,188537,15913,18,232,6656,3089
76,Nidalee,11,4,True,12,3,9,195273,15111,17,28,3165,3135
56,Nocturne,4,11,True,13,3,11,185303,15287,16,76,3091,3026
145,Kaisa,4,7,True,12,3,8,206514,15017,16,230,1038,6672
555,Pyke,14,4,True,9,3,11,39874,12669,14,53,3857,3142
112,Viktor,4,12,True,6,2,9,150008,12428,16,217,3041,2421
98,Shen,14,4,True,4,5,13,102580,10554,15,130,3107,6664
