champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
164,Camille,12,14,False,2,7,5,80696,7829,12,135,2031,1037
18,Tristana,4,1,False,1,5,3,62988,6312,11,111,6672,3006
497,Rakan,4,14,False,2,6,7,9701,4845,8,23,3859,3067
121,Khazix,11,4,False,7,5,3,86427,7819,10,15,2031,6693
245,Ekko,12,14,False,2,2,3,98313,8533,12,176,1082,3152
58,Renekton,4,12,True,2,5,6,81560,8199,12,125,3047,6630
523,Aphelios,4,3,True,8,4,3,115566,10360,12,166,0,0
412,Thresh,4,14,True,0,2,18,13729,6079,10,28,0,3190
38,Kassadin,4,12,True,5,1,2,75796,8403,12,147,3003,1056
76,Nidalee,4,11,True,10,2,9,128368,10521,13,11,2031,3020
238,Zed,4,14,False,11,6,7,52474,12632,14,53,6676,3142
238,Zed,4,12,False,2,11,6,18532,7097,12,23,6609,2031
238,Zed,14,4,False,7,4,2,72010,12163,15,85,3067,6692
238,Zed,14,4,False,7,10,11,44813,11325,14,46,3142,2031
238,Zed,14,4,False,5,12,12,39528,9714,13,33,3142,6691
234,Viego,4,14,True,2,6,10,39863,8561,14,43,2031,6632
234,Viego,12,4,True,8,6,7,117986,14056,16,89,6632,3047
234,Viego,4,12,True,17,4,6,118258,18533,15,78,6672,3153
234,Viego,4,14,True,7,8,7,44893,9931,14,28,3153,3047
234,Viego,4,14,True,9,8,10,57049,12150,15,40,3153,6673
80,Pantheon,4,14,False,4,3,8,30270,8573,12,30,3855,3047
80,Pantheon,14,4,False,3,3,2,22030,6805,11,41,1037,3047
80,Pantheon,4,14,False,3,6,2,21191,6177,11,22,3047,6692
80,Pantheon,4,14,False,4,3,4,31249,7529,11,55,6692,3158
80,Pantheon,14,4,False,8,2,4,43579,10409,13,84,6692,3158
81,Ezreal,12,4,True,8,4,1,100339,12892,14,96,3042,0
81,Ezreal,4,12,True,2,6,5,41060,7601,12,22,3070,6632
81,Ezreal,4,14,True,0,6,1,26648,6075,11,44,3070,6632
81,Ezreal,3,4,True,4,2,4,45423,9465,12,25,3853,6655
81,Ezreal,7,4,True,3,4,4,69980,9394,12,71,1055,6632
126,Jayce,4,12,True,7,5,7,177948,13709,16,207,3156,6692
134,Syndra,12,4,True,3,6,3,105351,9419,13,158,1056,3040
245,Ekko,11,4,True,12,0,8,198955,13261,15,30,3100,3152
497,Rakan,4,14,True,2,2,12,18847,7376,11,31,3107,0
777,Yone,14,4,True,3,4,4,166056,10655,16,189,1037,2055
875,Sett,4,14,False,2,7,2,30325,6605,10,46,3857,3009
81,Ezreal,4,7,False,5,5,2,106200,9381,13,179,3133,1053
54,Malphite,12,4,False,2,6,2,66085,7708,13,142,2033,3076
76,Nidalee,4,11,False,2,4,6,121045,8756,13,39,2055,3157
115,Ziggs,4,12,False,5,5,2,142262,10724,13,189,3020,6655
777,Yone,12,4,True,3,1,7,91950,8656,12,141,1055,3006
145,Kaisa,7,4,True,6,0,4,67189,8713,11,158,3006,6672
55,Katarina,12,14,True,6,4,2,65771,7297,11,114,2031,3115
64,LeeSin,11,4,True,5,1,6,82222,7515,11,19,3044,6630
