champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
22,Ashe,7,4,True,9,4,13,103536,10674,13,130,6673,3091
245,Ekko,11,4,True,16,0,6,205384,13738,15,35,3115,3152
114,Fiora,12,4,True,4,6,8,95815,9187,14,147,6630,2420
157,Yasuo,14,4,True,6,3,4,155659,11550,15,196,1011,6673
25,Morgana,4,14,True,2,5,18,22785,7775,12,25,3853,2055
7,Leblanc,12,4,False,2,3,6,68409,8016,13,159,2055,4630
412,Thresh,14,4,False,1,12,8,13855,5956,11,27,3158,3190
13,Ryze,4,12,False,2,6,1,148638,9615,14,189,6656,2033
427,Ivern,11,4,False,4,7,2,201245,6358,11,17,6617,3114
523,Aphelios,4,7,False,9,9,4,117995,11210,12,173,6676,1038
68,Rumble,11,4,False,2,11,17,116472,9365,13,28,3916,3157
875,Sett,4,12,False,3,8,4,136674,10296,14,204,6630,1037
555,Pyke,4,14,False,6,11,12,25921,9620,12,39,3117,3142
18,Tristana,3,4,False,11,10,9,105407,12709,13,157,1055,3046
245,Ekko,14,12,False,9,8,5,128634,12783,15,159,3115,3152
64,LeeSin,4,11,True,11,3,14,158937,13582,15,41,6630,2055
7,Leblanc,4,12,True,9,4,10,147860,14311,16,178,4629,3089
32,Amumu,4,14,True,4,10,18,34626,9071,14,32,3047,3860
119,Draven,4,7,True,18,5,7,217511,18686,16,202,3047,3031
39,Irelia,4,12,True,6,9,6,157552,12497,16,222,1055,6632
131,Diana,11,4,True,8,2,5,144616,10339,14,39,3152,3157
432,Bard,4,14,True,1,7,17,14146,6458,11,16,3853,3190
777,Yone,4,12,True,11,1,3,138430,12537,14,170,6673,2055
22,Ashe,4,7,True,2,4,11,67580,7935,12,125,6673,0
114,Fiora,4,12,True,4,3,6,111395,11072,14,193,6630,3074
120,Hecarim,6,11,False,7,3,1,125773,9213,12,27,3053,0
13,Ryze,12,4,False,3,8,2,90385,7779,12,167,6656,2424
412,Thresh,4,14,False,1,5,8,13377,5797,9,27,3855,2055
222,Jinx,4,7,False,4,6,4,113454,10095,12,209,3006,6671
164,Camille,12,14,False,2,4,3,105130,8497,14,171,3077,3133
64,LeeSin,4,11,False,7,5,7,157182,11696,15,27,3053,6630
85,Kennen,4,12,False,8,5,2,134480,12447,16,216,3089,3152
81,Ezreal,4,7,False,2,4,6,133132,9966,14,187,0,3110
157,Yasuo,14,4,False,5,7,8,218728,12903,17,263,6673,3031
497,Rakan,14,4,False,2,3,13,23505,8189,13,40,3860,2065
523,Aphelios,4,7,True,9,5,7,223483,17646,17,241,6673,3046
777,Yone,4,12,True,4,6,6,182268,12510,16,221,1054,3006
412,Thresh,14,4,True,0,3,17,17781,8214,14,32,3190,4643
76,Nidalee,4,11,True,5,4,8,173036,12845,15,32,3157,3020
887,Gwen,14,12,True,6,6,7,135111,12001,16,188,4629,4633
20,Nunu,4,11,False,2,3,5,112737,7806,12,24,3068,3067
497,Rakan,4,14,False,0,1,2,3738,4582,8,16,3158,2055
13,Ryze,12,4,False,1,4,3,113743,8171,13,186,6656,3165
119,Draven,4,7,False,2,5,0,106671,8768,12,187,1055,0
122,Darius,6,4,False,3,5,1,79738,8136,12,141,3053,6630
92,Riven,12,14,True,8,2,3,141679,11527,15,197,6630,3142
350,Yuumi,7,14,True,2,0,11,15637,6601,12,6,6617,2003
61,Orianna,4,12,True,1,2,0,130023,8944,14,199,3003,1056
81,Ezreal,4,3,True,4,1,5,126819,10052,12,196,6632,2420
64,LeeSin,11,4,True,3,3,12,105368,8381,13,14,2031,6630
119,Draven,4,7,True,3,3,5,58078,7215,9,112,0,2055
126,Jayce,4,12,True,3,1,7,72287,8103,11,130,1055,1083
53,Blitzcrank,14,4,True,1,4,8,11606,3876,8,14,3067,2031
517,Sylas,4,12,True,10,0,4,70929,8961,12,129,1056,3108
76,Nidalee,4,11,True,6,1,8,75440,7223,10,5,0,2031
43,Karma,4,3,False,1,2,4,30116,4576,8,73,6617,1056
40,Janna,4,7,False,2,4,4,9434,4357,7,10,2065,3851
11,MasterYi,4,11,False,0,9,2,39844,3487,8,4,1001,2031
104,Graves,4,12,False,2,6,0,34817,4549,8,78,2031,6692
4,TwistedFate,4,12,False,4,3,4,51222,6417,10,104,2033,2424
517,Sylas,4,12,False,8,9,4,154301,12094,16,209,6656,3157
104,Graves,11,4,False,4,7,6,150859,10463,14,63,6692,3133
12,Alistar,4,14,False,2,4,9,16339,7021,11,29,3860,3190
429,Kalista,7,4,False,8,6,4,187499,14119,16,237,3026,6673
31,Chogath,12,4,False,4,8,3,121612,9964,14,169,3047,6656
203,Kindred,11,4,True,13,6,7,173790,14056,15,24,6671,1018
4,TwistedFate,12,4,True,4,7,8,144732,12216,16,189,2033,6656
81,Ezreal,4,3,True,1,6,12,142634,9983,15,176,3158,3035
432,Bard,14,4,True,3,5,21,23723,9294,14,22,3190,3853
126,Jayce,4,12,True,13,3,7,190225,16229,17,213,6692,3814
201,Braum,14,4,False,0,3,6,24644,5658,11,27,1028,3190
523,Aphelios,4,7,False,2,5,3,105071,8924,13,175,6673,6676
236,Lucian,4,12,False,2,8,2,90003,8585,13,164,6694,6671
131,Diana,11,4,False,9,6,2,145917,11633,13,34,3089,3152
114,Fiora,12,4,False,1,5,2,69678,8359,13,170,3074,6630
92,Riven,12,14,True,9,5,3,102941,10830,14,158,1055,3142
76,Nidalee,11,4,True,4,2,8,143635,9439,14,14,3157,3020
246,Qiyana,14,4,True,7,2,3,104778,10390,13,161,2055,3142
99,Lux,14,4,True,0,4,12,21771,6179,11,11,2065,3853
202,Jhin,4,7,True,7,1,3,162149,11755,14,223,3009,6671
127,Lissandra,4,12,True,4,4,8,81482,9196,12,119,2033,6655
523,Aphelios,4,7,True,4,5,5,87244,8705,11,110,6676,2031
223,TahmKench,12,4,True,4,2,7,64827,9304,13,128,3068,8001
104,Graves,11,4,True,14,1,6,162009,13147,14,53,3142,6694
111,Nautilus,4,14,True,2,6,11,20257,6416,10,32,2055,3860
81,Ezreal,7,4,False,6,4,1,84914,9235,11,167,6632,3042
203,Kindred,4,11,False,4,7,3,97611,7253,11,28,6672,3047
43,Karma,4,14,False,2,6,8,19879,6064,8,12,0,3853
164,Camille,4,12,False,6,6,0,66474,8169,12,124,6632,3077
38,Kassadin,4,12,False,0,5,5,76389,6618,12,130,2420,6656
12,Alistar,14,4,False,1,12,13,20277,6539,10,29,3860,3067
18,Tristana,1,4,False,8,9,6,108547,11222,12,156,6672,3046
121,Khazix,4,11,False,6,1,4,169785,10083,14,11,3814,0
43,Karma,4,12,False,2,5,7,72666,7447,12,122,3158,2055
58,Renekton,12,4,False,6,3,6,122386,10787,14,176,6630,2421
13,Ryze,4,12,True,4,5,6,167752,11539,15,208,3070,3157
523,Aphelios,4,7,True,8,6,10,166582,12188,14,200,1055,1037
150,Gnar,12,4,True,4,3,15,128407,11410,15,163,6630,3053
203,Kindred,4,11,True,14,5,9,143785,13775,14,44,6672,3006
117,Lulu,3,4,True,0,4,27,12245,8247,13,12,2055,2065
