champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
429,Kalista,4,7,True,9,6,7,113623,11662,13,155,2421,3006
3,Galio,12,4,True,1,2,5,93883,9250,14,177,1058,3157
12,Alistar,4,14,True,2,2,14,20490,7716,11,36,3860,2055
76,Nidalee,4,11,True,8,3,6,143435,10581,13,19,2031,2055
126,Jayce,12,4,True,9,3,6,157446,12942,15,191,0,3047
131,Diana,4,11,False,4,4,6,141203,9099,13,47,4630,3152
246,Qiyana,14,4,False,5,2,5,74714,9277,13,145,2055,6693
497,Rakan,4,14,False,1,9,12,9279,5706,10,6,3158,3853
58,Renekton,4,12,False,1,9,2,90113,6558,12,141,6630,2420
202,Jhin,4,7,False,5,5,6,106783,9885,13,167,3009,6671
236,Lucian,4,3,False,1,3,1,15376,3435,6,57,2031,1037
7,Leblanc,4,12,False,0,1,1,25823,3609,8,72,2033,3020
104,Graves,4,11,False,1,1,1,27147,3159,5,1,1035,2031
26,Zilean,4,14,False,2,5,0,9399,3574,7,11,3851,2055
164,Camille,14,12,False,0,1,0,28631,4152,9,97,1055,3078
114,Fiora,4,12,True,1,0,1,19720,3716,8,62,6029,2031
38,Kassadin,4,14,True,3,0,2,34858,5473,9,92,1054,3070
18,Tristana,4,7,True,3,2,4,35608,5251,7,72,1055,1018
203,Kindred,11,4,True,2,1,2,59669,5107,8,8,3134,2031
497,Rakan,4,14,True,2,1,6,5779,4278,6,3,3009,2031
96,KogMaw,4,7,True,8,6,9,85639,9750,13,144,3006,6673
39,Irelia,12,4,True,2,2,6,150081,11114,15,217,3047,2055
26,Zilean,4,14,True,6,4,16,18105,8628,13,11,3853,2065
38,Kassadin,4,14,True,4,3,3,72312,9313,13,145,6655,3070
5,XinZhao,4,11,True,7,1,4,125105,9701,13,18,3047,6630
115,Ziggs,4,12,False,2,7,3,97667,8030,13,158,3040,0
79,Gragas,4,14,False,2,8,5,12775,5319,9,10,2424,2421
238,Zed,14,4,False,7,6,5,103905,10581,13,175,3142,6692
54,Malphite,12,4,False,2,2,5,73610,7311,13,135,2033,6662
64,LeeSin,4,11,False,3,4,5,102107,7394,12,7,3133,6630
107,Rengar,4,11,False,6,11,5,127685,10054,14,16,6692,3111
115,Ziggs,4,12,False,4,5,8,192838,13212,16,242,0,3157
39,Irelia,12,4,False,6,12,2,155360,12716,16,207,6630,3091
412,Thresh,4,14,False,4,10,9,16080,7585,13,28,3860,3158
876,Lillia,4,14,False,5,9,2,129665,11955,16,218,6653,0
53,Blitzcrank,4,14,True,3,6,14,18680,8612,14,37,3860,2065
13,Ryze,4,12,True,17,4,9,226844,17227,18,230,3165,6656
22,Ashe,1,4,True,5,5,13,151461,13013,15,219,6673,3006
41,Gangplank,4,12,True,6,6,9,192373,14618,17,213,3033,6676
30,Karthus,3,11,True,16,4,9,221198,15112,18,32,6655,1082
13,Ryze,12,4,False,9,10,6,157158,12101,16,202,1052,6656
57,Maokai,4,11,False,2,11,16,111108,9399,14,12,6662,3075
875,Sett,12,4,False,7,8,2,128943,12843,16,183,3053,3748
67,Vayne,7,4,False,12,5,4,212321,16309,16,236,8001,3072
147,Seraphine,4,3,False,1,9,16,32440,8227,13,39,3853,3158
81,Ezreal,4,7,True,12,5,11,150534,15797,17,177,6694,3042
39,Irelia,12,4,True,6,6,10,174374,14140,17,227,3153,6630
61,Orianna,4,12,True,6,5,19,228573,16425,18,231,3916,3135
555,Pyke,4,14,True,6,7,15,33853,12808,14,44,6693,3857
131,Diana,11,4,True,13,8,12,243474,16528,18,20,3115,3111
12,Alistar,4,14,False,2,4,3,20453,4784,9,38,2055,3859
29,Twitch,14,4,False,4,5,1,51711,7530,11,127,1056,3006
119,Draven,3,4,False,1,9,2,53317,6139,9,128,1055,1053
104,Graves,11,4,False,0,6,2,89298,5406,10,18,6692,3134
85,Kennen,4,12,False,3,5,1,62144,7831,12,140,3152,0
18,Tristana,3,4,True,11,3,6,94175,10166,12,144,1055,6672
102,Shyvana,4,11,True,5,0,4,154428,9092,14,40,3020,2031
122,Darius,4,6,True,3,4,5,42738,5673,11,67,1054,3111
203,Kindred,14,4,True,6,1,4,77070,8269,13,122,1055,1036
412,Thresh,4,14,True,4,2,11,19772,6704,11,29,3857,3190
64,LeeSin,4,11,False,5,3,5,128279,9259,13,21,2055,6630
38,Kassadin,4,12,False,6,5,4,90618,9277,13,165,3111,3040
104,Graves,4,12,False,2,9,5,101615,8623,13,163,3036,3134
497,Rakan,14,4,False,0,5,11,17157,5720,10,28,2065,3860
119,Draven,4,3,False,4,5,4,141018,11246,13,218,1038,6673
18,Tristana,4,7,True,5,4,8,115720,10782,13,178,6672,3006
114,Fiora,12,4,True,14,3,5,153991,14995,16,207,3133,6630
13,Ryze,4,12,True,2,2,7,136645,10151,14,174,2421,6656
80,Pantheon,4,14,True,2,6,7,19843,6253,11,12,6692,0
76,Nidalee,4,11,True,4,2,6,149133,9616,13,17,4636,2055
64,LeeSin,4,11,False,7,5,7,157182,11696,15,27,3053,6630
85,Kennen,4,12,False,8,5,2,134480,12447,16,216,3089,3152
81,Ezreal,4,7,False,2,4,6,133132,9966,14,187,0,3110
157,Yasuo,14,4,False,5,7,8,218728,12903,17,263,6673,3031
497,Rakan,14,4,False,2,3,13,23505,8189,13,40,3860,2065
523,Aphelios,4,7,True,9,5,7,223483,17646,17,241,6673,3046
777,Yone,4,12,True,4,6,6,182268,12510,16,221,1054,3006
412,Thresh,14,4,True,0,3,17,17781,8214,14,32,3190,4643
76,Nidalee,4,11,True,5,4,8,173036,12845,15,32,3157,3020
887,Gwen,14,12,True,6,6,7,135111,12001,16,188,4629,4633
43,Karma,4,14,False,6,10,18,16210,10311,14,18,3853,2065
81,Ezreal,3,4,False,11,8,13,182904,14821,16,195,3042,3078
59,JarvanIV,11,4,False,6,9,11,158585,11666,15,55,6630,2031
45,Veigar,4,12,False,4,3,4,193854,12093,17,259,1056,6656
54,Malphite,12,4,False,11,14,5,110676,12704,14,140,3135,3152
157,Yasuo,4,14,True,11,5,10,218118,16973,17,199,3033,6035
427,Ivern,4,11,True,2,5,25,350856,12270,17,9,6617,3222
555,Pyke,14,4,True,9,9,15,36268,13644,15,44,3857,3140
115,Ziggs,12,4,True,19,5,5,278800,18584,17,257,3020,3089
876,Lillia,14,4,True,3,14,10,114536,11394,16,139,6653,4637
164,Camille,4,12,True,10,11,15,265867,19219,18,247,3111,3074
48,Trundle,4,11,True,11,2,22,401671,23192,18,147,6632,3748
432,Bard,4,14,True,4,11,18,34673,11713,17,22,3853,3190
14,Sion,12,11,True,6,6,21,230635,16935,18,218,3001,3075
145,Kaisa,4,7,True,17,7,8,266856,21128,18,248,6671,3026
117,Lulu,4,14,False,1,6,26,24186,11133,16,30,3853,3107
141,Kayn,11,4,False,13,9,9,294423,16768,18,72,3042,6630
110,Varus,7,4,False,7,11,16,234561,16194,17,257,3142,6694
101,Xerath,4,12,False,11,10,14,319910,18814,18,269,3020,1058
75,Nasus,12,6,False,5,12,7,254375,16056,18,239,6632,3047
