champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
2,Olaf,12,4,True,11,7,13,258575,20235,18,263,6630,3193
246,Qiyana,4,14,True,19,8,10,291491,20490,18,268,6694,6693
120,Hecarim,6,11,True,7,4,20,236765,16218,18,44,6632,3065
44,Taric,14,4,True,2,5,33,43624,12178,17,49,3107,3860
115,Ziggs,4,12,True,7,12,13,463572,22179,18,370,3040,6653
39,Irelia,4,12,False,7,12,7,231787,15796,18,229,6609,1057
40,Janna,4,14,False,1,9,22,22882,10961,16,13,6617,4643
119,Draven,4,7,False,8,9,10,387167,21198,18,299,3026,6673
48,Trundle,4,11,False,4,10,17,197511,14974,18,58,8001,3143
517,Sylas,12,4,False,16,7,12,354925,22812,18,330,3135,6656
164,Camille,14,12,True,12,1,6,145656,12826,16,192,3748,3053
235,Senna,4,7,True,8,3,6,114020,11156,13,167,1038,2055
59,JarvanIV,4,11,True,7,2,11,141686,10984,13,22,2421,6630
44,Taric,14,4,True,1,2,16,23962,6900,11,34,1011,3860
13,Ryze,4,12,True,2,0,5,181073,11235,15,219,3111,3157
18,Tristana,1,4,False,3,4,1,148804,10348,13,201,6672,3006
64,LeeSin,11,4,False,0,4,6,106606,7569,12,25,6630,3077
134,Syndra,4,12,False,4,4,1,97857,9377,13,177,2033,3041
876,Lillia,4,12,False,0,14,0,83883,6190,11,124,2033,0
117,Lulu,14,4,False,1,4,6,18765,5920,10,13,2065,3853
110,Varus,4,7,False,7,5,7,127949,12535,14,190,3142,3042
25,Morgana,4,14,False,3,8,9,26195,8105,12,29,3157,3853
85,Kennen,4,12,False,4,5,7,109121,11324,15,165,3020,3152
517,Sylas,12,4,False,6,8,0,96922,10409,14,186,3108,6656
64,LeeSin,11,4,False,3,9,4,114364,8982,13,27,3134,6630
3,Galio,4,12,True,4,4,13,124993,11563,15,201,3158,3152
429,Kalista,1,4,True,15,3,9,193642,16067,16,200,6673,3026
141,Kayn,4,11,True,7,6,6,148555,10548,14,17,3158,3142
164,Camille,14,12,True,9,5,13,110483,12287,16,142,1037,3111
412,Thresh,4,14,True,0,5,22,21198,7606,13,36,3158,2055
18,Tristana,4,3,False,5,7,5,200263,14032,16,209,3033,0
76,Nidalee,4,11,False,5,5,15,165296,11747,15,37,3135,3158
240,Kled,12,4,False,4,9,9,133623,12664,15,154,3047,3748
875,Sett,4,14,False,9,16,10,67703,11230,13,56,3857,6630
80,Pantheon,4,14,False,5,8,13,132727,12216,15,173,0,2421
55,Katarina,12,14,True,11,8,12,126992,13637,15,151,3157,1082
79,Gragas,4,14,True,6,6,29,51159,11205,14,25,3157,1082
36,DrMundo,4,12,True,8,4,13,148310,13421,17,197,6662,3143
157,Yasuo,4,3,True,8,5,14,166595,14411,16,216,1038,3006
104,Graves,4,11,True,12,5,16,263378,15976,18,84,6673,3033
432,Bard,4,14,False,1,5,11,16011,5941,11,13,3853,3190
517,Sylas,4,12,False,2,10,6,67653,6948,11,105,1056,2421
81,Ezreal,4,12,False,2,5,4,97578,8121,12,167,3078,3042
39,Irelia,12,4,False,3,5,3,115946,9566,13,182,3153,3091
234,Viego,4,11,False,8,4,5,126370,11316,12,8,2055,3044
13,Ryze,4,12,True,10,6,12,138264,11748,14,165,3040,6656
