champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
112,Viktor,12,4,True,11,2,14,203232,15388,17,232,6655,3157
236,Lucian,4,7,True,9,9,8,125385,11676,15,162,6671,3047
234,Viego,11,4,True,14,2,10,199774,15731,17,48,3153,6672
90,Malzahar,4,14,True,4,5,13,36387,9328,13,38,3853,3157
164,Camille,14,12,True,5,7,11,98931,10610,15,155,6632,3074
81,Ezreal,4,7,False,3,8,11,129928,10778,14,198,6632,3158
25,Morgana,4,14,False,6,11,13,19757,9707,13,15,3157,3853
17,Teemo,4,14,False,4,10,3,104077,9344,15,163,2055,3020
104,Graves,11,4,False,5,6,2,174002,11577,15,88,3142,6692
42,Corki,4,12,False,6,8,3,151215,12071,16,215,3508,6673
222,Jinx,7,4,False,7,5,8,143538,12346,14,181,3085,6671
234,Viego,4,11,False,5,8,6,112570,8461,13,24,3053,3047
26,Zilean,12,4,False,5,3,9,116269,9834,15,177,2033,6656
497,Rakan,4,14,False,1,5,17,11481,6724,11,18,2065,3853
39,Irelia,12,4,False,3,11,0,100208,8538,12,158,6630,3153
498,Xayah,4,7,True,6,3,9,150178,11313,15,174,6671,3006
3,Galio,4,14,True,3,10,14,19118,7755,11,30,2065,3859
164,Camille,14,12,True,10,3,11,137769,14352,16,197,3026,3044
4,TwistedFate,4,12,True,7,2,12,131766,12720,15,181,2033,3157
5,XinZhao,4,11,True,6,3,8,119314,9976,13,34,6630,3053
99,Lux,4,14,False,0,4,5,20082,4603,8,9,3020,3802
51,Caitlyn,4,7,False,0,4,1,65435,7005,10,166,6671,1055
150,Gnar,12,4,False,2,0,0,125473,8546,14,180,6632,3053
64,LeeSin,4,11,False,3,4,5,93619,7338,11,18,3047,6630
31,Chogath,4,12,False,4,4,1,89597,8131,12,164,1056,2055
887,Gwen,6,11,True,6,0,2,123388,8419,12,17,4633,3158
432,Bard,4,14,True,3,1,9,12803,6372,10,7,3853,3047
266,Aatrox,4,12,True,2,3,1,96161,7492,13,158,6630,2031
202,Jhin,4,7,True,1,1,5,64730,6456,11,136,6671,3134
126,Jayce,4,12,True,4,4,0,105272,8671,13,170,1055,2031
150,Gnar,4,12,True,6,4,1,113974,10712,13,188,6632,3053
38,Kassadin,4,12,True,7,2,3,113236,10216,14,183,3040,2421
432,Bard,4,14,True,0,6,16,15579,6204,10,15,3853,3190
56,Nocturne,4,11,True,4,3,8,141242,9595,13,28,3053,6631
81,Ezreal,1,4,True,5,4,8,140694,10336,13,169,3158,3035
266,Aatrox,12,4,False,3,5,1,87239,8047,13,144,6630,1037
201,Braum,4,14,False,3,3,10,22117,6597,10,34,3857,2423
154,Zac,4,11,False,2,4,6,98028,7010,12,16,2031,6662
119,Draven,4,3,False,3,7,3,102832,9424,12,174,1055,6673
34,Anivia,14,4,False,8,3,0,123627,11821,14,194,6656,3157
523,Aphelios,4,1,True,8,2,4,136591,12061,13,172,1055,3085
85,Kennen,4,14,True,10,2,3,126547,12475,15,176,3020,0
412,Thresh,4,14,True,1,3,12,15246,7158,11,28,1011,3009
5,XinZhao,4,11,True,4,2,5,153183,9733,14,20,3053,3047
157,Yasuo,4,12,True,6,4,2,148138,10976,14,188,1055,3006
38,Kassadin,4,12,False,2,5,2,73361,7977,13,165,1082,6656
22,Ashe,4,7,False,4,6,4,89069,9272,11,164,6671,3033
117,Lulu,4,3,False,0,5,4,9567,5077,10,17,6617,3853
39,Irelia,4,12,False,2,6,5,125662,8936,13,189,6632,3153
48,Trundle,11,4,False,5,7,6,69124,8827,12,24,3047,6632
76,Nidalee,4,11,False,0,3,1,57336,3972,8,6,3020,2031
134,Syndra,4,12,False,0,4,1,29755,3567,7,59,2421,2031
39,Irelia,4,14,False,4,7,0,57925,5950,10,91,1055,1036
126,Jayce,12,4,False,0,6,0,33908,3287,8,71,3134,2031
89,Leona,14,4,False,1,7,0,6810,3155,6,10,3854,3067
517,Sylas,4,12,True,8,0,4,80786,9344,11,127,1056,6656
412,Thresh,4,14,True,1,1,11,9093,4315,8,19,3855,3111
18,Tristana,3,4,True,8,2,3,53373,8166,10,114,6672,3006
92,Riven,4,12,True,4,0,4,65081,7027,11,113,6630,1036
5,XinZhao,4,11,True,6,2,3,58755,6713,10,13,6630,2031
58,Renekton,12,4,True,6,5,6,100179,8703,12,141,3044,1028
91,Talon,4,14,True,16,1,4,119456,12288,14,150,3142,6630
44,Taric,14,4,True,1,2,16,23039,5795,9,25,2055,3860
76,Nidalee,4,11,True,8,2,9,83183,8694,11,33,3158,4636
134,Syndra,4,12,True,4,1,8,64454,7653,11,123,1056,3070
39,Irelia,12,4,False,5,11,2,89214,7528,11,141,3153,3047
412,Thresh,14,4,False,0,8,6,13535,4396,8,24,3855,1029
523,Aphelios,1,4,False,2,5,0,58100,6807,10,137,1055,6673
245,Ekko,4,11,False,1,4,1,84180,5766,10,27,3152,2031
164,Camille,14,12,False,3,7,2,68423,7233,12,129,1055,1036
79,Gragas,14,4,False,1,8,10,29211,6634,11,33,3860,2055
64,LeeSin,4,12,False,6,3,5,144176,12306,15,198,6630,3053
517,Sylas,4,12,False,7,6,4,148403,11598,16,211,6656,3157
9,Fiddlesticks,4,11,False,3,6,7,142009,9752,13,22,3152,1082
360,Samira,7,4,False,3,7,7,100709,10574,13,196,6673,1037
777,Yone,12,4,True,7,7,6,168063,12016,16,183,3033,6673
13,Ryze,4,12,True,6,4,9,162956,12280,16,192,3040,6656
134,Syndra,4,3,True,3,2,7,136878,11500,15,204,3135,0
234,Viego,4,11,True,11,4,8,166153,13402,15,36,3111,3053
412,Thresh,4,14,True,3,3,13,20554,8172,13,37,3158,2055
38,Kassadin,4,12,True,14,4,14,302359,19699,18,304,3157,3089
98,Shen,4,14,True,9,4,15,174894,17227,18,210,6664,3105
497,Rakan,4,14,True,1,5,23,38984,10058,15,60,2065,3860
110,Varus,4,1,True,7,8,14,182246,15243,16,202,3042,6692
427,Ivern,4,11,True,4,4,26,412268,13845,17,33,6617,6616
119,Draven,4,7,False,15,4,4,341293,21820,17,259,3139,3036
30,Karthus,4,11,False,6,9,11,307445,16030,17,115,6653,4637
89,Leona,4,14,False,2,7,17,23408,9844,14,48,3860,8001
157,Yasuo,12,4,False,1,8,10,220969,13539,17,250,2420,0
