champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
875,Sett,12,4,True,4,3,5,93725,9435,13,149,6630,3053
98,Shen,4,12,True,4,5,5,52189,7691,12,125,3107,2031
81,Ezreal,7,4,True,10,1,5,121209,11824,13,163,1055,3042
76,Nidalee,4,11,True,6,1,9,139745,10024,14,28,4636,2031
497,Rakan,3,4,True,1,0,13,16966,5857,11,29,3860,2055
133,Quinn,14,4,False,2,3,5,62865,7646,12,124,3006,2031
104,Graves,4,7,False,0,6,2,73284,5950,11,138,3070,6692
12,Alistar,4,14,False,1,6,4,10952,4780,8,24,3859,3190
32,Amumu,11,4,False,2,4,3,92091,6811,11,26,3158,2055
517,Sylas,4,12,False,5,6,2,69900,7968,12,128,1056,1082
104,Graves,4,12,True,9,2,6,199342,15122,16,245,3134,3111
110,Varus,7,4,True,5,3,16,212166,14716,16,279,2420,3042
516,Ornn,4,14,True,1,2,15,44407,8854,14,56,7019,8001
9,Fiddlesticks,4,11,True,2,6,13,165427,10395,14,32,3152,3020
164,Camille,12,14,True,7,1,7,158376,12819,17,196,3065,6632
150,Gnar,4,12,False,1,7,0,192431,12505,16,251,3091,6662
268,Azir,4,12,False,2,3,3,250902,14651,17,305,3157,3006
76,Nidalee,11,4,False,9,4,3,215096,15171,16,32,3157,3089
89,Leona,4,14,False,2,6,8,17533,8004,13,35,3190,2055
360,Samira,7,4,False,0,4,8,120243,11178,14,212,3047,3036
81,Ezreal,4,12,True,10,3,9,235445,16739,17,260,2421,3074
58,Renekton,4,12,True,6,3,6,250815,16609,18,284,3077,3075
89,Leona,4,14,True,0,5,19,22849,8930,15,36,3190,3860
64,LeeSin,11,4,True,10,2,13,265545,16751,18,51,0,6630
13,Ryze,4,12,True,7,8,11,308352,16148,18,273,3089,6656
18,Tristana,3,4,False,6,6,9,289793,17006,17,316,3006,6672
517,Sylas,4,12,False,5,8,3,154930,13629,17,228,3111,4629
79,Gragas,11,4,False,6,5,6,144960,12436,15,44,2055,3020
92,Riven,12,14,False,4,8,1,217645,14036,18,296,3071,3026
201,Braum,4,14,False,0,6,12,24863,8451,15,40,3190,3857
22,Ashe,4,7,True,9,5,7,171448,14415,15,247,0,3124
223,TahmKench,4,12,True,3,5,20,118040,12301,16,169,8001,3075
201,Braum,4,14,True,1,6,14,28044,7587,14,34,3857,3067
13,Ryze,4,12,True,6,6,9,222354,14472,17,206,2033,3157
59,JarvanIV,4,11,True,12,2,15,181261,14999,16,58,6630,2421
