champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
497,Rakan,4,14,False,1,6,20,35733,8618,14,29,3853,8001
517,Sylas,4,12,False,3,9,14,196619,13805,17,231,6656,3157
64,LeeSin,4,11,False,18,5,13,278897,19094,18,94,6630,3053
266,Aatrox,12,4,False,6,7,15,192930,14594,18,224,3053,6630
81,Ezreal,4,7,False,11,5,6,256883,15809,17,247,3110,3042
117,Lulu,4,14,True,1,8,18,27756,9737,14,16,2065,0
523,Aphelios,4,7,True,11,9,6,293590,19203,16,236,6672,3085
4,TwistedFate,12,4,True,1,7,17,137730,11859,16,157,3094,3100
39,Irelia,4,12,True,14,9,8,279224,20046,18,239,3153,3047
427,Ivern,11,4,True,5,6,24,225724,11470,15,13,3114,3504
64,LeeSin,11,4,False,4,2,2,91852,7232,11,15,1028,6630
13,Ryze,4,12,False,1,4,6,138824,8824,14,214,2033,3157
81,Ezreal,7,4,False,1,8,2,69672,7818,11,144,3004,0
92,Riven,12,14,False,0,3,3,80192,7744,12,169,6630,1036
497,Rakan,4,3,False,2,5,4,21923,5269,10,26,2055,3860
18,Tristana,4,7,True,2,2,7,109973,9828,12,166,0,3006
238,Zed,4,11,True,10,1,5,136429,11079,14,14,3142,2055
39,Irelia,4,12,True,1,4,2,91670,8376,13,166,3153,3047
4,TwistedFate,4,12,True,9,0,8,110683,12075,15,171,1058,0
44,Taric,14,4,True,0,1,6,17277,5763,10,28,3158,3860
28,Evelynn,4,11,True,3,2,9,100811,7359,12,5,2031,3152
89,Leona,14,4,True,1,0,8,22042,5238,10,31,3857,2031
81,Ezreal,4,7,True,5,0,4,79137,8601,11,155,2055,6632
164,Camille,4,12,True,3,2,2,67572,7507,12,153,6632,3077
238,Zed,14,4,True,8,0,1,85943,9245,13,159,6692,2055
54,Malphite,4,12,False,1,8,0,47328,4811,10,91,2033,6662
44,Taric,14,4,False,0,1,0,8453,3401,8,17,3070,3859
59,JarvanIV,4,11,False,3,5,1,92776,6523,10,11,1037,6630
58,Renekton,4,12,False,0,5,4,78926,6252,11,135,6630,2031
18,Tristana,7,4,False,0,1,0,69209,6168,10,140,1055,6672
266,Aatrox,4,12,True,6,2,15,139195,14159,17,220,1055,6630
104,Graves,11,4,True,11,6,8,222070,15036,16,62,6692,3031
99,Lux,4,14,True,10,5,20,37375,12750,15,26,3853,3107
523,Aphelios,4,7,True,6,10,4,157206,12486,15,177,6673,0
134,Syndra,4,3,True,5,5,9,156795,12707,16,191,2033,3020
412,Thresh,4,14,False,3,8,11,13435,8013,12,32,2055,3190
9,Fiddlesticks,4,11,False,8,4,3,193188,12744,16,45,3152,3157
223,TahmKench,12,14,False,0,6,9,114679,8848,14,174,8001,6662
246,Qiyana,4,14,False,7,11,5,146380,11372,15,158,3142,3158
29,Twitch,4,7,False,10,9,4,149450,13835,15,203,6673,3085
126,Jayce,4,12,False,7,5,2,138463,11340,14,206,1055,3042
22,Ashe,4,7,False,1,6,4,85650,7677,12,155,2031,0
245,Ekko,12,4,False,3,3,2,145644,10375,15,220,3100,3152
201,Braum,4,3,False,1,5,7,18535,6006,11,25,3857,1028
64,LeeSin,4,11,False,3,5,7,108137,8759,13,37,3053,6630
523,Aphelios,4,1,True,6,1,7,182188,14174,14,220,0,3085
39,Irelia,4,12,True,7,7,3,129871,11365,15,194,3047,3153
112,Viktor,12,4,True,4,1,7,141501,10962,16,212,2033,3157
91,Talon,14,11,True,5,3,8,199665,12249,15,43,6630,3142
412,Thresh,4,14,True,2,3,17,16537,8494,13,40,3190,3857
34,Anivia,14,4,False,3,7,8,100670,10031,13,148,6656,3157
14,Sion,12,4,False,4,6,8,210893,12997,16,245,3142,3181
360,Samira,3,4,False,9,10,2,141882,12374,14,172,6673,6676
875,Sett,4,14,False,4,9,7,24466,7390,11,35,3857,2055
254,Vi,4,11,False,9,8,8,151013,12314,14,47,2055,3158
18,Tristana,4,3,True,16,7,8,197627,15964,15,192,0,3006
157,Yasuo,4,14,True,8,7,8,177260,13203,15,188,2420,6673
117,Lulu,4,14,True,4,4,25,18340,9793,14,16,3853,2055
64,LeeSin,4,11,True,5,6,17,139568,12010,15,26,6630,3053
74,Heimerdinger,4,12,True,6,5,9,136078,12042,15,167,3157,0
59,JarvanIV,12,14,True,8,11,9,222505,15939,18,241,6630,3111
7,Leblanc,12,14,True,8,9,12,170215,14296,17,187,1058,3135
134,Syndra,4,12,True,6,5,13,221028,14735,17,235,1058,3040
64,LeeSin,11,4,True,15,5,7,202810,16297,17,52,3111,6630
117,Lulu,4,7,True,4,7,20,25738,10604,15,15,3853,3107
8,Vladimir,4,12,False,8,10,4,180570,14140,17,210,3152,1082
77,Udyr,11,4,False,3,7,7,184799,12233,17,42,3742,6630
74,Heimerdinger,4,3,False,7,9,12,129287,13563,16,179,3157,4632
39,Irelia,12,4,False,15,7,2,276606,19196,18,259,3153,3053
412,Thresh,14,4,False,3,8,17,26726,9550,15,42,3190,3857
34,Anivia,14,4,True,12,3,6,191167,14682,17,208,6653,3157
887,Gwen,12,14,True,2,7,5,147723,11930,16,218,3158,3157
74,Heimerdinger,4,3,True,1,2,11,146342,11900,15,188,3157,1011
421,RekSai,11,4,True,14,8,8,169503,15296,17,25,6693,1031
40,Janna,4,7,True,0,5,13,16469,8158,13,24,3853,0
523,Aphelios,4,7,False,4,8,10,138533,10866,13,198,6671,3091
875,Sett,4,12,False,4,3,4,151567,13265,16,205,6630,3065
12,Alistar,4,14,False,3,4,11,21418,7496,12,32,3860,1033
48,Trundle,4,11,False,11,6,10,141812,13253,14,36,3111,3748
134,Syndra,4,12,False,3,8,6,120802,10170,14,202,1056,3040
81,Ezreal,7,4,True,5,0,4,64826,7867,10,117,1055,2031
4,TwistedFate,4,12,True,10,0,7,78574,9588,11,126,2424,6656
43,Karma,14,4,True,1,1,12,16677,4927,8,11,3067,3158
126,Jayce,4,12,True,3,1,4,65809,7350,11,125,6692,2033
64,LeeSin,11,4,True,8,1,9,75126,7624,10,13,3047,6630
115,Ziggs,12,4,False,1,4,0,26102,3528,8,54,3020,3802
48,Trundle,4,11,False,0,8,1,26965,3313,6,15,3044,2031
497,Rakan,4,14,False,0,1,0,6597,2915,6,26,3858,3158
18,Tristana,7,4,False,0,7,0,20548,3153,6,49,1036,3006
39,Irelia,4,12,False,2,7,0,41117,4686,9,99,3153,2031
7,Leblanc,12,4,True,1,2,2,21871,3531,8,62,1056,3802
64,LeeSin,4,11,True,4,2,2,45666,4815,8,9,6630,2031
58,Renekton,4,12,True,1,2,0,42209,4903,8,84,1001,3123
429,Kalista,4,1,True,2,0,0,43540,5699,8,98,1055,2031
48,Trundle,4,14,True,1,3,3,9382,2739,5,15,1029,3854
76,Nidalee,11,4,False,2,2,2,45457,4320,8,9,4636,0
53,Blitzcrank,4,3,False,0,0,6,8993,2801,7,22,3858,2031
110,Varus,4,7,False,1,4,3,16651,3152,7,52,1055,2031
266,Aatrox,4,12,False,0,0,0,629,1644,2,3,1054,2003
134,Syndra,12,4,False,6,3,2,22297,4747,7,58,2010,0
