champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
5,XinZhao,4,11,False,6,10,12,161093,12012,14,49,0,6630
526,Rell,4,14,False,5,8,15,24893,8623,13,32,1042,1042
7,Leblanc,4,12,False,7,6,10,117164,12128,16,203,4629,3135
429,Kalista,4,7,False,11,8,7,174040,15872,15,219,3026,6672
74,Heimerdinger,4,12,False,0,7,6,138214,9633,15,187,3157,1058
432,Bard,4,14,True,3,6,28,30726,9832,14,26,3853,3190
22,Ashe,7,4,True,8,9,14,109587,12418,15,139,3006,6673
131,Diana,11,4,True,9,6,18,234312,14844,17,39,3152,3157
875,Sett,6,4,True,5,6,14,128932,12341,16,185,0,3053
164,Camille,12,4,True,14,2,10,164949,16856,18,209,3748,6632
54,Malphite,4,12,True,9,1,14,160463,13874,17,214,3110,3047
266,Aatrox,4,12,True,8,2,10,131783,11993,15,161,6630,3143
429,Kalista,4,7,True,7,8,14,130236,12146,14,160,1055,3085
37,Sona,4,14,True,5,8,25,21716,9726,13,10,3853,3157
64,LeeSin,11,4,True,16,4,15,170360,15106,15,42,6630,0
55,Katarina,12,14,False,2,10,8,115712,9430,13,157,4633,4632
104,Graves,11,4,False,3,8,9,139258,9101,14,48,3047,3142
238,Zed,14,4,False,4,9,6,120731,9842,14,180,2031,6692
432,Bard,4,14,False,1,8,19,19153,8136,12,24,3853,3011
119,Draven,4,7,False,13,10,4,180706,16192,14,203,3031,3036
40,Janna,4,14,False,1,8,9,9381,5742,10,15,3853,3158
429,Kalista,4,7,False,4,10,3,93943,9056,11,132,1055,3124
64,LeeSin,4,11,False,3,8,3,74640,6670,11,18,1028,6630
38,Kassadin,4,12,False,5,6,3,88401,9973,13,146,1082,3157
164,Camille,14,12,False,5,5,7,102277,10417,14,165,3053,3074
498,Xayah,4,3,True,12,3,10,141065,13939,14,186,1055,3006
497,Rakan,4,14,True,4,3,27,26015,8528,13,32,3157,3158
106,Volibear,4,11,True,7,3,15,99621,10773,13,12,6632,2055
4,TwistedFate,4,12,True,8,3,8,94726,10723,13,141,6656,3157
24,Jax,4,12,True,6,6,6,77733,9303,13,107,6632,3153
58,Renekton,12,4,True,3,1,10,109790,9860,14,177,6630,3053
429,Kalista,4,7,True,5,4,11,91968,10356,12,171,1055,3006
111,Nautilus,4,14,True,1,1,17,18613,6121,11,26,3860,3190
131,Diana,11,4,True,13,1,7,179663,12303,14,32,4630,3157
517,Sylas,4,12,True,8,2,10,102161,10944,14,159,1058,6656
126,Jayce,4,12,False,1,7,1,88710,6954,12,156,6692,2031
81,Ezreal,4,7,False,2,4,2,102772,7841,12,166,3042,0
85,Kennen,4,12,False,2,8,1,54519,6687,11,141,2424,3152
497,Rakan,4,14,False,0,5,5,12533,4392,9,26,3859,2031
64,LeeSin,4,11,False,4,6,2,85253,7905,11,34,2055,6630
235,Senna,4,7,False,7,6,11,112191,12327,16,184,3047,6672
12,Alistar,4,14,False,3,12,22,22080,9114,14,27,3860,2065
48,Trundle,4,12,False,9,10,9,159274,15850,16,178,3181,6632
69,Cassiopeia,4,12,False,12,10,9,237624,17408,18,283,3089,3157
76,Nidalee,11,4,False,4,6,12,175732,12848,16,80,3157,3152
59,JarvanIV,11,4,True,8,6,24,182459,15273,17,47,3111,6630
236,Lucian,12,4,True,11,10,12,195872,15202,17,187,3508,1055
89,Leona,4,14,True,0,9,17,23727,8407,13,40,3860,3157
429,Kalista,4,7,True,4,6,13,192377,14081,16,253,1038,3036
245,Ekko,4,12,True,21,4,8,209414,18959,18,199,3089,3157
266,Aatrox,4,12,True,1,5,7,121541,9397,15,170,1054,6630
234,Viego,4,11,True,7,6,12,135073,11749,14,25,6632,3009
429,Kalista,4,7,True,8,3,10,154879,13565,15,221,6672,3085
38,Kassadin,4,12,True,9,6,7,171884,13669,16,186,3041,3157
432,Bard,14,4,True,0,5,20,17132,7041,13,7,3853,3190
69,Cassiopeia,4,21,False,5,2,7,126058,11215,13,183,2420,3040
517,Sylas,4,12,False,4,6,7,131430,12031,14,183,1026,6656
64,LeeSin,4,11,False,2,4,8,132938,9561,13,19,0,6630
235,Senna,4,7,False,4,7,7,28289,8156,11,29,3111,6632
58,Renekton,4,12,False,10,6,1,182471,13290,15,214,6630,3067
154,Zac,4,11,True,6,1,18,117520,9940,14,26,2055,3158
134,Syndra,12,4,True,7,3,14,117151,11052,13,196,1056,3040
89,Leona,4,14,True,3,2,18,19131,7429,11,38,3860,3190
164,Camille,12,4,True,4,6,3,101518,9507,13,157,3074,6632
105,Fizz,4,14,True,11,3,9,94859,11432,14,158,6653,3041
201,Braum,4,3,False,3,9,4,12403,5424,9,25,3001,3111
234,Viego,11,4,False,7,5,3,113691,9224,12,36,3123,3111
85,Kennen,4,12,False,2,3,6,78851,7717,13,148,2055,3152
238,Zed,4,14,False,3,8,3,95696,8338,13,157,6693,3142
429,Kalista,4,1,False,0,6,2,67245,6896,11,143,1055,3006
12,Alistar,4,14,False,0,5,4,10817,4477,8,24,3859,2031
126,Jayce,4,12,False,0,9,1,54889,5525,10,106,6692,3158
91,Talon,4,14,False,4,2,1,76667,8192,12,155,3142,3035
245,Ekko,11,4,False,2,5,0,95669,6643,10,31,3111,3152
429,Kalista,4,7,False,1,2,1,66186,7109,11,142,1055,2031
21,MissFortune,7,4,True,2,2,7,68639,7493,12,183,1055,3006
85,Kennen,4,12,True,4,0,12,57138,7744,12,126,2420,3152
238,Zed,4,14,True,4,3,6,95838,8012,13,158,3158,3142
234,Viego,4,11,True,11,0,3,129866,10158,12,29,3047,3053
89,Leona,4,14,True,2,2,10,16102,5373,9,32,8001,3047
121,Khazix,12,14,False,1,6,4,82117,7647,13,162,6695,3042
267,Nami,14,4,False,0,7,8,7478,5268,11,1,3853,2065
234,Viego,4,11,False,3,5,3,160967,9112,14,12,6632,3047
74,Heimerdinger,4,12,False,1,3,8,140593,9602,15,223,3157,3020
429,Kalista,4,7,False,5,6,2,125724,11071,12,219,1055,3085
236,Lucian,4,3,True,10,2,10,182823,15172,15,240,3508,3006
92,Riven,4,12,True,0,2,8,107363,9702,15,182,3071,2421
53,Blitzcrank,14,4,True,3,2,9,30007,8336,12,51,3860,0
117,Lulu,12,4,True,4,2,14,72537,9830,14,130,3158,2065
64,LeeSin,4,11,True,10,2,10,182204,14694,16,53,6630,6333
267,Nami,14,4,True,0,6,8,8775,6714,11,16,3853,2065
126,Jayce,4,12,True,3,5,1,188678,11652,16,251,6692,3133
517,Sylas,4,12,True,10,4,6,143478,14806,15,181,6656,3157
51,Caitlyn,4,3,True,0,11,3,93607,7904,12,156,6691,3006
104,Graves,11,4,True,8,2,3,233155,13745,15,66,3142,6692
236,Lucian,4,12,False,11,8,2,179681,14236,16,219,3508,3031
429,Kalista,4,7,False,7,3,6,145170,12158,14,221,6673,3033
37,Sona,4,14,False,2,3,20,16303,7751,13,9,3070,3011
875,Sett,4,12,False,4,3,4,126108,9770,15,192,6630,3047
76,Nidalee,11,4,False,4,4,9,140914,10341,14,21,4630,3157
