champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
18,Tristana,4,32,False,6,11,16,89658,14314,18,93,6673,3006
234,Viego,32,4,False,19,11,11,90106,16845,18,54,3091,3053
127,Lissandra,4,32,False,7,15,24,50480,12776,18,25,6655,3157
105,Fizz,32,4,False,8,16,15,45630,11842,17,23,3152,3020
34,Anivia,4,21,False,5,13,17,69372,12420,18,42,6655,3040
202,Jhin,4,7,True,19,7,31,102686,16850,18,73,3009,6671
69,Cassiopeia,4,32,True,7,11,30,45861,13378,18,40,4629,3157
25,Morgana,4,32,True,14,9,36,56169,15297,18,44,3020,3157
54,Malphite,32,4,True,6,10,29,41699,12825,18,16,2051,6662
8,Vladimir,32,4,True,20,8,25,105421,17398,18,76,3157,3152
92,Riven,4,32,True,11,8,21,53685,13955,18,41,3111,6630
420,Illaoi,32,4,True,5,11,16,66696,11877,16,45,6632,2003
134,Syndra,6,4,True,17,7,17,118563,15520,18,61,3040,1058
107,Rengar,32,4,True,7,11,23,63103,13333,17,47,3067,1028
48,Trundle,32,4,True,6,7,23,67950,13105,18,54,6632,3153
122,Darius,6,4,False,7,11,20,49219,11702,16,25,2051,6333
1,Annie,32,4,False,11,8,19,43710,12910,17,28,6653,3135
51,Caitlyn,4,21,False,10,6,19,100484,13645,17,84,3184,3006
875,Sett,4,32,False,10,12,18,62773,12802,16,44,6630,3047
28,Evelynn,32,4,False,6,10,23,47742,12019,16,19,3020,6653
875,Sett,6,4,True,7,5,11,144811,12620,16,191,3053,3748
119,Draven,7,4,True,10,5,7,264839,17256,16,226,3508,3006
76,Nidalee,4,11,True,10,4,9,196585,13291,16,25,3157,3041
150,Gnar,12,4,True,9,5,12,223318,15230,17,213,6630,8001
44,Taric,14,4,True,1,1,25,41225,9586,14,60,8001,3860
20,Nunu,11,4,False,5,6,8,106596,10205,14,39,8001,3076
236,Lucian,4,12,False,6,6,5,198060,14639,16,235,3047,6671
58,Renekton,4,12,False,3,9,3,136030,10290,14,166,6630,2421
74,Heimerdinger,4,3,False,5,8,6,155222,12337,14,202,3157,3145
497,Rakan,4,14,False,1,8,12,24604,7534,12,35,2065,3860
517,Sylas,4,12,False,12,8,11,144297,15189,15,175,6656,3157
147,Seraphine,7,4,False,1,5,15,55098,8938,15,60,6617,3853
203,Kindred,4,11,False,11,12,9,197751,15504,15,78,6676,6672
86,Garen,4,12,False,1,9,6,130701,10673,15,170,1054,3071
13,Ryze,4,12,False,7,9,9,248657,14831,17,250,1058,3157
56,Nocturne,4,11,True,8,5,11,183337,13944,17,33,3123,3026
412,Thresh,4,14,True,1,8,23,24910,10013,16,31,8001,3857
119,Draven,1,4,True,11,5,12,278130,18695,18,239,3508,6676
126,Jayce,12,4,True,9,8,8,205296,15922,18,238,6692,6694
69,Cassiopeia,4,21,True,14,6,6,205809,17179,18,201,3040,3165
13,Ryze,12,4,True,5,5,11,196725,13587,17,229,2033,6656
64,LeeSin,4,11,True,10,4,11,169387,13363,16,23,2055,6630
497,Rakan,4,14,True,1,5,13,15582,7677,13,9,2065,3853
498,Xayah,7,4,True,6,5,6,125257,11402,14,180,6671,3046
62,MonkeyKing,4,12,True,9,2,7,124167,14070,17,198,1055,3071
141,Kayn,11,4,False,8,8,6,165433,12053,15,60,3158,6695
104,Graves,4,12,False,3,9,6,135015,10466,14,181,3036,3009
201,Braum,4,14,False,0,3,13,22398,7026,12,48,3190,3857
22,Ashe,4,7,False,2,5,3,125683,9803,13,208,3124,3006
517,Sylas,4,12,False,8,6,5,123189,12153,15,208,3157,6656
90,Malzahar,4,3,False,2,7,12,98548,12639,18,95,6653,3135
246,Qiyana,6,4,False,15,16,6,46071,13551,17,10,3814,6693
143,Zyra,4,14,False,7,10,13,115772,14692,18,90,6655,3020
67,Vayne,4,7,False,3,15,10,49199,11636,16,36,3184,3006
25,Morgana,32,4,False,4,9,23,47858,12298,18,16,3020,6653
40,Janna,4,3,True,6,6,34,61594,13231,18,32,6655,3020
21,MissFortune,1,4,True,18,7,17,64515,15553,17,55,3184,3006
41,Gangplank,4,3,True,19,5,19,150989,16720,18,88,3035,3031
22,Ashe,6,4,True,9,8,32,79390,13956,18,33,3042,3177
44,Taric,4,32,True,5,5,45,42042,14318,18,45,3107,3070
104,Graves,4,12,False,5,8,6,256701,15613,18,268,3031,2421
89,Leona,4,14,False,2,10,8,32624,8471,14,45,3860,3190
7,Leblanc,12,4,False,10,8,6,141425,14235,17,218,6655,3020
18,Tristana,4,1,False,12,9,6,268191,17957,17,238,3006,3046
59,JarvanIV,11,4,False,4,8,14,131435,12317,16,31,6630,3026
4,TwistedFate,4,12,True,10,4,19,202803,17299,18,236,3089,3135
81,Ezreal,4,7,True,7,6,18,172189,14511,16,204,3111,1053
48,Trundle,4,3,True,7,5,24,31399,11347,16,33,4005,3857
141,Kayn,11,4,True,8,9,9,228815,13488,17,52,1036,3142
39,Irelia,4,12,True,11,9,7,222826,16349,17,243,6630,6333
