champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
51,Caitlyn,7,4,True,3,3,1,145223,10260,13,226,1055,1038
12,Alistar,4,3,True,0,1,8,12677,5828,9,30,3860,3190
85,Kennen,4,12,True,4,2,3,87793,8992,14,166,2055,3152
7,Leblanc,14,4,True,5,2,6,111775,10505,15,204,1082,2033
64,LeeSin,4,11,True,10,1,4,155279,10547,13,10,6630,3047
126,Jayce,4,12,False,0,6,1,85409,6776,11,144,6692,3042
238,Zed,4,14,False,5,2,0,108365,9591,15,190,3111,3035
102,Shyvana,4,11,False,0,8,3,136313,8490,12,52,4629,0
412,Thresh,14,4,False,2,4,2,15128,5479,10,29,3857,2055
498,Xayah,7,4,False,2,2,3,114045,8594,12,208,6671,2031
92,Riven,4,12,True,6,5,8,137374,13465,16,200,6630,3026
76,Nidalee,4,11,True,9,6,10,197028,13692,17,20,3916,3020
350,Yuumi,7,14,True,2,2,23,15514,9709,15,3,3222,6617
517,Sylas,12,4,True,5,9,4,139263,11926,16,184,1082,4629
236,Lucian,3,4,True,8,3,12,225532,15572,15,257,6672,3026
34,Anivia,4,14,False,12,2,9,202386,14731,17,233,3020,6655
18,Tristana,4,7,False,4,6,6,179243,12277,15,218,3031,3046
223,TahmKench,4,12,False,1,6,6,88906,8920,14,170,0,8001
59,JarvanIV,4,11,False,7,8,11,147420,10712,14,31,2421,6630
111,Nautilus,14,4,False,1,8,10,19191,7016,12,26,3860,8001
64,LeeSin,4,11,True,7,2,6,104652,9164,12,24,3053,6630
134,Syndra,4,12,True,5,4,2,65980,7296,11,84,0,2420
147,Seraphine,12,4,True,3,2,10,92432,9159,11,165,3157,6653
516,Ornn,4,3,True,2,0,11,32576,6542,10,35,3190,3076
39,Irelia,4,12,True,10,0,1,162919,12837,15,216,3051,1057
119,Draven,4,7,False,0,7,1,54215,5615,10,110,1055,6673
517,Sylas,12,4,False,0,5,2,46825,5504,11,109,3158,6656
7,Leblanc,14,4,False,3,3,2,42780,6452,10,106,1026,2033
53,Blitzcrank,4,14,False,1,8,2,18135,4442,9,26,1029,3857
141,Kayn,4,11,False,4,5,3,117868,7937,12,50,3158,3134
134,Syndra,4,12,False,3,7,8,129335,10147,13,207,3158,1026
84,Akali,12,4,False,10,5,2,122956,12622,15,204,1082,3157
164,Camille,14,12,False,0,7,6,145949,9806,14,189,3748,3047
104,Graves,11,4,False,8,5,9,193347,12647,15,29,2055,3142
412,Thresh,14,4,False,1,7,14,21718,6824,12,33,3857,2055
267,Nami,14,4,True,4,0,21,21858,8919,13,10,3853,3916
58,Renekton,4,12,True,7,5,9,156165,13583,15,189,6630,3053
3,Galio,4,12,True,1,6,13,92986,8935,14,134,6656,3157
236,Lucian,4,7,True,6,6,11,178125,14015,15,210,3006,3508
141,Kayn,4,11,True,13,5,9,223239,15383,16,87,3814,3142
68,Rumble,11,4,True,15,5,11,178021,14110,16,17,4636,0
119,Draven,7,4,True,6,9,6,118762,11386,14,159,6673,6676
61,Orianna,4,12,True,4,4,14,103655,11419,15,178,2033,3157
114,Fiora,4,12,True,8,3,10,156749,15070,16,234,6630,3053
497,Rakan,4,14,True,2,2,24,20473,8533,14,37,3222,3860
13,Ryze,4,12,False,4,6,4,179372,11360,15,195,3040,6656
56,Nocturne,4,11,False,8,8,4,152949,12024,14,58,1057,3053
25,Morgana,4,14,False,1,8,14,31158,7823,12,21,4005,3853
164,Camille,14,12,False,4,7,5,96378,9617,14,174,6632,3748
22,Ashe,4,7,False,6,6,9,124453,10910,14,173,3124,3091
81,Ezreal,3,4,True,4,1,11,75557,9580,13,152,1055,6632
122,Darius,6,4,True,6,5,10,70024,9470,13,122,3047,6630
102,Shyvana,4,11,True,11,0,9,193325,14109,15,51,3115,2421
134,Syndra,12,4,True,4,6,2,102580,9539,13,158,2033,6655
875,Sett,4,14,True,4,3,11,33378,7180,11,32,3857,3190
126,Jayce,4,12,False,1,8,4,90375,7182,13,149,2422,2031
141,Kayn,4,11,False,8,4,2,109217,8800,12,24,3158,3142
245,Ekko,12,4,False,3,5,1,118712,9325,14,191,0,3152
350,Yuumi,3,14,False,2,8,6,13208,5356,9,6,3916,1052
236,Lucian,1,4,False,1,5,3,106607,7525,11,156,3006,3133
59,JarvanIV,4,11,True,4,3,9,146926,12662,15,67,2421,1031
412,Thresh,4,14,True,1,4,9,15606,7928,13,40,0,3190
147,Seraphine,4,12,True,2,5,9,184032,11801,16,240,6655,1058
164,Camille,14,12,True,9,5,7,198972,15052,17,225,3091,3053
115,Ziggs,12,4,True,4,2,8,211685,13368,16,257,4628,6653
81,Ezreal,4,12,False,7,4,5,266628,16421,17,282,3139,1038
76,Nidalee,4,11,False,4,3,8,225528,13663,17,55,3157,3135
58,Renekton,4,12,False,5,3,4,199308,15011,18,274,3026,6630
106,Volibear,12,4,False,2,7,5,125742,10421,16,159,3111,3053
89,Leona,4,14,False,1,3,8,22303,8447,14,34,8001,3190
350,Yuumi,14,3,True,2,1,24,6715,6731,11,5,3853,2055
91,Talon,4,14,True,15,1,4,120702,12415,13,176,3142,6693
76,Nidalee,11,4,True,10,0,10,142087,10556,14,37,3020,3157
238,Zed,12,4,True,1,6,7,77712,6874,11,132,3142,2031
85,Kennen,4,12,True,4,5,7,78643,7665,13,141,3152,4630
43,Karma,4,14,False,4,6,3,24242,6414,9,23,2055,2065
164,Camille,4,12,False,4,5,1,75490,8184,12,134,1054,3077
110,Varus,4,3,False,1,10,5,71153,6945,11,147,3070,3009
131,Diana,11,4,False,3,5,3,130596,8062,12,34,3152,0
157,Yasuo,4,3,False,1,7,1,75569,6404,11,147,6673,0
523,Aphelios,1,4,True,5,4,8,189700,12946,15,213,6673,3006
147,Seraphine,12,4,True,4,1,11,154352,12041,15,193,1056,6655
887,Gwen,14,12,True,4,4,9,152396,13081,16,210,4633,3157
64,LeeSin,11,4,True,9,4,13,181764,13759,16,59,6630,0
117,Lulu,4,7,True,2,2,17,14895,8718,13,13,3853,4643
22,Ashe,7,4,False,0,6,8,136108,10802,14,213,3091,3046
266,Aatrox,4,12,False,1,5,1,168314,10974,15,214,3075,6630
112,Viktor,4,12,False,5,5,2,214382,14402,16,287,6655,2055
68,Rumble,11,4,False,8,6,5,154364,11742,14,19,3020,3152
497,Rakan,4,14,False,1,2,10,15548,7385,11,21,3107,3853
115,Ziggs,4,12,True,11,7,12,179617,15297,16,198,3089,3157
33,Rammus,11,6,True,8,3,22,154473,14486,17,28,6664,3075
39,Irelia,14,4,True,17,11,6,210444,17324,17,215,3153,6673
412,Thresh,4,14,True,1,5,35,22595,10126,15,28,3857,3107
126,Jayce,4,12,True,8,9,9,192334,15229,17,201,3042,6694
22,Ashe,1,4,False,1,9,16,162234,12534,15,228,3006,6673
79,Gragas,4,12,False,7,6,13,162041,13015,15,154,1082,6655
64,LeeSin,4,11,False,15,11,7,159649,14504,15,55,3053,6630
53,Blitzcrank,14,4,False,4,11,13,21875,8749,12,30,3117,2065
114,Fiora,12,4,False,8,8,5,167152,13773,16,222,3053,3123
