champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
236,Lucian,4,7,False,5,4,8,184186,13539,15,217,3006,6671
421,RekSai,11,4,False,6,10,9,96101,9905,13,13,6693,3053
111,Nautilus,4,14,False,2,10,9,24812,7422,12,46,3860,3047
7,Leblanc,12,4,False,7,4,7,117509,11787,15,198,6655,1058
126,Jayce,4,12,False,3,6,4,158051,11615,16,226,3042,6694
201,Braum,4,14,True,2,5,21,25136,9447,14,24,8001,3047
62,MonkeyKing,4,12,True,6,6,5,101830,11884,15,178,2055,3053
104,Graves,11,4,True,6,5,11,228132,13368,16,54,6673,2420
81,Ezreal,4,3,True,11,5,9,171943,14788,16,203,6632,3042
61,Orianna,4,12,True,9,2,13,213846,15521,17,237,3089,3040
104,Graves,4,12,False,5,8,6,256701,15613,18,268,3031,2421
89,Leona,4,14,False,2,10,8,32624,8471,14,45,3860,3190
7,Leblanc,12,4,False,10,8,6,141425,14235,17,218,6655,3020
18,Tristana,4,1,False,12,9,6,268191,17957,17,238,3006,3046
59,JarvanIV,11,4,False,4,8,14,131435,12317,16,31,6630,3026
4,TwistedFate,4,12,True,10,4,19,202803,17299,18,236,3089,3135
81,Ezreal,4,7,True,7,6,18,172189,14511,16,204,3111,1053
48,Trundle,4,3,True,7,5,24,31399,11347,16,33,4005,3857
141,Kayn,11,4,True,8,9,9,228815,13488,17,52,1036,3142
39,Irelia,4,12,True,11,9,7,222826,16349,17,243,6630,6333
134,Syndra,12,4,True,4,4,7,101722,9066,13,145,3020,2033
421,RekSai,11,4,True,6,4,8,103915,8847,12,19,6693,3053
236,Lucian,4,7,True,17,3,7,152307,14427,13,196,1055,6672
350,Yuumi,14,3,True,1,3,24,11805,7358,12,3,3853,6656
126,Jayce,4,12,True,4,2,8,100415,10579,13,134,6692,3158
5,XinZhao,4,11,False,2,7,7,98461,7162,11,21,6630,2055
412,Thresh,14,4,False,2,10,8,13535,6245,10,28,2055,3190
61,Orianna,4,12,False,6,6,4,83989,8599,12,151,1056,3070
223,TahmKench,4,12,False,3,4,7,43212,6958,12,113,2031,6662
81,Ezreal,4,7,False,3,5,8,49577,7233,11,96,3042,3067
517,Sylas,12,4,False,2,1,6,95184,8769,14,186,3158,3157
39,Irelia,12,4,False,7,3,6,126766,11637,14,190,1037,6630
18,Tristana,4,7,False,2,5,0,93348,8406,11,180,1055,1018
89,Leona,14,4,False,1,5,9,19550,5934,10,31,3860,3190
421,RekSai,11,4,False,9,7,6,108537,10048,12,23,6693,6695
114,Fiora,12,14,True,6,6,4,144855,12621,15,195,6630,3181
121,Khazix,4,11,True,9,4,7,157438,12129,14,17,6630,3071
40,Janna,7,4,True,1,4,13,16878,7198,11,7,3158,2065
115,Ziggs,12,4,True,2,5,3,174426,10734,14,215,3040,3020
81,Ezreal,1,4,True,3,2,5,113330,10353,14,203,3042,2031
111,Nautilus,4,14,False,0,14,4,21158,5751,11,32,2055,3860
238,Zed,4,14,False,9,12,5,97894,11102,14,158,2031,6695
421,RekSai,11,4,False,3,11,11,147658,10322,14,37,6693,3814
30,Karthus,4,3,False,8,8,7,121855,11475,15,168,1056,6653
10,Kayle,4,12,False,9,5,9,157397,13495,16,186,3115,3006
432,Bard,4,3,True,3,7,26,27725,10316,15,18,3853,2055
5,XinZhao,4,11,True,12,8,17,131901,12984,15,21,6333,6630
119,Draven,4,7,True,9,4,11,174435,14791,16,209,6673,3142
266,Aatrox,4,12,True,10,9,12,124214,13325,16,131,3071,6630
163,Taliyah,14,4,True,16,1,19,170551,15097,17,169,3020,3157
111,Nautilus,4,14,False,4,6,9,20337,7139,11,36,3190,3860
59,JarvanIV,12,4,False,7,6,7,96818,10534,13,142,1038,2421
421,RekSai,11,4,False,5,3,10,124398,10581,13,41,6693,2055
360,Samira,4,7,False,5,6,9,117181,11765,14,182,3047,1055
10,Kayle,4,12,False,4,4,6,123339,10794,14,171,3115,6655
26,Zilean,12,4,True,0,3,9,77532,7401,13,148,3916,6656
18,Tristana,7,4,True,11,4,6,168037,15251,14,203,1055,3036
5,XinZhao,4,11,True,8,4,12,134043,11725,14,24,6630,3143
201,Braum,4,14,True,0,6,22,17719,6835,12,29,3857,2031
126,Jayce,4,12,True,6,8,6,106453,9851,13,163,1001,2031
202,Jhin,4,1,False,4,9,8,198424,12544,15,233,6676,6671
61,Orianna,4,12,False,8,6,7,201302,16005,17,246,3102,3135
421,RekSai,11,4,False,9,9,5,145266,12913,15,22,6693,3026
150,Gnar,4,12,False,1,8,10,130552,9939,15,151,3053,6632
163,Taliyah,14,4,False,11,8,9,64159,11518,13,41,3020,6656
85,Kennen,12,4,True,7,5,10,145532,13893,18,210,3089,3152
412,Thresh,4,14,True,1,12,10,26867,8625,13,52,3857,3190
523,Aphelios,4,7,True,8,5,9,244965,16586,17,248,6671,2055
76,Nidalee,4,11,True,15,4,11,213208,17103,16,32,3041,3020
80,Pantheon,4,14,True,9,7,5,114413,12656,16,142,6692,2421
157,Yasuo,14,4,True,3,5,10,98204,8940,13,141,1055,6673
498,Xayah,4,7,True,7,2,9,115003,11448,14,168,0,3006
85,Kennen,4,12,True,2,5,5,83616,9242,14,163,3020,3152
203,Kindred,4,11,True,16,2,8,166258,14465,15,39,6672,6695
497,Rakan,4,14,True,2,4,14,12665,7160,11,4,2065,3158
429,Kalista,4,7,False,1,6,3,63123,6841,11,156,1055,6673
421,RekSai,11,4,False,6,10,3,87730,7889,11,18,6693,3814
44,Taric,14,4,False,0,4,12,17588,5975,10,31,2055,3860
777,Yone,4,14,False,8,5,2,119500,10486,14,174,1055,3006
8,Vladimir,12,6,False,3,5,1,89907,9565,13,170,3152,3020
497,Rakan,4,14,False,0,6,5,16009,5235,9,34,2055,2065
81,Ezreal,4,1,False,1,3,2,101182,7585,12,168,3042,3158
517,Sylas,12,4,False,2,8,2,81517,8115,13,162,1056,6656
5,XinZhao,4,11,False,3,5,1,94112,7198,11,3,6630,0
34,Anivia,14,4,False,6,6,2,97104,9686,12,166,6656,3157
421,RekSai,11,4,True,10,4,3,137092,10508,13,12,6693,3814
25,Morgana,4,3,True,0,2,15,14864,7009,11,9,0,3157
58,Renekton,12,4,True,8,0,6,134218,12312,15,191,6630,3053
42,Corki,12,4,True,7,2,8,139726,12058,14,184,3042,1018
110,Varus,4,7,True,2,4,9,113006,9973,13,198,3042,6692
43,Karma,4,14,True,3,5,13,27287,8308,12,8,3853,2065
81,Ezreal,4,12,True,13,3,5,171750,14409,15,202,3042,3024
421,RekSai,11,4,True,5,3,11,148649,10167,14,26,6693,6695
80,Pantheon,4,14,True,6,5,1,137602,11516,15,199,2033,3158
7,Leblanc,12,4,True,2,4,3,82758,8840,14,175,2033,1082
104,Graves,11,4,False,5,4,6,139563,10376,13,38,1018,0
164,Camille,14,12,False,6,4,4,74817,10564,14,166,3047,6632
555,Pyke,4,14,False,4,6,5,14392,7127,10,39,3857,3179
115,Ziggs,4,12,False,2,8,7,102248,8822,12,159,6653,1056
42,Corki,4,12,False,3,7,2,101053,8480,12,162,3020,3042
