champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
18,Tristana,4,7,True,12,4,8,88829,10666,12,131,0,6671
48,Trundle,4,14,True,1,4,14,13114,5948,9,24,3855,2055
516,Ornn,4,12,True,1,1,7,63939,7542,12,127,8001,3047
157,Yasuo,14,4,True,7,1,4,105195,10751,13,153,1055,6673
131,Diana,4,11,True,10,2,6,143726,11050,13,32,3152,2055
19,Warwick,4,11,False,3,7,1,57950,5472,9,20,3047,3748
24,Jax,12,4,False,6,4,2,55784,9048,11,111,6632,3071
34,Anivia,4,14,False,2,6,3,59240,6669,11,132,2033,6656
432,Bard,14,4,False,0,8,7,9195,4481,9,8,2055,3853
202,Jhin,4,7,False,1,6,3,69873,6869,11,139,3009,6671
350,Yuumi,3,14,True,2,2,20,9334,7074,11,4,6617,3011
81,Ezreal,4,7,True,5,2,9,80397,8378,12,132,3042,2031
55,Katarina,12,14,True,18,3,2,89410,12171,12,113,3115,4633
141,Kayn,11,4,True,2,2,22,152790,9953,14,63,3142,6630
23,Tryndamere,6,4,True,7,1,6,134629,11232,14,185,6672,6675
111,Nautilus,14,4,False,2,8,5,25981,5029,9,25,3190,2031
145,Kaisa,4,7,False,0,5,1,61098,6403,9,135,6670,1036
164,Camille,14,12,False,0,6,6,39267,5157,10,90,6632,1036
875,Sett,6,4,False,1,8,3,55615,5633,11,113,1028,0
30,Karthus,4,11,False,7,7,2,115620,10391,11,57,6655,3020
89,Leona,4,14,False,2,5,2,13609,4870,8,29,3859,3047
81,Ezreal,4,7,False,2,4,2,54925,5667,9,103,3042,2031
34,Anivia,14,4,False,1,2,1,65637,6211,12,136,6656,3070
28,Evelynn,11,4,False,1,3,1,82946,5613,10,11,3020,3152
164,Camille,14,12,False,1,4,2,50388,6020,10,105,1055,2031
76,Nidalee,4,11,True,10,2,5,97230,8713,11,14,3157,4636
23,Tryndamere,6,4,True,3,0,8,75678,7997,11,114,3006,3133
777,Yone,4,12,True,2,2,6,82206,7145,12,137,6673,2055
22,Ashe,1,4,True,2,1,6,63774,8036,11,151,1055,3051
48,Trundle,14,4,True,1,2,12,21723,5272,9,33,3857,3190
497,Rakan,4,14,False,1,6,12,20280,7288,12,27,3860,3011
112,Viktor,4,12,False,8,5,8,218572,15680,17,289,3020,3157
48,Trundle,4,11,False,3,4,11,108662,9678,14,29,6632,3047
54,Malphite,12,14,False,2,8,7,136091,10140,15,195,3143,2055
134,Syndra,4,12,False,4,9,4,182813,12079,15,245,6653,3135
23,Tryndamere,6,4,True,7,3,8,260038,16552,18,256,3031,6672
236,Lucian,4,7,True,12,6,7,243055,17155,17,232,6672,3031
43,Karma,4,14,True,5,4,15,28699,10753,14,10,3111,3107
42,Corki,12,4,True,3,3,3,212080,12683,17,236,3042,3508
5,XinZhao,4,11,True,5,2,9,241666,13298,17,31,6630,0
202,Jhin,4,1,False,2,5,4,90376,7795,11,161,6671,3036
12,Alistar,14,4,False,1,4,8,20397,5714,9,34,3190,3860
157,Yasuo,12,4,False,3,5,3,112873,8781,13,160,1055,6673
777,Yone,12,4,False,6,5,3,133065,11658,13,207,1038,1037
427,Ivern,11,4,False,2,1,12,328626,8114,13,21,6617,3011
360,Samira,4,7,True,2,1,10,143319,11728,14,229,0,6673
39,Irelia,4,12,True,5,5,7,140679,10737,15,210,3153,3047
89,Leona,4,14,True,0,5,9,14800,5585,10,26,3047,2055
76,Nidalee,4,11,True,9,2,4,158235,11488,14,18,3020,3135
23,Tryndamere,6,4,True,4,1,5,105257,9984,15,185,6675,2055
164,Camille,6,4,True,6,4,7,36637,9209,13,45,3078,0
164,Camille,6,4,True,23,2,9,104050,18915,15,90,3078,6333
164,Camille,6,4,True,6,5,7,31409,9129,12,27,3078,3110
164,Camille,6,4,True,7,6,10,25832,8788,12,17,1055,3082
164,Camille,6,4,True,1,5,5,36401,7430,12,57,1055,3078
222,Jinx,4,12,False,7,7,2,44238,8822,11,43,1055,3033
222,Jinx,7,4,False,6,7,2,45317,9397,12,69,1055,2031
222,Jinx,4,3,False,2,8,5,35781,7578,10,36,1055,6671
222,Jinx,4,14,False,4,10,3,27426,7827,11,26,6672,3006
222,Jinx,4,7,False,3,11,4,14332,5985,10,7,1055,6672
134,Syndra,12,4,True,5,10,10,164685,12296,16,217,2055,3157
59,JarvanIV,4,11,True,10,7,20,145646,14304,16,25,3026,6630
23,Tryndamere,6,4,True,16,2,3,267784,19761,18,255,3031,6675
101,Xerath,4,21,True,4,11,13,55898,10182,13,52,4628,3853
18,Tristana,4,7,True,7,9,10,225266,15708,16,221,6672,3006
68,Rumble,11,4,False,8,8,10,163344,12201,15,24,1026,3152
238,Zed,14,4,False,14,8,6,183780,15526,17,236,3142,3814
119,Draven,4,3,False,10,6,6,206937,16044,16,230,2421,3031
41,Gangplank,4,12,False,2,8,4,178778,13164,16,225,3047,6632
555,Pyke,14,4,False,5,12,7,21806,9932,13,45,3179,6693
23,Tryndamere,6,4,True,16,2,7,222643,18078,18,262,3031,6675
59,JarvanIV,11,4,True,4,8,21,138737,10155,15,14,3067,3047
201,Braum,3,4,True,2,5,22,20095,7403,14,33,3190,2031
10,Kayle,12,4,True,0,6,14,132832,10537,15,204,4635,3157
81,Ezreal,7,4,True,10,5,4,142602,13454,15,203,6632,3042
26,Zilean,4,7,False,0,6,18,14512,7361,13,15,3853,2065
887,Gwen,6,11,False,8,6,7,207200,12788,15,35,3157,2055
104,Graves,4,12,False,3,8,2,166850,10699,15,219,6692,2031
238,Zed,14,4,False,15,6,2,147963,14158,16,200,3142,3814
147,Seraphine,4,12,False,0,6,11,116611,8881,14,191,6617,3011
79,Gragas,4,12,True,4,3,14,123797,12458,16,187,4629,6656
39,Irelia,14,4,True,6,8,16,141511,12199,15,195,2033,2420
497,Rakan,4,14,True,2,7,21,12154,8554,13,10,2065,3107
131,Diana,11,4,True,7,6,13,170718,11925,15,9,2055,3152
157,Yasuo,4,3,True,11,7,10,211536,15873,16,214,6673,3086
23,Tryndamere,6,4,False,6,4,3,177890,12695,16,229,3031,6675
7,Leblanc,14,4,False,5,6,12,95232,10605,15,164,2421,4629
81,Ezreal,4,3,False,6,6,10,127657,12073,14,209,3110,2421
12,Alistar,4,14,False,2,8,15,24787,7586,12,25,3860,2055
234,Viego,11,4,False,12,7,7,181852,13386,15,35,3111,6672
245,Ekko,12,4,True,5,11,8,222431,13940,17,228,3152,3165
91,Talon,4,14,True,15,2,10,304044,20812,18,289,3142,6630
48,Trundle,4,14,True,5,7,17,46939,10888,15,35,3857,8001
23,Tryndamere,6,4,True,14,8,5,290505,19141,18,255,3031,6675
427,Ivern,11,4,True,1,4,18,338512,11675,17,20,3222,1082
350,Yuumi,3,7,False,1,7,21,24326,9289,15,16,2065,3107
30,Karthus,4,3,False,5,15,8,233361,14295,17,231,6653,3157
127,Lissandra,4,12,False,4,4,16,275854,16264,18,290,3089,3158
62,MonkeyKing,14,12,False,3,7,9,170210,13679,17,244,1037,3053
64,LeeSin,11,4,False,19,7,4,215030,18071,17,56,6692,3053
