champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
145,Kaisa,4,7,True,6,3,7,201676,14584,16,260,3006,2421
266,Aatrox,12,4,True,6,2,8,128324,11984,15,167,1054,6630
54,Malphite,12,4,True,4,3,15,85856,11891,15,145,3143,3158
12,Alistar,4,14,True,2,6,12,22844,8207,12,31,3860,3001
76,Nidalee,11,4,True,14,2,9,179472,13576,15,35,3157,3152
126,Jayce,12,4,False,2,9,3,142872,9697,14,192,3035,6692
64,LeeSin,4,11,False,0,5,8,106247,7914,12,12,6630,3053
18,Tristana,4,7,False,8,6,3,214580,15008,14,240,2420,3036
61,Orianna,4,12,False,5,4,6,119370,10622,14,181,1056,3040
79,Gragas,14,4,False,1,8,8,22971,6653,11,27,2420,3860
28,Evelynn,4,11,True,8,2,2,119688,8423,12,19,3152,2055
36,DrMundo,4,21,True,5,1,6,88538,8695,10,158,6660,1029
236,Lucian,4,12,True,5,3,6,69516,7871,11,119,6694,3009
350,Yuumi,7,14,True,1,1,11,9742,5540,10,4,3853,2065
266,Aatrox,4,12,True,5,0,7,106678,9063,13,137,6630,3071
67,Vayne,3,4,False,0,7,1,37959,4918,9,116,6670,1053
101,Xerath,4,12,False,4,3,0,74240,7488,11,133,2031,6655
107,Rengar,14,12,False,1,2,1,36679,4976,9,86,1001,6630
497,Rakan,14,4,False,1,6,2,10351,4056,8,2,2055,4642
5,XinZhao,4,11,False,0,6,5,53923,4648,9,16,2422,6630
18,Tristana,3,4,False,1,7,3,71532,6574,10,141,6672,1036
497,Rakan,4,14,False,2,6,4,16519,5285,9,30,2065,2055
102,Shyvana,4,11,False,8,3,4,143559,10299,13,35,1058,3020
236,Lucian,4,12,False,3,5,7,74265,7950,12,142,1055,3508
126,Jayce,4,12,False,4,7,4,79551,8544,12,146,1036,1055
64,LeeSin,11,4,True,7,2,7,125490,9751,13,15,2420,2055
38,Kassadin,4,12,True,12,4,3,87636,10842,13,142,3047,1082
81,Ezreal,4,3,True,2,2,11,89469,8992,12,150,6632,3042
235,Senna,4,7,True,2,4,12,38164,7542,11,19,3009,6632
122,Darius,6,4,True,5,6,4,70959,7729,12,91,3047,6630
104,Graves,4,11,True,5,4,9,161605,11626,14,33,3142,6692
150,Gnar,4,12,True,2,3,6,80240,8756,14,140,1054,3133
412,Thresh,4,14,True,0,4,11,17882,6599,12,26,1057,2055
115,Ziggs,12,4,True,3,3,9,137177,10276,14,155,6653,3020
222,Jinx,1,4,True,8,2,7,145346,13735,14,216,6672,3072
64,LeeSin,4,11,False,5,3,6,134944,9631,13,37,2055,6630
4,TwistedFate,12,4,False,3,4,7,139060,11172,14,211,2033,6656
117,Lulu,4,14,False,1,3,12,17398,6022,11,15,2065,3853
22,Ashe,4,7,False,2,4,5,84812,8044,11,159,2031,1057
122,Darius,6,4,False,5,4,3,114478,9643,13,175,3111,6630
76,Nidalee,4,11,True,7,1,5,122073,9155,12,20,3157,0
96,KogMaw,4,12,True,6,1,8,99955,9450,13,161,3040,6653
164,Camille,14,12,True,4,1,1,74701,7413,12,142,6632,2031
201,Braum,3,4,True,2,2,13,17243,6711,10,27,0,3190
18,Tristana,3,4,True,4,4,5,92887,9844,12,144,3046,1038
91,Talon,14,4,False,2,2,5,91486,8086,12,148,1036,2031
122,Darius,6,4,False,0,4,0,88334,7238,12,170,3047,6630
63,Brand,4,14,False,3,8,5,31323,5907,8,17,3853,6653
234,Viego,4,11,False,3,4,2,101521,7889,10,5,3053,6632
119,Draven,4,3,False,1,5,4,88511,7384,11,166,3134,6673
114,Fiora,4,12,True,7,5,8,88294,11864,13,137,6630,1037
497,Rakan,4,14,True,2,8,27,14969,8590,13,29,3859,2055
81,Ezreal,4,3,True,5,3,2,102885,9654,14,175,1055,3508
203,Kindred,4,11,True,22,8,12,197340,17224,15,42,6672,3006
84,Akali,12,14,True,7,5,7,86693,10668,14,148,3152,3157
10,Kayle,4,12,False,4,10,7,108936,9628,14,146,2420,3006
63,Brand,4,14,False,6,12,12,48926,8735,11,26,3853,6653
