champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
164,Camille,12,4,False,3,7,2,85343,9012,13,176,3748,6632
360,Samira,4,3,False,3,8,3,80643,8417,12,147,2031,6673
3,Galio,4,14,False,2,8,7,19168,6134,10,32,3076,2055
54,Malphite,4,12,False,5,5,2,94287,9912,14,179,6662,3157
104,Graves,4,11,False,3,7,8,167601,10520,13,55,3006,6695
427,Ivern,11,4,True,1,4,23,300149,8062,13,21,2420,2031
246,Qiyana,4,14,True,9,5,7,89706,9982,13,132,3158,6693
22,Ashe,1,4,True,13,1,11,131486,13775,14,200,3124,6673
412,Thresh,4,3,True,2,2,22,18875,7212,12,25,1028,3860
92,Riven,12,14,True,10,4,6,141049,12944,15,173,3071,6630
350,Yuumi,3,14,False,1,5,4,5916,5115,10,0,6617,1082
234,Viego,11,4,False,3,4,2,120866,8381,12,44,3153,3134
268,Azir,4,12,False,2,5,1,103567,8308,13,184,1056,6653
517,Sylas,4,12,False,3,8,3,101774,9017,13,179,6656,2421
59,JarvanIV,12,4,False,3,5,4,93816,8122,12,148,2033,3053
64,LeeSin,12,4,True,8,3,9,150087,12815,15,204,3193,6630
51,Caitlyn,4,7,True,7,3,6,142519,11834,14,198,1055,6671
12,Alistar,4,14,True,1,0,18,17933,6810,12,24,3067,2055
427,Ivern,4,11,True,4,0,15,311925,9293,13,14,3011,6617
85,Kennen,4,12,True,7,6,5,81590,9645,14,132,3152,2421
235,Senna,4,7,True,8,5,14,163596,15018,16,217,3031,3036
238,Zed,14,4,True,16,3,6,202123,18087,18,219,3142,3814
104,Graves,11,4,True,8,4,9,257750,15436,17,71,3046,3006
223,TahmKench,4,14,True,0,7,18,28641,8952,15,41,3860,8001
85,Kennen,4,12,True,8,5,9,159130,13960,17,203,3152,3157
64,LeeSin,4,11,False,8,5,10,192347,14754,16,38,6333,6630
115,Ziggs,12,4,False,6,10,10,240952,14463,16,241,3157,3040
555,Pyke,14,4,False,4,14,6,27438,9682,12,47,3857,6695
23,Tryndamere,4,6,False,3,5,7,185019,12987,16,237,6675,3006
142,Zoe,4,14,False,3,6,7,129609,11492,15,202,4628,1052
81,Ezreal,4,7,False,2,3,0,101575,8465,12,203,3158,3078
43,Karma,4,14,False,0,5,2,16091,4883,10,13,2065,3853
76,Nidalee,11,4,False,0,3,2,131952,7174,12,33,2420,3152
142,Zoe,4,14,False,3,6,0,85583,7695,13,148,1082,3165
122,Darius,6,4,False,1,5,1,65699,5962,12,130,1054,6630
432,Bard,3,4,True,3,1,12,12690,7350,12,10,3190,3853
51,Caitlyn,4,7,True,0,2,4,117697,9418,13,185,1055,0
245,Ekko,11,4,True,13,0,4,178672,12574,15,25,3020,3152
39,Irelia,12,4,True,2,1,6,115657,10415,14,191,3091,3111
150,Gnar,4,12,True,4,2,3,135439,11591,14,191,3047,3742
555,Pyke,14,4,True,14,5,10,36848,15578,14,55,3855,6691
360,Samira,7,4,True,15,13,7,190190,15715,16,190,6673,6676
80,Pantheon,14,4,True,12,4,13,170399,15569,18,216,6692,2031
72,Skarner,4,11,True,9,3,16,150926,14271,16,43,6632,3047
85,Kennen,12,4,True,6,5,9,121285,10686,16,155,1056,4633
14,Sion,12,4,False,4,9,0,181828,11886,16,228,1033,3077
4,TwistedFate,4,12,False,4,9,6,87095,11375,15,142,3020,3094
234,Viego,11,4,False,6,9,4,154333,12083,14,13,6672,3153
43,Karma,4,14,False,5,15,13,24161,9461,13,17,2065,3853
498,Xayah,4,7,False,11,14,6,217151,16622,17,220,3046,3031
122,Darius,4,6,True,14,3,5,143692,13617,16,185,6333,3078
432,Bard,4,21,True,1,3,17,14198,7419,12,31,3190,3009
126,Jayce,14,4,True,7,2,8,139479,11042,15,170,1055,3042
64,LeeSin,11,4,True,15,3,4,148483,12126,14,12,3071,2031
81,Ezreal,4,7,True,3,4,16,92007,10092,13,124,1055,3042
498,Xayah,4,7,False,4,9,3,86925,9077,12,141,6671,2055
497,Rakan,4,14,False,3,7,6,10541,7113,10,10,3107,2055
99,Lux,4,21,False,3,5,3,107153,9187,13,179,3020,6655
32,Amumu,11,4,False,4,9,6,77613,7460,12,22,3068,3047
266,Aatrox,4,12,False,1,10,2,78646,7201,13,142,2055,6630
517,Sylas,12,4,False,5,9,6,201515,13980,18,220,6656,1052
13,Ryze,12,4,False,4,10,9,287138,14910,17,252,3916,3157
48,Trundle,4,11,False,12,4,9,171421,14705,16,38,3143,3075
111,Nautilus,4,14,False,4,5,14,27724,8727,14,36,3001,2055
202,Jhin,7,4,False,2,8,14,170551,12159,16,217,6671,3031
