champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
350,Yuumi,3,14,False,1,5,4,5916,5115,10,0,6617,1082
234,Viego,11,4,False,3,4,2,120866,8381,12,44,3153,3134
268,Azir,4,12,False,2,5,1,103567,8308,13,184,1056,6653
517,Sylas,4,12,False,3,8,3,101774,9017,13,179,6656,2421
59,JarvanIV,12,4,False,3,5,4,93816,8122,12,148,2033,3053
64,LeeSin,12,4,True,8,3,9,150087,12815,15,204,3193,6630
51,Caitlyn,4,7,True,7,3,6,142519,11834,14,198,1055,6671
12,Alistar,4,14,True,1,0,18,17933,6810,12,24,3067,2055
427,Ivern,4,11,True,4,0,15,311925,9293,13,14,3011,6617
85,Kennen,4,12,True,7,6,5,81590,9645,14,132,3152,2421
235,Senna,4,7,True,8,5,14,163596,15018,16,217,3031,3036
238,Zed,14,4,True,16,3,6,202123,18087,18,219,3142,3814
104,Graves,11,4,True,8,4,9,257750,15436,17,71,3046,3006
223,TahmKench,4,14,True,0,7,18,28641,8952,15,41,3860,8001
85,Kennen,4,12,True,8,5,9,159130,13960,17,203,3152,3157
64,LeeSin,4,11,False,8,5,10,192347,14754,16,38,6333,6630
115,Ziggs,12,4,False,6,10,10,240952,14463,16,241,3157,3040
555,Pyke,14,4,False,4,14,6,27438,9682,12,47,3857,6695
23,Tryndamere,4,6,False,3,5,7,185019,12987,16,237,6675,3006
142,Zoe,4,14,False,3,6,7,129609,11492,15,202,4628,1052
236,Lucian,4,7,False,11,6,9,178295,15141,16,219,3091,2055
58,Renekton,12,4,False,3,9,5,162250,11814,17,233,1054,3071
234,Viego,4,11,False,3,8,7,191592,11124,16,40,6632,2055
245,Ekko,12,14,False,9,5,4,221018,16202,17,251,3089,3152
412,Thresh,4,14,False,2,7,16,20273,9242,14,30,8001,3117
99,Lux,4,14,True,5,4,12,50344,10138,14,21,3853,4628
55,Katarina,12,14,True,10,7,9,164644,14242,16,203,2421,4630
17,Teemo,4,14,True,9,5,5,165710,14335,17,192,4637,3135
81,Ezreal,4,7,True,4,5,13,186561,13833,16,205,3158,3082
64,LeeSin,4,11,True,7,7,13,135981,14192,16,24,6630,3071
117,Lulu,4,7,True,2,1,6,19964,6845,12,29,3860,3504
96,KogMaw,21,4,True,2,1,3,119951,9764,12,197,3006,6673
13,Ryze,4,12,True,3,4,3,104743,9200,13,146,6656,2033
39,Irelia,4,12,True,13,1,5,180696,14794,16,204,1055,3091
104,Graves,11,4,True,7,2,6,165075,10930,15,23,3111,6692
1,Annie,4,14,False,1,8,3,71360,7016,11,147,1056,1001
43,Karma,12,4,False,1,5,3,71463,6810,12,150,3108,1052
76,Nidalee,11,4,False,5,4,2,120149,8814,12,46,2031,3152
126,Jayce,4,12,False,0,9,2,96404,7239,12,161,6692,3123
235,Senna,7,4,False,2,1,2,35678,6662,10,39,1001,3864
360,Samira,4,7,False,11,7,6,183226,15478,15,201,3111,2420
114,Fiora,4,12,False,3,11,7,128776,10162,15,185,6630,3044
13,Ryze,12,4,False,14,8,8,203605,14652,16,214,3157,3040
76,Nidalee,4,11,False,9,7,10,168498,12587,15,38,4636,3020
412,Thresh,4,14,False,2,5,19,23519,8639,15,35,3857,3190
1,Annie,4,14,True,13,8,7,147813,15304,17,203,3135,3157
238,Zed,4,11,True,7,7,11,186697,12935,17,46,2055,3142
14,Sion,12,4,True,6,9,7,198743,15424,17,231,3142,6694
432,Bard,4,14,True,2,7,24,27432,9438,15,19,3011,2055
110,Varus,4,7,True,10,8,8,154782,13051,16,191,3142,3042
131,Diana,11,4,True,8,2,5,144616,10339,14,39,3152,3157
432,Bard,4,14,True,1,7,17,14146,6458,11,16,3853,3190
777,Yone,4,12,True,11,1,3,138430,12537,14,170,6673,2055
22,Ashe,4,7,True,2,4,11,67580,7935,12,125,6673,0
114,Fiora,4,12,True,4,3,6,111395,11072,14,193,6630,3074
120,Hecarim,6,11,False,7,3,1,125773,9213,12,27,3053,0
13,Ryze,12,4,False,3,8,2,90385,7779,12,167,6656,2424
412,Thresh,4,14,False,1,5,8,13377,5797,9,27,3855,2055
222,Jinx,4,7,False,4,6,4,113454,10095,12,209,3006,6671
164,Camille,12,14,False,2,4,3,105130,8497,14,171,3077,3133
777,Yone,12,4,False,1,9,1,44711,5229,11,98,3006,6670
9,Fiddlesticks,3,4,False,3,1,3,13197,5693,10,18,3157,3851
13,Ryze,12,4,False,4,8,6,94226,8791,13,153,2031,3040
81,Ezreal,4,7,False,4,4,3,67779,8108,11,134,3042,3078
33,Rammus,11,6,False,1,2,4,84285,6402,11,55,6664,2031
114,Fiora,4,12,True,6,3,2,99065,10355,13,160,6630,3133
110,Varus,4,7,True,3,1,5,103113,9877,13,176,3142,3158
134,Syndra,12,4,True,4,2,4,115101,8612,13,171,1056,6655
555,Pyke,4,14,True,2,4,8,14422,5952,9,29,3855,3117
104,Graves,11,4,True,9,3,4,149672,10492,13,48,6692,3036
64,LeeSin,4,11,False,5,3,5,128279,9259,13,21,2055,6630
38,Kassadin,4,12,False,6,5,4,90618,9277,13,165,3111,3040
104,Graves,4,12,False,2,9,5,101615,8623,13,163,3036,3134
497,Rakan,14,4,False,0,5,11,17157,5720,10,28,2065,3860
119,Draven,4,3,False,4,5,4,141018,11246,13,218,1038,6673
18,Tristana,4,7,True,5,4,8,115720,10782,13,178,6672,3006
114,Fiora,12,4,True,14,3,5,153991,14995,16,207,3133,6630
13,Ryze,4,12,True,2,2,7,136645,10151,14,174,2421,6656
80,Pantheon,4,14,True,2,6,7,19843,6253,11,12,6692,0
76,Nidalee,4,11,True,4,2,6,149133,9616,13,17,4636,2055
104,Graves,4,12,False,1,9,2,91345,8695,12,154,2031,6692
412,Thresh,4,14,False,1,8,5,6275,4896,8,21,3855,3117
64,LeeSin,4,11,False,2,8,3,71258,6303,10,17,0,6630
238,Zed,14,4,False,3,7,1,94201,9764,13,172,3142,3158
115,Ziggs,12,4,False,8,5,3,109339,11283,13,167,3020,6655
72,Skarner,4,11,True,4,0,8,128747,8991,14,24,6664,3158
43,Karma,14,4,True,5,3,19,23027,8630,11,16,3157,3853
126,Jayce,12,4,True,11,3,8,160611,12701,14,183,0,3157
110,Varus,7,4,True,7,4,8,103221,10145,13,151,6691,3042
7,Leblanc,12,4,True,10,5,7,82919,10486,14,133,3020,2033
203,Kindred,11,4,False,6,8,8,165627,11774,14,41,6671,3033
81,Ezreal,4,1,False,3,6,7,146343,10611,14,224,2031,2055
39,Irelia,12,4,False,5,9,2,141538,11622,15,224,1031,2421
350,Yuumi,14,3,False,1,3,13,13547,7588,12,7,3916,4642
7,Leblanc,12,4,False,7,6,6,127773,11997,16,193,3089,0
523,Aphelios,4,7,True,9,3,7,192236,15241,16,181,2420,6673
127,Lissandra,12,4,True,3,7,11,143145,11827,17,199,0,3157
201,Braum,4,14,True,2,2,16,22124,8953,15,23,3857,3190
58,Renekton,4,12,True,13,3,5,206410,16463,18,232,6630,3193
121,Khazix,4,11,True,5,7,8,172176,11817,16,41,3047,3133
