champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
67,Vayne,4,7,True,13,9,7,286074,19175,18,274,3006,6673
75,Nasus,4,6,True,13,4,10,255832,17562,18,218,3193,6632
266,Aatrox,12,4,True,6,10,10,238355,16093,18,249,6630,3026
497,Rakan,4,14,True,2,11,31,27633,10952,16,34,3860,3050
76,Nidalee,4,11,True,16,8,16,199102,16993,18,56,1026,4636
81,Ezreal,3,4,False,6,14,16,186765,14309,16,193,3042,6632
101,Xerath,7,4,False,13,12,16,136361,15819,16,47,3853,6655
8,Vladimir,4,12,False,3,6,10,230730,14268,18,270,3152,3135
59,JarvanIV,4,11,False,10,6,20,157483,15088,17,50,3053,6630
14,Sion,12,4,False,10,12,7,333076,19662,18,291,3142,3181
75,Nasus,4,12,True,10,6,12,229444,16324,18,202,3075,6632
887,Gwen,14,12,True,7,8,7,247406,17711,18,262,4629,3157
432,Bard,4,14,True,2,4,22,51888,10655,16,64,3860,3190
81,Ezreal,4,1,True,6,5,14,192945,14222,17,206,3035,3110
64,LeeSin,11,4,True,10,4,13,189616,15653,17,48,3026,6630
4,TwistedFate,4,12,False,5,2,15,218082,17147,17,228,4629,6656
236,Lucian,4,7,False,6,7,6,271305,15762,17,286,3006,2420
164,Camille,4,12,False,10,7,5,241721,17373,18,259,3158,3181
76,Nidalee,4,11,False,5,8,11,205815,12935,16,32,3158,4636
89,Leona,14,4,False,1,12,8,32567,8579,12,49,3190,3860
75,Nasus,4,12,True,3,5,12,122886,11586,15,149,3193,3078
412,Thresh,14,4,True,3,5,15,22552,8519,13,44,3857,3107
76,Nidalee,4,11,True,10,2,9,220304,14733,16,54,2055,3157
80,Pantheon,4,14,True,6,5,7,134366,11530,14,174,2033,3047
236,Lucian,4,7,True,8,5,6,101890,11475,14,157,2422,3508
110,Varus,7,4,False,3,7,9,122392,10112,12,187,1055,6691
5,XinZhao,4,11,False,5,8,11,129297,10445,13,29,3047,3053
267,Nami,14,4,False,2,4,13,13663,7105,11,13,3011,4005
55,Katarina,4,14,False,6,6,7,124575,10581,14,180,0,3157
234,Viego,12,4,False,6,5,2,127609,10668,14,167,1038,1037
246,Qiyana,4,11,True,7,3,14,164142,12476,15,33,3158,6694
89,Leona,14,4,True,1,4,13,21480,7672,14,32,3190,3857
777,Yone,12,4,True,10,3,2,210593,14275,16,230,1055,2055
115,Ziggs,4,12,True,2,2,9,172438,10921,15,194,2055,4630
112,Viktor,4,12,True,15,4,8,193366,16733,16,192,3157,3100
68,Rumble,6,4,False,4,11,7,114286,10917,15,167,1058,0
360,Samira,4,7,False,3,5,5,120803,10667,14,222,1055,6676
201,Braum,4,14,False,3,7,8,20242,7073,12,31,2055,3860
141,Kayn,4,11,False,6,7,4,136008,11472,13,35,2420,3142
83,Yorick,4,12,False,0,5,4,119019,9034,14,203,1054,3078
36,DrMundo,4,14,False,3,6,0,49916,8072,12,62,1054,3047
36,DrMundo,4,12,False,1,5,1,39276,6689,11,64,3076,3068
36,DrMundo,4,12,False,2,8,1,25905,6636,11,39,6632,3076
36,DrMundo,12,4,False,2,11,2,19094,5857,10,25,3153,1036
36,DrMundo,4,12,False,1,9,1,23703,5433,10,20,3076,2031
56,Nocturne,4,14,True,4,3,6,72720,9469,13,52,3153,6029
56,Nocturne,4,12,True,8,3,10,55788,9948,12,39,3004,2031
56,Nocturne,4,12,True,4,0,8,45026,9113,13,59,6630,3111
56,Nocturne,4,14,True,10,1,8,62037,10867,13,32,1055,6631
56,Nocturne,14,4,True,13,2,5,68527,13530,14,64,3036,2031
234,Viego,3,4,True,2,5,9,63209,10465,16,67,1054,3047
234,Viego,11,4,True,10,5,8,211216,17496,18,83,6632,3047
234,Viego,4,14,True,12,7,9,133190,17081,18,117,3075,3153
234,Viego,4,14,True,8,4,12,101652,14864,17,100,6632,3072
234,Viego,14,4,True,10,2,8,142493,15677,18,67,6632,3143
157,Yasuo,4,14,False,7,7,3,148089,15257,16,124,3031,2420
157,Yasuo,4,12,False,1,10,7,62102,8746,15,57,6673,3033
157,Yasuo,4,12,False,5,9,6,120093,12902,17,110,6673,2420
157,Yasuo,6,14,False,8,8,6,145077,15686,17,107,6673,6333
157,Yasuo,4,14,False,2,8,13,98904,11262,16,67,6673,3046
7,Leblanc,4,14,True,5,5,7,129443,14762,18,99,6653,4637
7,Leblanc,7,4,True,17,4,9,274352,23464,18,128,3072,3139
7,Leblanc,4,14,True,13,14,7,77478,17781,18,48,6655,3089
7,Leblanc,3,4,True,8,6,15,83061,16273,18,52,3091,6673
7,Leblanc,4,14,True,11,9,5,116419,16632,18,104,3089,4629
876,Lillia,4,14,False,11,11,8,109756,17780,18,94,3040,4637
876,Lillia,4,14,False,5,8,7,149672,16634,18,120,3135,1058
876,Lillia,14,4,False,4,14,6,88511,13579,17,76,3065,3020
876,Lillia,4,14,False,8,9,9,129011,15932,18,86,3111,8001
876,Lillia,4,14,False,10,12,5,129889,17375,18,107,6653,3020
127,Lissandra,12,4,True,4,10,10,131940,14899,18,66,3040,6655
127,Lissandra,12,4,True,10,10,12,128635,19579,18,87,3135,6656
127,Lissandra,12,4,True,9,12,12,182515,20267,18,139,3157,6655
127,Lissandra,4,12,True,14,12,11,192213,22668,18,114,6653,3157
127,Lissandra,4,14,True,21,10,7,252799,26751,18,176,3102,6656
8,Vladimir,12,14,False,2,16,6,238556,16484,18,176,3089,3152
8,Vladimir,4,14,False,17,9,9,208361,23773,18,109,4629,3111
8,Vladimir,4,14,False,9,14,9,126732,17048,18,62,3157,3152
8,Vladimir,4,6,False,22,8,12,354402,28311,18,165,4629,3157
8,Vladimir,4,12,False,4,11,11,193921,16890,18,156,4629,3152
2,Olaf,4,14,True,7,7,7,61712,11963,15,49,3065,6632
2,Olaf,14,4,True,8,7,1,89307,13289,14,49,1055,3053
2,Olaf,6,12,True,3,4,6,73160,10254,15,76,3111,3748
2,Olaf,4,14,True,10,5,3,74648,13624,15,62,3111,3065
2,Olaf,4,14,True,9,3,8,141183,15587,17,105,1055,6630
32,Amumu,4,14,False,5,11,8,30047,9501,13,24,6656,2031
32,Amumu,4,14,False,4,6,10,39990,9115,13,35,2031,3076
32,Amumu,4,21,False,3,6,4,47943,8328,13,56,4633,1011
32,Amumu,4,12,False,8,8,7,54449,11541,14,48,3165,3020
32,Amumu,14,4,False,6,6,9,93068,12306,16,116,1056,1028
222,Jinx,14,4,False,0,3,0,7414,3936,8,10,3862,3006
222,Jinx,7,4,False,0,4,1,15491,4229,9,21,3047,6660
222,Jinx,7,4,False,0,4,0,14405,3773,8,32,1053,3006
222,Jinx,3,4,False,2,5,0,33741,5750,9,48,6691,2031
222,Jinx,7,4,False,0,4,1,11620,3654,8,24,6670,3006
64,LeeSin,7,4,True,2,0,2,22392,5878,10,23,6692,3047
64,LeeSin,4,14,True,5,0,2,31538,7255,10,37,3047,6692
64,LeeSin,4,14,True,3,0,1,54351,7724,11,50,1055,6630
64,LeeSin,4,14,True,8,0,1,30539,8988,11,39,3047,6692
64,LeeSin,14,4,True,2,2,6,21147,5773,10,18,1055,6692
