champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
76,Nidalee,4,11,False,17,5,4,299427,18217,18,62,4636,3157
412,Thresh,14,4,False,1,13,18,16927,9809,16,42,3190,3107
110,Varus,4,7,False,10,11,10,188302,16178,17,234,6692,3035
6,Urgot,4,12,False,10,5,8,209088,17953,18,239,3026,3748
69,Cassiopeia,4,3,False,5,9,5,240051,15157,18,290,3157,3040
236,Lucian,4,12,True,7,15,9,261336,17363,18,262,6671,3031
202,Jhin,7,4,True,16,5,12,268022,19661,18,244,6676,3094
126,Jayce,12,4,True,6,10,7,304706,18498,18,320,6694,3042
37,Sona,4,14,True,5,7,22,34326,12763,17,26,3853,2065
30,Karthus,11,4,True,9,7,17,273165,16737,18,54,4636,3157
238,Zed,4,14,True,9,1,8,119911,12568,15,197,3158,6691
110,Varus,7,4,True,9,4,11,121065,12495,14,189,3042,3133
412,Thresh,4,14,True,3,4,17,12341,7067,12,17,3855,3024
6,Urgot,4,12,True,6,1,7,133303,11811,15,195,3748,6692
102,Shyvana,4,11,True,4,2,12,171931,10443,14,23,0,4636
104,Graves,4,12,False,1,6,0,98226,8464,12,169,1055,2055
350,Yuumi,7,3,False,4,3,7,8428,6861,11,4,3853,3222
236,Lucian,4,1,False,2,5,3,106968,8058,12,170,3047,6671
777,Yone,4,3,False,1,9,3,99479,7417,12,139,1054,3006
887,Gwen,6,11,False,4,8,5,143566,9810,13,48,2421,3191
7,Leblanc,4,12,False,6,5,6,80516,9943,14,151,4629,4630
122,Darius,4,6,False,6,7,3,86592,10165,13,150,3053,6632
516,Ornn,4,14,False,1,9,10,25024,6210,10,40,0,1028
18,Tristana,4,1,False,2,8,6,108667,8748,13,165,2031,1037
102,Shyvana,4,11,False,8,4,7,208550,12748,16,55,4636,3135
101,Xerath,12,4,True,5,3,7,151143,10690,15,184,1056,3040
523,Aphelios,7,4,True,16,5,7,221714,17659,16,234,0,3091
59,JarvanIV,4,11,True,2,2,17,130705,10135,14,22,2420,3111
412,Thresh,4,14,True,5,5,18,15800,9135,12,34,3158,2055
