champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
245,Ekko,32,4,False,9,12,21,65625,12020,16,36,3020,3100
51,Caitlyn,4,21,False,5,8,19,73761,12204,16,65,6672,3006
53,Blitzcrank,4,32,False,4,14,14,29740,10447,15,14,6656,3111
55,Katarina,4,32,False,14,10,16,83356,13651,17,50,3152,3157
91,Talon,32,4,False,6,10,19,41435,11647,16,23,6630,3053
141,Kayn,4,32,True,12,8,27,64358,13466,18,31,3065,6630
427,Ivern,3,4,True,2,7,34,14349,10768,17,2,6617,3158
90,Malzahar,21,4,True,10,8,24,45185,12813,17,35,6653,3020
86,Garen,4,32,True,17,8,25,88001,14429,18,58,3009,3065
45,Veigar,13,4,True,13,7,20,77035,13419,17,70,6655,3020
72,Skarner,4,32,False,6,14,36,51936,17057,18,13,6632,3111
68,Rumble,4,32,False,13,16,23,78000,18095,18,32,3020,3157
30,Karthus,4,32,False,18,18,27,108943,20256,18,64,6655,3157
41,Gangplank,32,4,False,23,12,22,292029,23830,18,141,3042,3078
110,Varus,7,4,False,12,11,31,148823,19486,18,103,3158,6691
74,Heimerdinger,4,3,True,9,12,31,146063,20240,18,101,6653,3157
105,Fizz,32,4,True,13,16,23,87119,18289,18,40,3020,6655
42,Corki,4,32,True,16,12,28,228097,22124,18,167,6673,3042
78,Poppy,4,32,True,13,16,30,56992,18204,18,7,3111,3068
238,Zed,32,4,True,20,16,18,130111,20605,18,88,6692,3142
412,Thresh,4,14,False,1,10,12,16924,7687,13,30,3067,2065
119,Draven,7,4,False,11,5,5,252970,17608,15,253,6673,6676
64,LeeSin,4,11,False,7,9,8,124347,11152,14,39,6630,3047
61,Orianna,12,4,False,2,4,6,139814,10704,16,211,3157,3040
126,Jayce,4,12,False,3,11,6,141658,11489,15,197,6692,2031
121,Khazix,4,11,True,9,7,10,143192,13040,14,21,3133,6609
164,Camille,4,12,True,7,2,13,173533,15607,17,207,6333,3078
51,Caitlyn,4,7,True,6,8,10,182534,13529,16,229,1018,6676
34,Anivia,4,6,True,11,3,12,174243,14530,17,223,3020,6655
43,Karma,14,4,True,6,4,16,22572,9671,14,19,0,2065
18,Tristana,7,4,True,10,4,8,204878,15437,17,230,6672,3140
121,Khazix,4,11,True,9,8,13,181068,14185,16,18,0,6691
164,Camille,4,12,True,1,4,15,128410,12030,17,202,6632,3026
13,Ryze,4,12,True,8,6,10,319101,17440,18,289,6656,3157
497,Rakan,4,14,True,3,5,23,20835,10235,14,47,3860,3222
234,Viego,11,4,False,10,5,13,202922,14826,17,53,3047,3026
85,Kennen,4,12,False,7,5,7,192812,14715,17,252,3157,3152
81,Ezreal,4,7,False,6,4,9,170385,13208,16,233,3110,3158
412,Thresh,4,14,False,0,9,20,18904,7441,13,26,3190,3107
4,TwistedFate,12,4,False,4,8,13,144640,12221,15,187,2033,6656
79,Gragas,14,4,False,4,12,4,74284,10509,14,65,3111,6656
79,Gragas,12,4,False,3,9,5,110162,11353,16,91,3111,6656
