champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
107,Rengar,4,14,True,6,6,7,150673,12343,16,168,6676,3158
523,Aphelios,7,4,True,19,6,10,181576,17223,15,175,1055,6673
268,Azir,4,12,True,7,3,15,152909,12066,16,193,3115,1058
412,Thresh,14,4,True,1,9,17,15501,7630,13,29,2065,3860
234,Viego,4,11,True,6,8,14,108170,11099,15,30,6632,3044
3,Galio,12,4,False,6,8,9,112718,10877,15,164,3157,3152
21,MissFortune,4,7,False,19,8,8,248079,19170,16,228,3508,6672
875,Sett,4,12,False,1,8,6,67491,8248,14,112,3053,6630
201,Braum,4,14,False,1,8,18,16016,7873,13,31,3860,3047
48,Trundle,11,4,False,5,7,13,102681,10769,14,28,3047,6632
35,Shaco,11,14,False,5,11,7,154942,17354,18,113,3113,6653
35,Shaco,4,14,False,2,13,10,70153,13233,18,75,1055,6653
35,Shaco,3,14,False,23,11,6,124163,25421,18,83,3142,3031
35,Shaco,4,14,False,13,12,7,110437,19507,18,95,3040,3157
35,Shaco,4,14,False,3,9,4,161809,15981,18,91,3165,3100
63,Brand,4,14,True,11,11,8,185282,21076,18,98,6655,4628
63,Brand,4,14,True,17,10,8,193776,21653,18,105,6653,3157
63,Brand,4,12,True,8,11,11,179412,19009,18,125,6653,3157
63,Brand,12,4,True,12,7,12,232221,23383,18,178,3089,6653
63,Brand,4,12,True,8,7,12,174194,18749,18,84,3089,6653
202,Jhin,3,4,False,13,11,3,256692,23564,18,179,6691,3094
202,Jhin,4,6,False,13,11,8,222477,21204,18,161,6333,6671
202,Jhin,4,12,False,2,11,7,137710,13989,18,110,6676,6671
202,Jhin,12,4,False,4,8,7,153463,15070,18,98,1036,3009
202,Jhin,4,12,False,7,11,7,89852,17153,18,55,3094,3026
145,Kaisa,7,4,True,11,6,6,274046,20985,18,201,6672,6676
145,Kaisa,4,3,True,3,8,12,89474,13375,18,65,6655,1082
145,Kaisa,4,14,True,6,7,7,155547,15974,18,104,6656,3042
145,Kaisa,4,14,True,17,6,6,225310,24378,18,124,3115,6671
145,Kaisa,4,21,True,15,12,6,244730,22082,18,176,6676,6671
266,Aatrox,4,14,False,2,7,0,30397,6641,12,43,3111,6631
266,Aatrox,4,14,False,2,4,0,43999,6369,11,31,6630,1055
266,Aatrox,14,4,False,0,5,2,10323,4647,9,15,6029,1001
266,Aatrox,14,4,False,1,8,2,33234,6374,11,48,6630,3111
266,Aatrox,4,12,False,2,10,0,29624,7209,11,31,1054,6630
163,Taliyah,4,14,True,13,1,9,55550,11915,13,55,1058,3041
163,Taliyah,4,3,True,4,3,8,38618,9248,13,42,3851,6656
163,Taliyah,12,4,True,6,1,10,44952,10330,13,51,6655,3157
163,Taliyah,4,14,True,5,2,13,30473,9163,13,29,1056,3020
163,Taliyah,4,14,True,6,0,6,63144,9599,13,81,6655,3020
69,Cassiopeia,4,32,True,7,7,21,63261,12512,17,66,3070,6653
119,Draven,4,3,True,14,8,16,73785,14661,17,68,6673,3508
16,Soraka,4,3,True,1,6,38,14783,11235,18,9,3111,3083
55,Katarina,4,21,True,23,9,20,71137,15986,17,29,3111,3153
104,Graves,4,3,True,6,9,24,57724,11786,17,49,6671,2031
82,Mordekaiser,4,32,False,4,10,12,48342,11220,16,40,3152,3111
32,Amumu,4,3,False,3,11,19,22931,10484,15,8,2051,3047
203,Kindred,4,21,False,9,11,19,87600,12419,15,67,3184,3085
103,Ahri,4,21,False,14,11,15,55204,13322,17,45,6655,3157
81,Ezreal,21,4,False,7,8,15,55292,12398,16,36,6632,3042
117,Lulu,21,4,False,3,11,27,16172,11706,17,14,6617,3040
85,Kennen,32,4,False,19,18,13,95579,16017,18,51,3157,3102
54,Malphite,4,32,False,5,11,18,70256,13378,18,56,3111,3193
7,Leblanc,4,32,False,13,14,17,68251,14425,18,39,3157,3089
107,Rengar,32,4,False,12,16,13,73424,13829,17,46,6691,3814
142,Zoe,4,13,True,6,14,23,45930,12139,18,27,6655,3089
350,Yuumi,3,7,True,10,5,51,24152,15257,18,3,3112,6617
119,Draven,4,21,True,20,12,20,101825,17267,18,82,6676,3508
25,Morgana,32,4,True,6,12,35,42194,12893,18,33,6653,3157
31,Chogath,32,4,True,28,9,24,98312,17979,18,57,6662,3040
104,Graves,11,4,False,6,11,5,171940,12179,15,69,6692,3095
41,Gangplank,4,12,False,5,7,6,163562,12365,15,187,3508,6693
166,Akshan,4,7,False,11,10,7,139651,14605,15,155,2420,2055
15,Sivir,7,4,False,3,12,10,148721,9989,14,186,3042,6691
267,Nami,14,4,False,3,10,16,21911,8071,13,15,3158,4005
81,Ezreal,4,7,True,13,9,14,171718,15113,16,161,3158,3042
875,Sett,4,12,True,3,6,4,115290,10646,16,165,3047,6631
37,Sona,4,14,True,6,7,23,34328,11695,16,18,3853,6655
7,Leblanc,4,14,True,14,3,6,128411,13999,17,164,3089,6655
77,Udyr,11,4,True,14,3,8,208807,15836,18,40,3143,6664
81,Ezreal,7,4,False,2,4,0,31232,5615,9,106,2003,6632
72,Skarner,11,4,False,1,1,3,68114,5284,9,1,3158,6664
238,Zed,14,4,False,0,2,5,31286,4785,10,79,3142,3158
58,Renekton,4,12,False,5,2,1,88939,8027,12,164,1055,6630
147,Seraphine,4,14,False,0,4,2,10957,3824,8,11,3851,3158
55,Katarina,12,14,True,2,1,1,64021,6430,11,112,3115,3020
523,Aphelios,4,7,True,6,0,4,106602,9436,10,151,6673,3140
875,Sett,4,12,True,3,2,1,52963,7422,11,108,1054,6630
350,Yuumi,3,14,True,0,0,10,6793,5702,9,1,3853,2003
28,Evelynn,11,4,True,2,5,2,72776,5677,10,2,4636,2031
90,Malzahar,4,12,False,2,6,5,96003,7655,13,154,1056,6653
68,Rumble,4,11,False,6,5,4,93919,8745,12,18,3020,3157
63,Brand,4,14,False,3,6,9,55657,7350,12,102,6653,1056
432,Bard,4,3,False,2,12,11,11822,6373,11,16,3859,3190
875,Sett,12,4,False,8,7,4,104615,9457,14,154,3071,3111
14,Sion,4,12,True,5,5,3,118978,9570,15,160,6693,2033
38,Kassadin,4,12,True,4,4,2,94299,9193,13,148,6655,3057
360,Samira,4,7,True,19,6,7,140610,15146,14,175,3031,3140
89,Leona,4,14,True,1,4,19,17463,7151,13,32,3860,2055
35,Shaco,3,11,True,7,2,5,111793,9137,13,25,6693,3508
157,Yasuo,4,12,False,1,10,4,66499,6247,9,114,1054,1055
497,Rakan,4,14,False,1,7,5,11166,4702,9,20,3859,1001
1,Annie,4,14,False,2,6,1,45154,6042,11,103,1056,3152
35,Shaco,11,14,False,6,2,4,103018,8309,12,15,6653,2031
11,MasterYi,14,4,False,1,5,1,55359,6006,12,129,3047,1055
236,Lucian,14,4,True,10,3,7,99387,10277,12,157,3508,0
32,Amumu,4,11,True,1,1,8,90387,6974,12,13,3068,2031
42,Corki,12,4,True,6,2,6,98719,9625,13,160,3508,3042
267,Nami,3,4,True,6,2,14,14902,7772,11,10,3853,3011
114,Fiora,4,12,True,7,3,5,66398,9225,13,160,2031,0
