champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
17,Teemo,6,4,False,9,12,18,49526,11921,16,27,1058,3135
127,Lissandra,32,4,False,2,13,26,68806,10645,16,58,6655,3157
61,Orianna,3,4,False,12,8,20,75454,12862,17,51,3112,3040
50,Swain,4,32,False,4,11,22,43486,10025,16,24,3157,3165
80,Pantheon,32,4,False,14,12,15,49397,12790,16,40,3184,6692
81,Ezreal,3,4,True,7,8,32,73381,12910,16,55,1037,3042
64,LeeSin,32,4,True,14,9,31,36381,13349,17,19,6630,3053
360,Samira,1,4,True,20,7,17,72243,14734,17,68,6673,3072
104,Graves,1,4,True,14,7,19,68004,13122,17,54,3184,6691
23,Tryndamere,4,32,True,1,10,34,24710,10372,17,26,2051,3111
86,Garen,32,4,False,10,9,32,69408,15322,18,49,3193,6662
28,Evelynn,4,14,False,12,12,23,52178,14827,18,24,0,3100
133,Quinn,4,1,False,8,15,37,90441,15392,18,78,3095,3006
266,Aatrox,32,4,False,18,11,32,97168,18543,18,54,3071,6630
238,Zed,4,32,False,24,12,26,97419,18716,18,54,3142,6691
21,MissFortune,6,4,True,18,16,21,151560,19434,18,103,3031,6693
127,Lissandra,32,4,True,6,18,34,91881,14514,18,41,3157,0
360,Samira,1,4,True,20,17,19,107332,18233,18,62,3031,6673
58,Renekton,32,6,True,5,11,29,82828,14598,18,60,6662,3083
8,Vladimir,4,6,True,10,10,23,95286,16506,18,49,3157,1058
41,Gangplank,6,4,True,20,8,26,116495,16451,18,56,3508,3134
245,Ekko,32,4,True,11,8,28,49510,12702,18,24,3152,1058
266,Aatrox,32,4,True,7,8,39,52110,12946,18,28,3053,6630
122,Darius,6,4,True,13,9,22,43721,13642,17,30,8001,6630
222,Jinx,4,6,True,10,8,31,67473,13816,17,62,6672,3046
157,Yasuo,4,1,False,7,14,8,46848,11851,16,38,6673,3033
113,Sejuani,32,4,False,6,12,22,49342,12079,17,29,3068,3047
81,Ezreal,7,4,False,11,11,13,69307,13300,16,39,3123,3082
64,LeeSin,4,32,False,12,13,14,72273,13017,18,43,3053,3047
28,Evelynn,32,4,False,4,11,11,41768,11388,16,39,3157,6655
101,Xerath,6,4,True,14,5,23,60638,13881,18,17,1052,1058
131,Diana,32,4,True,7,9,27,44789,12122,18,31,3157,4636
55,Katarina,32,4,True,28,8,16,97594,16925,18,56,6632,3748
