champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
412,Thresh,3,4,True,2,4,19,19188,8936,14,44,2065,3857
164,Camille,12,4,True,7,3,5,145939,12524,16,198,2421,3044
517,Sylas,4,12,True,6,6,9,137035,13054,16,185,6656,3157
56,Nocturne,11,4,True,5,6,13,179986,12181,16,50,3026,0
523,Aphelios,7,4,True,9,5,9,225682,16700,16,265,3006,6676
85,Kennen,12,4,False,2,7,4,123572,10109,15,189,3152,3191
234,Viego,4,11,False,7,6,6,156318,12701,15,32,3153,2055
110,Varus,4,7,False,2,7,5,147948,11523,14,237,3142,3042
48,Trundle,4,14,False,2,4,7,20325,7714,13,44,3857,3190
18,Tristana,4,14,False,11,5,4,198212,17044,17,225,6671,3047
110,Varus,4,7,True,9,9,12,106559,12109,14,142,3142,3042
777,Yone,4,12,True,6,0,3,179514,12815,16,246,1054,0
104,Graves,11,4,True,10,3,9,201107,13929,15,40,3142,6695
85,Kennen,12,4,True,3,0,10,120241,11431,15,188,3152,3165
98,Shen,14,4,True,3,6,12,15663,7176,11,30,3190,3857
245,Ekko,4,12,False,0,3,2,127690,8217,14,178,2033,1029
875,Sett,12,4,False,2,3,1,110238,9136,14,209,1055,6630
5,XinZhao,11,4,False,4,10,5,54357,7100,11,20,0,0
203,Kindred,1,4,False,6,7,8,124901,10851,11,148,3091,6673
32,Amumu,14,4,False,6,8,8,29734,7982,10,50,3860,3110
2,Olaf,11,6,True,7,2,12,141270,11062,14,21,1031,6630
497,Rakan,14,4,True,1,3,23,17686,8081,12,37,3157,3860
81,Ezreal,7,4,True,8,2,8,157937,12130,14,215,1055,3133
517,Sylas,4,12,True,14,4,7,142704,14548,15,165,6656,3157
126,Jayce,12,4,True,4,6,10,142329,11373,15,209,6692,2422
164,Camille,12,4,False,10,3,2,150195,15087,16,205,3074,6632
58,Renekton,12,4,False,4,10,4,126017,10409,13,172,2055,3053
245,Ekko,11,4,False,1,4,7,163403,9219,14,57,4636,2055
22,Ashe,7,4,False,1,7,3,100095,8795,13,206,0,1036
89,Leona,14,4,False,1,10,7,21626,6355,11,27,2055,3857
412,Thresh,14,4,True,3,1,9,12977,5620,10,21,3855,3190
85,Kennen,12,4,True,0,2,1,60400,6259,11,145,3152,3108
246,Qiyana,4,14,True,1,3,3,44069,5484,10,102,2031,6693
59,JarvanIV,11,4,True,4,0,6,74963,6886,10,19,6630,2031
523,Aphelios,7,4,True,9,2,2,86119,10282,11,148,3006,6676
12,Alistar,3,4,False,0,6,2,8397,3387,7,20,2031,3859
81,Ezreal,4,7,False,1,3,2,43748,5011,10,114,3078,2055
80,Pantheon,4,12,False,1,4,4,41582,5377,10,107,2033,2010
76,Nidalee,11,4,False,5,2,1,73705,7029,10,11,4636,2031
516,Ornn,12,4,False,1,2,1,34135,4969,10,105,1054,2031
48,Trundle,12,4,False,4,2,2,89262,9727,13,168,3076,3143
56,Nocturne,11,4,False,4,8,2,113281,8675,12,17,6631,3053
117,Lulu,14,4,False,0,6,8,20205,5537,11,9,2065,2031
96,KogMaw,1,4,False,1,10,4,103683,8100,11,176,6673,3046
134,Syndra,12,4,False,1,7,4,94998,7695,13,161,6655,0
164,Camille,12,4,True,8,3,6,57629,9334,13,100,2055,6632
166,Akshan,14,4,True,9,4,9,113578,11095,14,157,1055,3091
76,Nidalee,11,4,True,11,0,11,162355,12780,15,30,0,3100
22,Ashe,7,4,True,4,2,14,112752,11450,13,208,2421,6673
201,Braum,3,4,True,1,1,23,28548,7711,13,37,3857,2055
497,Rakan,4,14,True,2,1,10,13408,5597,10,27,3860,2065
24,Jax,12,4,True,4,1,4,109576,9956,13,157,3153,3078
64,LeeSin,4,11,True,5,0,9,98351,8147,11,7,2031,6630
7,Leblanc,14,4,True,5,4,3,70860,7685,12,141,6655,2033
145,Kaisa,4,1,True,4,0,6,93049,9092,11,171,2055,6671
98,Shen,12,4,False,0,4,1,42525,5490,11,142,0,2421
81,Ezreal,7,4,False,1,0,2,57351,6546,10,157,1055,3133
89,Leona,14,4,False,0,4,2,15333,4252,8,34,2031,3860
234,Viego,11,4,False,2,5,1,82180,5967,10,14,2031,2055
142,Zoe,14,4,False,3,7,2,64749,6440,11,133,2033,1082
202,Jhin,4,7,True,1,4,6,147748,10523,14,228,6671,3077
