champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
245,Ekko,4,11,True,9,7,14,208564,14882,17,83,3152,3165
875,Sett,12,4,True,9,11,3,138483,13367,16,167,3053,3051
497,Rakan,4,14,True,4,6,26,25948,10657,15,36,4643,2065
126,Jayce,4,12,True,9,7,13,189742,14780,16,193,3142,3133
523,Aphelios,7,4,True,15,11,11,213424,17094,16,184,6671,3036
58,Renekton,12,4,False,4,11,8,129567,11140,16,165,6333,6630
76,Nidalee,11,4,False,13,8,15,165225,14562,16,53,4636,3157
39,Irelia,12,4,False,14,10,12,194415,16428,17,214,3053,6630
115,Ziggs,4,12,False,11,8,11,272129,16934,18,264,6653,3157
201,Braum,3,4,False,0,9,18,18348,7930,14,35,3857,2055
110,Varus,4,1,False,4,9,1,121477,11140,13,202,3142,2055
133,Quinn,14,4,False,5,8,4,115810,10541,14,163,3095,2031
245,Ekko,4,11,False,2,8,3,120858,7643,12,40,3152,3100
7,Leblanc,14,4,False,3,5,4,75626,8927,13,153,2033,6656
89,Leona,3,4,False,1,6,5,16973,5916,9,35,3860,3190
526,Rell,14,4,True,2,1,13,19142,7216,12,39,3857,3190
81,Ezreal,7,4,True,13,3,7,154322,13927,15,187,3158,3110
517,Sylas,12,4,True,7,4,6,109072,11126,15,193,1056,4629
234,Viego,11,4,True,9,3,8,154073,11334,14,27,3053,0
85,Kennen,12,4,True,5,4,11,137279,11869,15,195,3135,3152
115,Ziggs,12,4,False,6,2,5,210696,12447,15,233,2420,6653
43,Karma,12,4,False,0,4,5,92096,9533,14,190,2065,3222
497,Rakan,3,4,False,1,3,12,14167,8144,11,16,3853,3190
236,Lucian,12,4,False,4,5,5,216643,12920,16,256,0,2421
64,LeeSin,4,11,False,6,2,6,165926,11465,14,30,6630,2420
523,Aphelios,7,4,True,1,9,3,152339,11312,14,239,6673,6676
104,Graves,4,11,True,4,0,6,291936,14279,17,113,3142,6695
142,Zoe,14,4,True,2,1,5,113327,10661,15,196,3165,0
85,Kennen,12,4,True,8,4,4,227290,15625,18,295,3102,3152
201,Braum,3,4,True,1,3,10,21617,7977,14,51,3857,0
64,LeeSin,4,11,True,9,3,7,188611,13287,16,55,0,6630
523,Aphelios,1,4,True,6,5,5,179256,13578,14,206,6673,0
84,Akali,12,4,True,9,6,2,99287,11320,15,171,1026,3152
44,Taric,4,3,True,2,5,13,31752,8943,13,36,3860,3110
114,Fiora,12,4,True,9,7,0,107852,12514,16,155,6630,2421
22,Ashe,7,4,False,3,7,10,107496,10215,13,186,6673,3124
85,Kennen,12,4,False,9,9,3,150556,12335,16,204,3102,3152
89,Leona,14,4,False,1,5,12,17546,6323,11,33,3857,3190
134,Syndra,12,4,False,1,10,6,105705,7887,13,146,6655,1026
234,Viego,11,4,False,12,4,5,118400,11941,13,28,6632,3153
91,Talon,14,4,True,4,2,10,119201,10823,15,198,6693,3142
115,Ziggs,12,4,True,6,2,8,161734,11807,15,199,4628,3165
76,Nidalee,11,4,True,14,3,5,149527,12722,15,21,4636,3157
555,Pyke,4,14,True,3,4,8,20189,7398,11,31,3857,3117
126,Jayce,12,4,True,4,5,14,141170,11838,15,160,6692,3134
497,Rakan,4,14,False,1,5,8,17153,5974,11,31,3860,2065
62,MonkeyKing,4,12,False,4,7,2,71498,8038,13,152,6632,1037
110,Varus,7,4,False,2,7,3,105031,8325,13,198,6676,0
13,Ryze,4,12,False,3,6,0,137346,8799,13,177,6656,1052
154,Zac,11,4,False,6,6,6,91301,9632,13,38,3158,6662
76,Nidalee,11,4,False,6,7,6,82018,7301,11,6,2055,3158
3,Galio,14,4,False,2,9,12,26756,5929,10,29,3859,2065
875,Sett,14,4,False,6,5,4,88704,9287,13,148,3047,6630
68,Rumble,12,4,False,3,5,5,60235,6615,11,111,1056,4636
523,Aphelios,1,4,False,10,8,4,94178,11445,12,166,0,6676
104,Graves,11,4,True,10,1,8,191438,13236,15,71,6692,3142
24,Jax,12,4,True,5,4,5,83217,10019,12,133,3153,3078
89,Leona,14,4,True,2,8,22,15467,7450,12,24,3855,3117
69,Cassiopeia,4,7,True,15,7,4,99226,13718,13,152,3070,4629
157,Yasuo,12,4,True,1,7,7,104181,8328,13,139,0,0
13,Ryze,12,4,True,6,2,3,133030,12073,15,207,3040,6656
2,Olaf,11,6,True,2,4,8,106517,8522,13,27,2055,2420
114,Fiora,12,4,True,11,3,6,101018,11922,14,146,3074,6630
22,Ashe,7,4,True,3,3,4,90329,9065,13,179,0,0
154,Zac,14,4,True,1,0,13,47190,7154,12,35,3009,3190
48,Trundle,4,14,False,2,4,9,23624,6112,11,26,3857,3190
203,Kindred,11,4,False,3,4,1,118873,7478,11,22,6672,2055
164,Camille,4,12,False,3,6,4,79361,8131,14,154,3077,6632
517,Sylas,12,4,False,2,6,4,68752,7411,12,146,3108,6656
81,Ezreal,4,7,False,2,3,2,103274,9109,12,195,2055,3004
