champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
497,Rakan,3,4,True,2,4,18,17253,9079,14,41,3860,3190
126,Jayce,4,12,True,8,8,9,190773,15243,17,215,3158,6692
157,Yasuo,14,4,True,4,7,13,200984,14358,17,216,3035,3033
22,Ashe,7,4,True,3,3,11,172202,13334,16,226,2420,1033
131,Diana,4,11,True,10,3,11,284041,17373,18,75,3157,3020
110,Varus,7,4,False,7,2,9,252792,17090,17,324,3142,3814
85,Kennen,4,12,False,6,6,12,163608,12965,17,227,1058,3165
421,RekSai,11,4,False,8,6,11,176943,13224,16,49,6631,2055
3,Galio,3,4,False,0,5,14,38092,7063,14,35,2055,3190
58,Renekton,12,4,False,4,8,8,135914,11287,16,211,3076,6630
85,Kennen,4,12,False,2,9,0,58752,6161,11,127,1055,3916
64,LeeSin,11,4,False,3,10,3,82980,7021,10,23,6630,3067
110,Varus,7,4,False,3,5,3,84107,7840,10,173,2055,1057
3,Galio,12,4,False,1,4,5,87818,6713,12,153,4636,1052
201,Braum,3,4,False,1,2,7,23066,5537,10,34,3857,3067
12,Alistar,4,14,True,1,4,7,20362,5404,10,32,3742,3860
76,Nidalee,11,4,True,7,3,14,133433,11105,13,21,3157,0
523,Aphelios,4,1,True,2,3,5,79005,8033,11,159,3006,6671
23,Tryndamere,6,4,True,11,0,8,139027,13684,15,185,6630,3111
245,Ekko,12,4,True,9,0,12,83357,9826,13,119,3041,2033
81,Ezreal,7,4,True,5,2,6,147445,12231,15,248,2055,2421
89,Leona,14,4,True,0,3,7,14308,6869,12,44,3190,3857
114,Fiora,4,12,True,3,2,9,151303,13038,16,221,1055,3074
421,RekSai,11,4,True,8,5,5,182934,12914,15,17,6693,3053
13,Ryze,4,12,True,4,1,5,245625,13614,17,268,3040,3111
110,Varus,1,4,False,2,3,3,169393,11572,14,268,3158,3042
516,Ornn,4,12,False,1,7,1,88670,7992,13,150,7004,2031
69,Cassiopeia,12,4,False,6,3,4,193178,13533,16,285,3070,6653
412,Thresh,4,14,False,0,2,10,18361,7082,12,26,3860,0
234,Viego,11,4,False,4,5,5,125713,10376,14,21,6632,3053
245,Ekko,4,11,False,7,10,2,84867,8138,10,20,3152,3020
432,Bard,3,4,False,0,2,7,8788,4782,10,14,3067,3853
15,Sivir,7,4,False,3,6,1,85562,6975,11,138,2031,3158
58,Renekton,12,4,False,0,8,5,83395,6400,12,146,1054,0
126,Jayce,4,12,False,0,13,4,52129,5647,10,111,3133,3070
80,Pantheon,4,12,True,5,2,14,113726,10063,14,150,6630,3142
110,Varus,7,4,True,7,1,8,120617,10875,13,198,0,2031
76,Nidalee,11,4,True,13,0,9,154221,11755,14,34,4636,3145
133,Quinn,14,4,True,12,1,4,145741,13370,15,198,6671,2031
111,Nautilus,4,14,True,2,6,12,23443,6545,10,36,3860,3190
111,Nautilus,4,3,True,3,2,9,16724,5830,10,32,2031,3190
85,Kennen,4,12,True,3,2,6,76557,8744,13,155,3157,3108
421,RekSai,11,4,True,9,2,9,125214,10684,12,15,6631,2055
67,Vayne,4,7,True,6,3,4,79893,9828,12,155,3006,1042
13,Ryze,4,12,True,5,1,5,136837,9785,13,187,2033,6656
18,Tristana,4,12,False,2,7,0,103481,8391,13,171,3046,6672
61,Orianna,12,4,False,0,4,0,76641,6423,11,156,6655,3070
59,JarvanIV,11,4,False,0,5,6,88155,6276,11,33,6630,1037
526,Rell,3,4,False,0,5,7,13323,5175,9,24,3855,3190
360,Samira,7,4,False,8,5,0,85991,10291,11,154,3047,1037
48,Trundle,4,14,True,3,5,22,34330,9617,16,39,2421,3190
3,Galio,12,4,True,23,3,8,239814,20784,18,239,3157,3152
5,XinZhao,11,4,True,9,9,21,214635,15870,18,50,3067,6630
150,Gnar,12,4,True,6,6,12,165214,13738,17,169,6630,3143
69,Cassiopeia,4,3,True,2,8,9,211832,14695,17,245,3040,4629
157,Yasuo,3,4,False,9,4,9,283728,17709,17,269,3026,6673
64,LeeSin,11,4,False,7,12,9,131626,11317,15,22,6630,3026
85,Kennen,4,12,False,7,10,4,162236,14028,16,222,2420,3135
79,Gragas,4,14,False,4,8,16,31920,9035,13,35,3190,3860
777,Yone,12,4,False,4,9,10,211677,13409,17,231,3031,3033
64,LeeSin,11,4,False,1,6,5,124969,7326,12,39,2055,6630
429,Kalista,4,7,False,4,4,2,115027,9976,12,193,3006,6673
14,Sion,12,4,False,3,5,5,90996,8763,13,161,6662,3075
887,Gwen,6,12,False,5,5,4,81470,8902,13,149,4629,1056
201,Braum,3,4,False,1,6,7,15128,5341,9,24,3857,3190
126,Jayce,12,4,True,5,4,6,147537,11036,14,165,1055,3142
157,Yasuo,12,4,True,5,3,8,145436,11485,15,196,1055,6673
81,Ezreal,7,4,True,2,2,7,95290,8461,12,130,1055,3078
79,Gragas,4,14,True,3,2,14,25694,7490,12,28,2055,0
131,Diana,11,4,True,11,3,7,123862,11196,13,30,3152,3157
61,Orianna,12,4,True,8,4,12,198751,14805,18,273,0,3157
89,Leona,4,14,True,5,6,12,19325,9112,13,42,0,0
78,Poppy,11,4,True,12,5,12,163762,14491,16,50,3158,6632
15,Sivir,7,4,True,7,4,13,161623,12830,15,169,2055,1036
85,Kennen,12,4,True,7,7,14,189424,15256,17,214,3102,3152
13,Ryze,12,4,False,6,7,8,211561,13987,15,227,3040,6656
12,Alistar,4,14,False,0,10,10,22250,7305,11,26,3117,2065
119,Draven,1,4,False,6,6,2,224537,15567,15,273,6673,6676
126,Jayce,4,12,False,1,10,6,179505,11211,15,211,6692,3042
64,LeeSin,11,4,False,13,6,6,181721,14817,16,64,6630,3026
39,Irelia,12,4,True,7,7,7,155335,12334,15,188,6673,3140
2,Olaf,11,4,True,17,3,5,169733,14264,15,39,6632,3047
526,Rell,14,4,True,4,5,26,26206,8453,13,28,3075,3190
360,Samira,1,4,True,14,7,12,141354,14877,13,175,6673,6676
127,Lissandra,12,4,True,2,7,20,108837,9400,14,150,3157,1052
126,Jayce,4,12,False,7,7,8,125369,11198,14,151,6695,3123
110,Varus,4,7,False,5,11,7,88983,9918,12,156,3006,6673
141,Kayn,11,4,False,13,8,6,116090,12272,13,21,6630,2055
90,Malzahar,4,12,False,2,8,8,118591,9196,14,200,1056,6653
89,Leona,14,4,False,1,10,17,20550,6485,11,37,2031,3190
76,Nidalee,11,4,True,5,0,8,147192,9164,13,24,0,2031
238,Zed,14,4,True,11,1,5,91329,10604,13,133,1028,1036
887,Gwen,14,12,True,4,1,8,119127,10391,14,177,3115,3191
57,Maokai,14,4,True,5,4,9,21007,6520,10,30,3857,2055
145,Kaisa,7,4,True,2,2,6,84191,8118,12,163,1055,6672
104,Graves,12,4,False,2,5,1,86205,7499,12,161,1001,2031
115,Ziggs,12,4,False,1,5,5,87816,7474,11,159,1056,1052
875,Sett,4,12,False,2,6,0,61202,7402,12,150,6630,1054
48,Trundle,4,14,False,0,7,6,16342,4598,8,28,2055,3067
79,Gragas,11,4,False,3,4,3,76412,6760,10,14,3020,6656
